actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-13T00:40:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T00:40:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-13T00:40:42.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2021-11-13T00:40:42Z,40000,,,0,,Jump Ball J. Allen vs. I. Stewart: Tip to D. Garland,"[1629636, 1628386, 1630191]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-13T00:40:58.6Z,1,REGULAR,foul,personal,[],1630191,,,1610612739,0,0,2021-11-13T00:41:12Z,70000,,,0,,I. Stewart loose ball personal FOUL (1 PF),"[1630191, 1628386]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,1628484.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-13T00:41:25.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,81.2910643889619,57.59803921568627,1610612739,2,0,2021-11-13T00:41:32Z,90000,38.0,123.0,1,right,D. Garland 12' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,12.91,Made,2.0,,,,,,,,,,,,,
10,PT11M12.00S,2021-11-13T00:41:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,13.354139290407357,48.03921568627451,1610612765,2,0,2021-11-13T00:41:52Z,100000,10.0,73.0,1,left,MISS C. Cunningham 7' driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,,,,,,7.37,Missed,,,,,,,,,,,,,,
11,PT11M08.00S,2021-11-13T00:41:50.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,0,2021-11-13T00:41:52Z,110000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT10M59.00S,2021-11-13T00:41:58.6Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,2,0,2021-11-13T00:42:04Z,120000,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 1630165]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,1.0,Hayes,1630165.0,,,,,,
13,PT10M59.00S,2021-11-13T00:41:58.6Z,1,REGULAR,steal,,[],1630165,,,1610612765,2,0,2021-11-13T00:42:01Z,130000,,,0,,K. Hayes STEAL (1 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-11-13T00:42:08.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630180,5.863994743758213,48.77450980392157,1610612765,2,0,2021-11-13T00:42:15Z,140000,6.0,3.0,1,left,MISS S. Bey driving Layup,[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,,,,,,0.66,Missed,,,,,,,,,,,,,,
15,PT10M46.00S,2021-11-13T00:42:11.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,0,2021-11-13T00:42:11Z,150000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
