actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-25T01:11:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-25T01:11:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-25T01:11:19.2Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2022-03-25T01:11:19Z,40000,,,0,,Jump Ball N. Jokic vs. D. Ayton: Tip to M. Morris,"[1628420, 203999, 1629028]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-25T01:11:32.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,16.113666228646515,44.85294117647059,1610612743,2,0,2022-03-25T01:11:39Z,70000,26.0,99.0,1,left,N. Jokic 10' turnaround fadeaway Jump Shot (2 PTS),[203999],1610612743.0,DEN,turnaround fadeaway,,,Jokic,N. Jokic,,,,,10.23,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-03-25T01:11:58.9Z,1,REGULAR,2pt,Jump Shot,[],1626164,89.70105124835742,19.362745098039216,1610612756,2,2,2022-03-25T01:12:04Z,90000,-153.0,44.0,1,right,D. Booker 15' fadeaway Jump Shot (2 PTS),[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,15.95,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT10M56.00S,2022-03-25T01:12:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,6.915243101182654,52.94117647058824,1610612743,2,2,2022-03-25T01:12:28Z,100000,-15.0,13.0,1,left,MISS J. Green reverse Layup,[201145],1610612743.0,DEN,reverse,,,Green,J. Green,,,,,1.93,Missed,,,,,,,,,,,,,,,,,,,
11,PT10M54.00S,2022-03-25T01:12:21.4Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,2,2022-03-25T01:12:28Z,110000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT10M53.00S,2022-03-25T01:12:22.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628420,6.389618922470433,96.32352941176471,1610612743,5,2,2022-03-25T01:12:31Z,120000,-232.0,8.0,1,left,M. Morris 3PT  (3 PTS) (N. Jokic 1 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,23.17,Made,3.0,,,,,N. Jokic,203999.0,1.0,,,,,,,,,,,
14,PT10M38.00S,2022-03-25T01:12:37.2Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,5,2,2022-03-25T01:12:48Z,140000,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 201145]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,1.0,Green,201145.0,,,,,,,,
15,PT10M38.00S,2022-03-25T01:12:37.2Z,1,REGULAR,steal,,[],201145,,,1610612743,5,2,2022-03-25T01:12:38Z,150000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2022-03-25T01:12:47.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203999,7.046649145860711,44.6078431372549,1610612743,7,2,2022-03-25T01:12:50Z,160000,27.0,14.0,1,left,N. Jokic Layup (4 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,3.03,Made,4.0,,,,,M. Morris,1628420.0,1.0,,,,,,,,,,,
18,PT10M22.00S,2022-03-25T01:12:57.5Z,1,REGULAR,foul,offensive,[],203109,,,1610612756,7,2,2022-03-25T01:13:05Z,180000,,,0,,J. Crowder offensive FOUL (1 PF),"[203109, 1628420]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Morris,1628420.0,,,
20,PT10M22.00S,2022-03-25T01:12:57.5Z,1,REGULAR,turnover,offensive foul,[],203109,,,1610612756,7,2,2022-03-25T01:12:57Z,200000,,,0,,J. Crowder offensive foul TURNOVER (1 TO),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,1.0,,,203593.0,,,,,,,
21,PT09M59.00S,2022-03-25T01:13:28.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203115,10.85742444152431,62.99019607843137,1610612743,9,2,2022-03-25T01:13:32Z,210000,-65.0,50.0,1,left,W. Barton 8' driving floating Jump Shot (2 PTS),[203115],1610612743.0,DEN,driving floating,,,Barton,W. Barton,,,,,8.18,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2022-03-25T01:13:35.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1626164,91.67214191852825,76.9607843137255,1610612756,9,4,2022-03-25T01:13:42Z,230000,135.0,26.0,1,right,D. Booker 13' turnaround fadeaway Jump Shot (4 PTS),[1626164],1610612756.0,PHX,turnaround fadeaway,,,Booker,D. Booker,,,,,13.72,Made,4.0,,,,,,,,,,,,,,,,,,
24,PT09M27.00S,2022-03-25T01:13:59.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,11.12023653088042,51.470588235294116,1610612743,11,4,2022-03-25T01:14:03Z,240000,-7.0,52.0,1,left,N. Jokic turnaround Hook (6 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,5.25,Made,6.0,,,,,,,,,,,,,,,,,,
25,PT09M14.00S,2022-03-25T01:14:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,82.47371879106439,41.42156862745098,1610612756,11,6,2022-03-25T01:14:20Z,250000,-43.0,112.0,1,right,D. Ayton 12' floating Jump Shot (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,floating,,,Ayton,D. Ayton,,,,,12.01,Made,2.0,,,,,C. Paul,101108.0,1.0,,,,,,,,,,,
27,PT09M08.00S,2022-03-25T01:14:19.7Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,11,6,2022-03-25T01:14:28Z,270000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,,,,,1.0,,,203593.0,,,,,,,
28,PT08M56.00S,2022-03-25T01:14:37.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,92.85479632063075,96.56862745098039,1610612756,11,6,2022-03-25T01:14:41Z,280000,233.0,15.0,1,right,MISS J. Crowder 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,23.33,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M54.00S,2022-03-25T01:14:39.4Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,11,6,2022-03-25T01:14:41Z,290000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT08M49.00S,2022-03-25T01:14:47.4Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,11,6,2022-03-25T01:14:54Z,300000,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,,,,,,,,,,,1.0,,,203593.0,,,,,,,
31,PT08M38.00S,2022-03-25T01:15:04.0Z,1,REGULAR,foul,personal,['2freethrow'],1628420,,,1610612756,11,6,2022-03-25T01:15:18Z,310000,,,0,,M. Morris shooting personal FOUL (1 PF) (Booker 2 FT),"[1628420, 1626164]",1610612743.0,DEN,shooting,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,2004.0,1.0,0.0,Booker,1626164.0,,,
33,PT08M38.00S,2022-03-25T01:15:27.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626164,,,1610612756,11,7,2022-03-25T01:15:43Z,330000,,,0,,D. Booker Free Throw 1 of 2 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
