actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-28T03:41:12.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-28T03:41:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-28T03:41:15.7Z,1,REGULAR,jumpball,recovered,[],1627761,,,1610612751,0,0,2021-12-28T03:41:15Z,40000,,,0,,Jump Ball N. Claxton vs. I. Zubac: Tip to D. Bembry,"[1627761, 1629651, 1627826]",1610612751.0,BKN,startperiod,D. Bembry,1627761.0,Bembry,D. Bembry,Claxton,1629651.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-28T03:41:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,20.02299605781866,49.01960784313726,1610612751,0,0,2021-12-28T03:41:51Z,70000,5.0,136.0,1,left,MISS B. Brown 13' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,13.58,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-28T03:41:32.1Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,0,0,2021-12-28T03:41:34Z,80000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-12-28T03:41:34.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629611,90.71944809461235,95.83333333333333,1610612746,3,0,2021-12-28T03:42:00Z,90000,229.0,35.0,1,right,T. Mann 3PT running pullup (3 PTS) (E. Bledsoe 1 AST),"[1629611, 202339]",1610612746.0,LAC,running pullup,,,Mann,T. Mann,,,,,23.18,Made,,,,,3.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,
11,PT11M24.00S,2021-12-28T03:41:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.670827858081481,48.774509803921575,1610612751,3,2,2021-12-28T03:41:53Z,110000,6.0,20.0,1,left,N. Claxton cutting Layup (2 PTS) (J. Harden 1 AST),"[1629651, 201935]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,2.05,Made,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,
13,PT11M24.00S,2021-12-28T03:41:52.4Z,1,REGULAR,foul,personal,['1freethrow'],1627826,,,1610612751,3,2,2021-12-28T03:42:14Z,130000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Claxton 1 FT),"[1627826, 1629651]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Claxton,1629651.0,,,,,,
15,PT11M24.00S,2021-12-28T03:42:15.4Z,1,REGULAR,freethrow,1 of 1,[],1629651,,,1610612751,3,2,2021-12-28T03:42:17Z,150000,,,0,,MISS N. Claxton Free Throw 1 of 1,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M20.00S,2021-12-28T03:42:19.4Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,3,2,2021-12-28T03:42:17Z,160000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
17,PT11M05.00S,2021-12-28T03:42:31.9Z,1,REGULAR,3pt,Jump Shot,[],202339,70.74572930354796,77.20588235294117,1610612746,6,2,2021-12-28T03:42:36Z,170000,136.0,222.0,1,right,E. Bledsoe 26' 3PT  (3 PTS) (I. Zubac 1 AST),"[202339, 1627826]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,26.08,Made,,,,,3.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,
19,PT10M50.00S,2021-12-28T03:42:47.0Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,6,2,2021-12-28T03:42:51Z,190000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 202339]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,1.0,Bledsoe,202339.0,,,
20,PT10M50.00S,2021-12-28T03:42:47.0Z,1,REGULAR,steal,,[],202339,,,1610612746,6,2,2021-12-28T03:42:50Z,200000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2021-12-28T03:42:54.6Z,1,REGULAR,foul,personal,['2freethrow'],201935,,,1610612746,6,2,2021-12-28T03:43:05Z,210000,,,0,,J. Harden shooting personal FOUL (1 PF) (Morris Sr. 2 FT),"[201935, 202694]",1610612751.0,BKN,shooting,,,Harden,J. Harden,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Morris Sr.,202694.0,,,,,,
23,PT10M47.00S,2021-12-28T03:43:21.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202694,,,1610612746,7,2,2021-12-28T03:43:21Z,230000,,,0,,M. Morris Sr. Free Throw 1 of 2 (1 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
24,PT10M47.00S,2021-12-28T03:43:34.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202694,,,1610612746,8,2,2021-12-28T03:43:34Z,240000,,,0,,M. Morris Sr. Free Throw 2 of 2 (2 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT10M29.00S,2021-12-28T03:43:54.8Z,1,REGULAR,foul,personal,['2freethrow'],202694,,,1610612751,8,2,2021-12-28T03:44:00Z,250000,,,0,,M. Morris Sr. shooting personal FOUL (1 PF) (Claxton 2 FT),"[202694, 1629651]",1610612746.0,LAC,shooting,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Claxton,1629651.0,,,,,,
27,PT10M29.00S,2021-12-28T03:44:15.8Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,8,3,2021-12-28T03:44:15Z,270000,,,0,,N. Claxton Free Throw 1 of 2 (3 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
28,PT10M29.00S,2021-12-28T03:44:31.3Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,8,4,2021-12-28T03:44:31Z,280000,,,0,,N. Claxton Free Throw 2 of 2 (4 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
29,PT10M17.00S,2021-12-28T03:44:44.2Z,1,REGULAR,2pt,Jump Shot,[],202694,75.47634691195795,35.049019607843135,1610612746,8,4,2021-12-28T03:44:49Z,290000,-75.0,178.0,1,right,MISS M. Morris Sr. 19' Jump Shot,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,19.31,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M14.00S,2021-12-28T03:44:47.2Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,8,4,2021-12-28T03:44:49Z,300000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
31,PT10M07.00S,2021-12-28T03:44:54.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,7.276609724047319,52.69607843137255,1610612751,8,4,2021-12-28T03:45:01Z,310000,-13.0,16.0,1,left,MISS J. Harden running Layup,[201935],1610612751.0,BKN,running,,,Harden,J. Harden,,,,,2.09,Missed,,,,,,,,,,,,,,,,,,,
32,PT10M04.00S,2021-12-28T03:44:57.5Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,8,4,2021-12-28T03:45:01Z,320000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
