actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-10T01:40:49.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-10T01:40:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-10T01:40:51.9Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612758,0,0,2022-04-10T01:40:51Z,40000,,,0,,Jump Ball D. Jones vs. I. Zubac: Tip to D. Mitchell,"[1630558, 1627745, 1627826]",1610612758.0,SAC,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Jones,1627745.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-04-10T01:41:03.9Z,1,REGULAR,turnover,bad pass,[],1630558,,,1610612758,0,0,2022-04-10T01:41:07Z,70000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1630558, 201587]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,1.0,Batum,201587.0,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-04-10T01:41:03.9Z,1,REGULAR,steal,,[],201587,,,1610612746,0,0,2022-04-10T01:41:05Z,80000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-04-10T01:41:11.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,83.49211563731932,78.43137254901961,1610612746,2,0,2022-04-10T01:41:20Z,90000,142.0,103.0,1,right,P. George 17' turnaround Jump Shot (2 PTS) (N. Batum 1 AST),"[202331, 201587]",1610612746.0,LAC,turnaround,,,George,P. George,,,,,,,,17.54,Made,2.0,N. Batum,201587.0,1.0,,,,,,,,,,,,
11,PT11M19.00S,2022-04-10T01:41:30.0Z,1,REGULAR,2pt,Jump Shot,[],1627745,25.147831800262807,64.4607843137255,1610612758,2,0,2022-04-10T01:41:34Z,110000,-72.0,184.0,1,left,MISS D. Jones 19' Jump Shot,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,19.76,Missed,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-04-10T01:41:33.1Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,2,0,2022-04-10T01:41:33Z,120000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M07.00S,2022-04-10T01:41:41.7Z,1,REGULAR,3pt,Jump Shot,[],202694,83.70565045992116,6.104473039215691,1610612746,2,0,2022-04-10T01:41:48Z,130000,-219.0,101.0,1,right,MISS M. Morris Sr. 24' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,24.15,Missed,,,,,,,,,,,,,,,,
14,PT11M04.00S,2022-04-10T01:41:44.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,0,2022-04-10T01:41:48Z,140000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M52.00S,2022-04-10T01:41:56.8Z,1,REGULAR,3pt,Jump Shot,[],1630558,7.227332457293031,95.3201593137255,1610612758,2,0,2022-04-10T01:42:04Z,150000,-227.0,15.0,1,left,MISS D. Mitchell 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,22.71,Missed,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-04-10T01:42:01.8Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,2,0,2022-04-10T01:42:04Z,160000,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
17,PT10M38.00S,2022-04-10T01:42:10.2Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,2,0,2022-04-10T01:42:13Z,170000,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1627745]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,1.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2022-04-10T01:42:10.2Z,1,REGULAR,steal,,[],1627745,,,1610612758,2,0,2022-04-10T01:42:11Z,180000,,,0,,D. Jones STEAL (1 STL),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2022-04-10T01:42:17.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203084,25.673455978975028,16.17647058823529,1610612758,2,0,2022-04-10T01:42:23Z,190000,169.0,189.0,1,left,MISS H. Barnes 25' running pullup 3PT,[203084],1610612758.0,SAC,running pullup,,,Barnes,H. Barnes,,,,,,,,25.35,Missed,,,,,,,,,,,,,,,,
20,PT10M29.00S,2022-04-10T01:42:20.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,0,2022-04-10T01:42:23Z,200000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
