actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-29T02:40:39.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-29T02:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-29T02:40:41.6Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2021-11-29T02:40:41Z,40000,,,0,,Jump Ball D. Jordan vs. I. Stewart: Tip to L. James,"[2544, 201599, 1630191]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Jordan,201599.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-29T02:41:00.0Z,1,REGULAR,violation,kicked ball,[],1630191,,,1610612747,0,0,2021-11-29T02:41:05Z,70000,,,0,,I. Stewart kicked ball VIOLATION,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,2534.0,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-11-29T02:41:19.2Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,0,0,2021-11-29T02:41:24Z,80000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612747.0,LAL,bad pass,,,Westbrook,R. Westbrook,,,,,1627534.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-11-29T02:41:33.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630595,9.510512483574246,95.83333333333333,1610612765,0,0,2021-11-29T02:41:39Z,90000,-229.0,37.0,1,left,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,23.22,Missed,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-11-29T02:41:37.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,0,2021-11-29T02:41:39Z,100000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M16.00S,2021-11-29T02:41:44.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,80.86399474375821,35.294117647058826,1610612747,0,0,2021-11-29T02:41:50Z,110000,-74.0,127.0,1,right,MISS L. James 14' step back Shot,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,,,14.71,Missed,,,,,,,,,,,,,,,,
12,PT11M13.00S,2021-11-29T02:41:47.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2021-11-29T02:41:50Z,120000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M05.00S,2021-11-29T02:41:55.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,6.619579500657039,52.94117647058824,1610612765,0,0,2021-11-29T02:42:00Z,130000,-15.0,10.0,1,left,MISS I. Stewart turnaround Hook,[1630191],1610612765.0,DET,turnaround,,,Stewart,I. Stewart,,,,,,,1.76,Missed,,,,,,,,,,,,,,,,
14,PT11M03.00S,2021-11-29T02:41:57.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,0,2021-11-29T02:42:00Z,140000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,
15,PT10M57.00S,2021-11-29T02:42:06.3Z,1,REGULAR,foul,personal,['2freethrow'],1630165,,,1610612747,0,0,2021-11-29T02:42:14Z,150000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1630165, 201566]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,1627534.0,,,,,,,,1.0,0.0,Westbrook,201566.0,,,,,,,,
17,PT10M57.00S,2021-11-29T02:42:31.5Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612747,0,0,2021-11-29T02:42:31Z,170000,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,Missed,,,,,,,,,,,,,,,,
18,PT10M57.00S,2021-11-29T02:42:31.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,0,0,2021-11-29T02:42:31Z,180000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,
