actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-15T02:40:34.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-15T02:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-15T02:40:38.5Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-03-15T02:40:38Z,40000,,,0,,Jump Ball P. Achiuwa vs. L. James: Tip to P. Siakam,"[1627783, 1630173, 2544]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Achiuwa,1630173.0,James,2544.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-03-15T02:40:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629018,15.55519053876479,94.6078431372549,1610612761,0,0,2022-03-15T02:41:02Z,70000,-223.0,94.0,1,left,MISS G. Trent Jr. 24' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2022-03-15T02:41:02.1Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2022-03-15T02:41:02Z,80000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-03-15T02:41:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,5.590000152587891,50.0,1610612761,0,2,2022-03-15T02:41:01Z,90000,0.0,0.0,1,left,S. Barnes tip Layup (2 PTS),[1630567],1610612761.0,TOR,tip,,,Barnes,S. Barnes,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M08.00S,2022-03-15T02:41:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,93.08475689881735,52.205882352941174,1610612747,0,2,2022-03-15T02:41:29Z,100000,11.0,13.0,1,right,MISS A. Reaves Layup,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,1.67,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-03-15T02:41:26.9Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,0,2,2022-03-15T02:41:29Z,110000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-03-15T02:41:36.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,10.167542706964511,51.470588235294116,1610612761,0,4,2022-03-15T02:41:39Z,120000,-7.0,43.0,1,left,S. Barnes turnaround Hook (4 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,4.37,Made,,,,,4.0,,,,,,,,,,,,,,
13,PT10M28.00S,2022-03-15T02:42:05.8Z,1,REGULAR,2pt,Jump Shot,[],201566,79.68134034165571,21.813725490196077,1610612747,0,4,2022-03-15T02:42:34Z,130000,-141.0,138.0,1,right,MISS R. Westbrook 19' pullup bank Shot,[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,19.76,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M25.00S,2022-03-15T02:42:08.8Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,0,4,2022-03-15T02:42:34Z,140000,,,0,,L. James REBOUND (Off:1 Def:0),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
