actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-27T01:12:05.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T01:12:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-27T01:12:10.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612759,0,0,2022-02-27T01:12:10Z,40000,,,0,,Jump Ball Z. Collins vs. B. Adebayo: Tip to Team (SAS),"[1628380, 1628389]",1610612759.0,SAS,startperiod,Team (SAS),Collins,1628380.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-27T01:12:34.3Z,1,REGULAR,2pt,Hook,[],1628380,91.27792378449409,31.127450980392158,1610612759,0,0,2022-02-27T01:12:40Z,70000,-94.0,29.0,1,right,MISS Z. Collins 9' turnaround Hook,[1628380],1610612759.0,SAS,turnaround,,,,,,9.89,Missed,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-02-27T01:12:35.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2022-02-27T01:12:40Z,80000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-02-27T01:12:39.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,0,0,2022-02-27T01:12:39Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-02-27T01:12:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,91.67214191852825,35.294117647058826,1610612759,0,2,2022-02-27T01:13:01Z,100000,-74.0,26.0,1,right,K. Bates-Diop 7' driving Layup (2 PTS) (T. Jones 1 AST),"[1628966, 1630200]",1610612759.0,SAS,driving,,,,,,7.79,Made,Bates-Diop,K. Bates-Diop,,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
12,PT11M18.00S,2022-02-27T01:13:11.9Z,1,REGULAR,2pt,Jump Shot,[],200768,7.440867279894875,26.715686274509803,1610612748,0,2,2022-02-27T01:13:21Z,120000,116.0,17.0,1,left,MISS K. Lowry 11' floating Shot,[200768],1610612748.0,MIA,floating,,,,,,11.77,Missed,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-02-27T01:13:11.9Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,0,2,2022-02-27T01:13:21Z,130000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,,,,,,Jones,T. Jones,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M11.00S,2022-02-27T01:13:19.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203926,82.34231274638634,7.352941176470589,1610612759,0,2,2022-02-27T01:13:25Z,140000,-213.0,113.0,1,right,MISS D. McDermott 24' 3PT,[203926],1610612759.0,SAS,,,,,,,24.15,Missed,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2022-02-27T01:13:19.0Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612759,0,2,2022-02-27T01:13:25Z,150000,,,0,,Z. Collins REBOUND (Off:1 Def:0),[1628380],1610612759.0,SAS,,,,,,,,,Collins,Z. Collins,14.0,,,,,1.0,0.0,1.0,,,,,,,,,,,
16,PT11M05.00S,2022-02-27T01:13:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203926,92.59198423127464,46.32352941176471,1610612759,0,4,2022-02-27T01:13:29Z,160000,-18.0,17.0,1,right,D. McDermott cutting Layup (2 PTS) (Z. Collins 1 AST),"[203926, 1628380]",1610612759.0,SAS,cutting,,,,,,2.51,Made,McDermott,D. McDermott,,2.0,Z. Collins,1628380.0,1.0,,,,,,,,,,,,,,
18,PT10M43.00S,2022-02-27T01:13:46.5Z,1,REGULAR,2pt,Jump Shot,[],1628389,20.49934296977661,65.21905637254902,1610612748,0,4,2022-02-27T01:16:00Z,180000,-76.0,140.0,1,left,MISS B. Adebayo 15' Jump Shot,[1628389],1610612748.0,MIA,,,,,,,15.95,Missed,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2022-02-27T01:13:49.5Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,0,4,2022-02-27T01:14:03Z,190000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,,,,,,McDermott,D. McDermott,18.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
