actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2022-01-22T00:10:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T00:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-22T00:10:37.1Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-01-22T00:10:37Z,40000,,,0,,Jump Ball D. Howard vs. M. Bamba: Tip to L. James,"[2544, 2730, 1628964]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Howard,2730.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-22T00:10:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2730,92.59198423127464,43.13725490196079,1610612747,0,0,2022-01-22T00:11:08Z,70000,-34.0,17.0,1,right,MISS D. Howard Layup - blocked,"[2730, 1630591]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,3.83,Missed,Suggs,1630591.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-22T00:10:55.3Z,1,REGULAR,block,,[],1630591,,,1610612747,0,0,2022-01-22T00:10:58Z,80000,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-01-22T00:10:55.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,0,2022-01-22T00:11:08Z,90000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-01-22T00:11:00.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,0,0,2022-01-22T00:11:00Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2022-01-22T00:11:10.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],2544,78.66294349540078,46.07843137254902,1610612747,0,0,2022-01-22T00:12:16Z,110000,-20.0,148.0,1,right,MISS L. James 14' fadeaway Shot,[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,14.94,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2022-01-22T00:11:12.8Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,0,0,2022-01-22T00:11:18Z,120000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT11M33.00S,2022-01-22T00:11:16.6Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612747,0,0,2022-01-22T00:11:28Z,130000,,,0,,M. Bamba shooting personal FOUL (1 PF) (Howard 2 FT),"[1628964, 2730]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,201245.0,1.0,0.0,Howard,2730.0,,,,,,,,
15,PT11M33.00S,2022-01-22T00:11:42.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],2730,,,1610612747,0,1,2022-01-22T00:11:42Z,150000,,,0,,D. Howard Free Throw 1 of 2 (1 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
16,PT11M33.00S,2022-01-22T00:12:01.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],2730,,,1610612747,0,2,2022-01-22T00:12:01Z,160000,,,0,,D. Howard Free Throw 2 of 2 (2 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
17,PT11M15.00S,2022-01-22T00:12:20.7Z,1,REGULAR,3pt,Jump Shot,[],203914,17.427726675427067,91.91176470588235,1610612753,0,2,2022-01-22T00:12:27Z,170000,-210.0,111.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,,
18,PT11M13.00S,2022-01-22T00:12:22.7Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,0,2,2022-01-22T00:12:27Z,180000,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,
19,PT11M11.00S,2022-01-22T00:12:24.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628964,7.5722733245729295,48.28431372549019,1610612753,2,2,2022-01-22T00:12:35Z,190000,9.0,19.0,1,left,M. Bamba putback DUNK (2 PTS),[1628964],1610612753.0,ORL,putback,,,Bamba,M. Bamba,,,,,2.06,Made,,,,,,,,,,,,2.0,,,,,,,
20,PT10M56.00S,2022-01-22T00:12:40.2Z,1,REGULAR,3pt,Jump Shot,[],2544,89.96386333771353,94.85294117647058,1610612747,2,2,2022-01-22T00:12:45Z,200000,224.0,42.0,1,right,MISS L. James 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M52.00S,2022-01-22T00:12:43.8Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,2,2,2022-01-22T00:12:43Z,210000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,
