actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-12T00:10:44.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-12T00:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-12T00:10:48.8Z,1,REGULAR,jumpball,recovered,[],1630175,,,1610612753,0,0,2022-03-12T00:10:48Z,40000,,,0,,Jump Ball M. Bamba vs. K. Towns: Tip to C. Anthony,"[1630175, 1628964, 1626157]",1610612753.0,ORL,startperiod,C. Anthony,1630175.0,Anthony,C. Anthony,Bamba,1628964.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-12T00:11:02.2Z,1,REGULAR,turnover,bad pass,[],1628976,,,1610612753,0,0,2022-03-12T00:11:14Z,70000,,,0,,W. Carter Jr. bad pass TURNOVER (1 TO),"[1628976, 201976]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,1.0,Beverley,201976.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-12T00:11:02.2Z,1,REGULAR,steal,,[],201976,,,1610612750,0,0,2022-03-12T00:11:04Z,80000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-03-12T00:11:08.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201976,67.49342969776609,71.81372549019608,1610612750,0,0,2022-03-12T00:11:18Z,90000,109.0,253.0,1,right,MISS P. Beverley 27' running 3PT,[201976],1610612750.0,MIN,running,,,Beverley,P. Beverley,,,,,,,,27.56,Missed,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-03-12T00:11:12.2Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,0,0,2022-03-12T00:11:12Z,100000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M21.00S,2022-03-12T00:11:23.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201976,86.94152431011827,95.58823529411765,1610612750,0,3,2022-03-12T00:11:28Z,110000,228.0,70.0,1,right,P. Beverley 3PT  (3 PTS) (A. Edwards 1 AST),"[201976, 1630162]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,23.85,Made,,,,,3.0,A. Edwards,1630162.0,1.0,,,,,,,
13,PT11M02.00S,2022-03-12T00:11:41.6Z,1,REGULAR,3pt,Jump Shot,[],1628964,12.040078843626807,1.2254901960784315,1610612753,3,3,2022-03-12T00:11:47Z,130000,244.0,61.0,1,left,M. Bamba 25' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,25.13,Made,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,,
15,PT10M46.00S,2022-03-12T00:11:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,89.17542706964521,41.17647058823529,1610612750,3,3,2022-03-12T00:13:35Z,150000,-44.0,49.0,1,right,MISS K. Towns 6' Layup,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,6.61,Missed,,,,,,,,,,,,,,,
16,PT10M43.00S,2022-03-12T00:12:01.2Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,3,3,2022-03-12T00:12:05Z,160000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
