actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-08T00:11:04.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-08T00:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-03-08T00:11:06.5Z,1,REGULAR,jumpball,recovered,[],1629680,,,1610612755,0,0,2022-03-08T00:11:06Z,40000,,,0,,Jump Ball J. Embiid vs. T. Thompson: Tip to M. Thybulle,"[1629680, 203954, 202684]",1610612755.0,PHI,startperiod,M. Thybulle,1629680.0,Thybulle,M. Thybulle,Embiid,203954.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-08T00:11:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630178,8.590670170827863,4.901960784313729,1610612755,0,0,2022-03-08T00:11:30Z,70000,225.0,28.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,22.73,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-08T00:11:29.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2022-03-08T00:11:30Z,80000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-03-08T00:11:42.7Z,1,REGULAR,2pt,Jump Shot,[],201942,79.41852825229961,76.7156862745098,1610612741,0,0,2022-03-08T00:11:48Z,90000,134.0,141.0,1,right,MISS D. DeRozan 19' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,19.42,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-03-08T00:11:45.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-03-08T00:11:48Z,100000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-03-08T00:11:58.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.080814717476997,47.30392156862745,1610612755,0,0,2022-03-08T00:12:13Z,110000,13.0,99.0,1,left,MISS J. Embiid 9' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,9.96,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2022-03-08T00:12:06.4Z,1,REGULAR,rebound,defensive,[],202684,,,1610612741,0,0,2022-03-08T00:12:17Z,120000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M56.00S,2022-03-08T00:12:19.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,0,0,2022-03-08T00:12:19Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-03-08T00:12:25.4Z,1,REGULAR,2pt,Jump Shot,[],201942,76.7904073587385,41.91176470588235,1610612741,0,2,2022-03-08T00:12:36Z,140000,-40.0,166.0,1,right,D. DeRozan 17' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,17.06,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M24.00S,2022-03-08T00:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],203954,27.38173455978975,17.64705882352942,1610612755,3,2,2022-03-08T00:12:53Z,150000,162.0,205.0,1,left,J. Embiid 26' 3PT  (3 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,26.11,Made,,,,,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
17,PT10M12.00S,2022-03-08T00:13:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,89.27398160315374,56.86274509803921,1610612741,3,2,2022-03-08T00:13:06Z,170000,34.0,48.0,1,right,MISS A. Dosunmu driving floating Shot,[1630245],1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,5.92,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M12.00S,2022-03-08T00:13:01.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,3,2,2022-03-08T00:13:06Z,180000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2022-03-08T00:13:05.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,3,2,2022-03-08T00:13:21Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT09M54.00S,2022-03-08T00:13:29.3Z,1,REGULAR,3pt,Jump Shot,[],201935,29.352825229960573,86.51960784313725,1610612755,3,2,2022-03-08T00:13:33Z,200000,-183.0,223.0,1,left,MISS J. Harden 28' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,28.85,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2022-03-08T00:13:31.3Z,1,REGULAR,rebound,defensive,[],202684,,,1610612741,3,2,2022-03-08T00:13:33Z,210000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT09M48.00S,2022-03-08T00:13:39.6Z,1,REGULAR,foul,offensive,[],202684,,,1610612741,3,2,2022-03-08T00:13:51Z,220000,,,0,,T. Thompson offensive FOUL (1 PF),"[202684, 1629680]",1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,1162.0,1.0,0.0,Thybulle,1629680.0,,,,,,
24,PT09M48.00S,2022-03-08T00:13:39.6Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612741,3,2,2022-03-08T00:13:39Z,240000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,1162.0,,,,,1.0,,,,,
25,PT09M35.00S,2022-03-08T00:14:06.2Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612755,3,2,2022-03-08T00:14:15Z,250000,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Harden 2 FT),"[203897, 201935]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,200833.0,1.0,0.0,Harden,201935.0,,,,,,
27,PT09M35.00S,2022-03-08T00:14:33.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201935,,,1610612755,4,2,2022-03-08T00:14:33Z,270000,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
28,PT09M35.00S,2022-03-08T00:14:48.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201935,,,1610612755,5,2,2022-03-08T00:14:49Z,280000,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
29,PT09M20.00S,2022-03-08T00:15:04.0Z,1,REGULAR,2pt,Jump Shot,[],201942,79.41852825229961,65.93137254901961,1610612741,5,4,2022-03-08T00:15:08Z,290000,80.0,141.0,1,right,D. DeRozan 16' turnaround fadeaway Jump Shot (4 PTS),[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,16.2,Made,,,,,4.0,,,,,,,,,,,,,,
30,PT09M07.00S,2022-03-08T00:15:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,7.933639947437584,52.450980392156865,1610612755,7,4,2022-03-08T00:15:24Z,300000,-12.0,22.0,1,left,J. Harden driving Layup (4 PTS) (T. Harris 1 AST),"[201935, 202699]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,2.53,Made,,,,,4.0,T. Harris,202699.0,1.0,,,,,,,,,,,
32,PT08M54.00S,2022-03-08T00:15:29.9Z,1,REGULAR,2pt,Jump Shot,[],1630245,84.28055190538765,31.127450980392155,1610612741,7,4,2022-03-08T00:15:52Z,320000,-94.0,95.0,1,right,MISS A. Dosunmu 13' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,13.41,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M50.00S,2022-03-08T00:15:33.9Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,7,4,2022-03-08T00:15:39Z,330000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
34,PT08M50.00S,2022-03-08T00:15:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,94.40999984741211,50.0,1610612741,7,4,2022-03-08T00:15:34Z,340000,0.0,0.0,1,right,MISS J. Green tip Layup,[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M49.00S,2022-03-08T00:15:35.7Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,7,4,2022-03-08T00:15:35Z,350000,,,0,,J. Green REBOUND (Off:2 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,34.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
36,PT08M49.00S,2022-03-08T00:15:35.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629750,94.40999984741211,50.0,1610612741,7,4,2022-03-08T00:15:42Z,360000,0.0,0.0,1,right,MISS J. Green tip Layup,[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M49.00S,2022-03-08T00:15:35.7Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,7,4,2022-03-08T00:15:42Z,370000,,,0,,J. Green REBOUND (Off:3 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,36.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
