actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-16T03:02:35.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-16T03:02:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-16T03:02:40.3Z,1,REGULAR,jumpball,recovered,[],201587,,,1610612746,0,0,2022-02-16T03:02:40Z,40000,,,0,,Jump Ball I. Zubac vs. D. Ayton: Tip to N. Batum,"[201587, 1627826, 1629028]",1610612746.0,LAC,startperiod,N. Batum,201587.0,Batum,N. Batum,Zubac,1627826.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-02-16T03:02:58.5Z,1,REGULAR,3pt,Jump Shot,[],202704,68.9388961892247,30.392156862745097,1610612746,0,0,2022-02-16T03:03:03Z,70000,-98.0,239.0,1,right,MISS R. Jackson 25' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-02-16T03:03:01.5Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,0,2022-02-16T03:03:03Z,80000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-02-16T03:03:16.0Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612756,0,0,2022-02-16T03:03:24Z,90000,,,0,,M. Bridges step out-of-bounds TURNOVER (1 TO),[1628969],1610612756.0,PHX,step,,,Bridges,M. Bridges,,,,,,,,,,,203593.0,1.0,,,,,,,,,,,,
10,PT11M12.00S,2022-02-16T03:03:36.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627826,82.47371879106439,45.09803921568628,1610612746,0,2,2022-02-16T03:03:40Z,100000,-25.0,112.0,1,right,I. Zubac 11' floating Jump Shot (2 PTS) (R. Jackson 1 AST),"[1627826, 202704]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,11.48,Made,,,,,,,2.0,R. Jackson,202704.0,1.0,,,,,,,,
12,PT10M45.00S,2022-02-16T03:04:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,9.937582128777924,47.30392156862745,1610612756,0,2,2022-02-16T03:04:09Z,120000,13.0,41.0,1,left,MISS D. Ayton cutting Layup - blocked,"[1629028, 202694]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,4.31,Missed,,,,,,,,,,,Morris Sr.,202694.0,,,,,,
17,PT10M45.00S,2022-02-16T03:04:03.2Z,1,REGULAR,block,,[],202694,,,1610612756,0,2,2022-02-16T03:04:09Z,125000,,,0,,M. Morris Sr. BLOCK (1 BLK),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2022-02-16T03:04:04.2Z,1,REGULAR,rebound,offensive,[],203109,,,1610612756,0,2,2022-02-16T03:08:00Z,130000,,,0,,J. Crowder REBOUND (Off:1 Def:0),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M40.00S,2022-02-16T03:04:08.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,8.229303547963205,96.07843137254902,1610612756,0,2,2022-02-16T03:04:15Z,160000,-230.0,25.0,1,left,MISS M. Bridges 3PT - blocked,"[1628969, 1627826]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.17,Missed,,,,,,,,,,,Zubac,1627826.0,,,,,,
18,PT10M40.00S,2022-02-16T03:04:08.7Z,1,REGULAR,block,,[],1627826,,,1610612756,0,2,2022-02-16T03:04:11Z,170000,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2022-02-16T03:04:11.7Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,0,2,2022-02-16T03:04:15Z,180000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M26.00S,2022-02-16T03:04:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,84.97043363994744,51.470588235294116,1610612746,0,4,2022-02-16T03:04:25Z,190000,7.0,89.0,1,right,T. Mann 8' bank Jump Shot (2 PTS) (I. Zubac 1 AST),"[1629611, 1627826]",1610612746.0,LAC,bank,,,Mann,T. Mann,,,,,8.91,Made,,,,,,,2.0,I. Zubac,1627826.0,1.0,,,,,,,,
22,PT10M18.00S,2022-02-16T03:04:30.8Z,1,REGULAR,3pt,Jump Shot,[],203109,23.73521681997372,11.519607843137255,1610612756,3,4,2022-02-16T03:05:48Z,210000,192.0,171.0,1,left,J. Crowder 25' 3PT  (3 PTS) (M. Bridges 1 AST),"[203109, 1628969]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,25.71,Made,,,,,,,3.0,M. Bridges,1628969.0,1.0,,,,,,,,
24,PT10M18.00S,2022-02-16T03:04:36.7Z,1,REGULAR,foul,personal,['1freethrow'],202704,,,1610612756,3,4,2022-02-16T03:04:54Z,230000,,,0,,R. Jackson shooting personal FOUL (1 PF) (Crowder 1 FT),"[202704, 203109]",1610612746.0,LAC,shooting,,,Jackson,R. Jackson,,,,,,,,,,,203593.0,,,,,,,,1.0,0.0,Crowder,203109.0,,
