actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-08T03:11:45.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T03:11:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-08T03:11:47.8Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-01-08T03:11:47Z,40000,,,0,,Jump Ball J. Allen vs. J. Nurkic: Tip to L. Markkanen,"[1628374, 1628386, 203994]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Allen,1628386.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-08T03:12:02.2Z,1,REGULAR,3pt,Jump Shot,[],1629636,24.129434954007884,91.17647058823529,1610612739,0,0,2022-01-08T03:12:07Z,70000,-206.0,174.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,26.98,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-08T03:12:07.2Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,0,0,2022-01-08T03:12:07Z,80000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-01-08T03:12:15.4Z,1,REGULAR,3pt,Jump Shot,[],203496,73.9323258869908,15.931372549019606,1610612757,0,0,2022-01-08T03:12:20Z,90000,-170.0,193.0,1,right,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-01-08T03:12:19.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2022-01-08T03:12:20Z,100000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-01-08T03:12:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630205,6.1268068331143235,54.65686274509803,1610612739,0,0,2022-01-08T03:12:39Z,110000,-23.0,5.0,1,left,MISS L. Stevens driving Layup - blocked,"[1630205, 1629014]",1610612739.0,CLE,driving,,,Stevens,L. Stevens,,,,,2.39,Missed,,,,,Simons,1629014.0,,,,,,,,,,,,,
12,PT11M17.00S,2022-01-08T03:12:31.9Z,1,REGULAR,block,,[],1629014,,,1610612739,0,0,2022-01-08T03:12:34Z,120000,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2022-01-08T03:12:31.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2022-01-08T03:12:39Z,130000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-01-08T03:12:38.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,0,2022-01-08T03:12:38Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2022-01-08T03:12:55.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630596,11.383048620236531,49.50980392156863,1610612739,0,0,2022-01-08T03:13:00Z,150000,2.0,55.0,1,left,MISS E. Mobley driving Hook,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,5.46,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2022-01-08T03:12:57.9Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,0,0,2022-01-08T03:13:00Z,160000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
17,PT10M52.00S,2022-01-08T03:13:08.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,94.56307490144546,47.549019607843135,1610612757,2,0,2022-01-08T03:13:11Z,170000,-12.0,-1.0,1,right,N. Powell driving Layup (2 PTS),[1626181],1610612757.0,POR,driving,,,Powell,N. Powell,,,,,1.24,Made,,,,,,,2.0,,,,,,,,,,,,
18,PT10M37.00S,2022-01-08T03:13:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,20.45006570302234,91.91176470588235,1610612739,2,3,2022-01-08T03:13:28Z,180000,-210.0,140.0,1,left,D. Garland 25' 3PT step back (3 PTS) (J. Allen 1 AST),"[1629636, 1628386]",1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,25.19,Made,,,,,,,3.0,J. Allen,1628386.0,1.0,,,,,,,,,
20,PT10M13.00S,2022-01-08T03:13:47.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,91.5407358738502,41.66666666666667,1610612757,4,3,2022-01-08T03:13:51Z,200000,-42.0,27.0,1,right,J. Nurkic driving Hook (2 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,4.97,Made,,,,,,,2.0,,,,,,,,,,,,
21,PT10M01.00S,2022-01-08T03:13:58.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,33.590670170827856,50.0,1610612739,4,3,2022-01-08T03:14:02Z,210000,0.0,263.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2022-01-08T03:14:00.7Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,4,3,2022-01-08T03:14:02Z,220000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT09M49.00S,2022-01-08T03:14:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629642,94.1688567674113,46.32352941176471,1610612757,4,3,2022-01-08T03:14:15Z,230000,-18.0,2.0,1,right,MISS N. Little driving Layup,[1629642],1610612757.0,POR,driving,,,Little,N. Little,,,,,1.85,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2022-01-08T03:14:11.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,3,2022-01-08T03:18:35Z,240000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
48,PT09M48.00S,2022-01-08T03:14:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,94.3988173455979,51.71568627450981,1610612757,4,3,2022-01-08T03:17:49Z,245000,9.0,0.0,1,right,MISS J. Nurkic tip Layup,[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,0.86,Missed,,,,,,,,,,,,,,,,,,,
49,PT09M48.00S,2022-01-08T03:14:17.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,3,2022-01-08T03:17:49Z,247500,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT09M39.00S,2022-01-08T03:14:22.5Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612739,4,3,2022-01-08T03:14:46Z,250000,,,0,,R. Covington shooting personal FOUL (1 PF) (Markkanen 2 FT),"[203496, 1628374]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Markkanen,1628374.0,,,,
27,PT09M39.00S,2022-01-08T03:14:48.7Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,4,4,2022-01-08T03:14:48Z,270000,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
