actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-27T23:41:27.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-27T23:41:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-27T23:41:30.7Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-10-27T23:41:30Z,40000,,,0,,Jump Ball J. McGee vs. N. Claxton: Tip to S. Dinwiddie,"[203915, 201580, 1629651]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,McGee,201580.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-10-27T23:41:47.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,16.113666228646515,64.70588235294117,1610612742,0,0,2022-10-27T23:41:54Z,70000,-74.0,99.0,1,left,MISS L. Doncic 12' turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Left,12.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-10-27T23:41:51.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,0,0,2022-10-27T23:41:54Z,80000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-10-27T23:41:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627732,84.83902759526939,40.44117647058824,1610612751,2,0,2022-10-27T23:42:03Z,90000,-48.0,90.0,1,right,B. Simmons 10' floating Jump Shot (2 PTS) (K. Durant 1 AST),"[1627732, 201142]",1610612751.0,BKN,floating,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Center,10.19,Made,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,,,,
11,PT11M12.00S,2022-10-27T23:42:13.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,6.1268068331143235,3.431372549019608,1610612742,2,0,2022-10-27T23:42:19Z,110000,233.0,5.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-10-27T23:42:16.6Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,2,0,2022-10-27T23:42:19Z,120000,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M54.00S,2022-10-27T23:42:31.8Z,1,REGULAR,2pt,Jump Shot,[],202681,74.45795006570303,64.4607843137255,1610612751,4,0,2022-10-27T23:42:51Z,130000,72.0,188.0,1,right,K. Irving 20' pullup Jump Shot (2 PTS) (K. Durant 2 AST),"[202681, 201142]",1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,20.1,Made,,,,,2.0,K. Durant,201142.0,2.0,,,,,,,,,,
15,PT10M36.00S,2022-10-27T23:42:52.6Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612742,4,0,2022-10-27T23:43:03Z,150000,,,0,,R. O'Neale shooting personal FOUL (1 PF) (McGee 2 FT),"[1626220, 201580]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202053.0,1.0,0.0,McGee,201580.0,,,,,
17,PT10M36.00S,2022-10-27T23:43:27.9Z,1,REGULAR,freethrow,1 of 2,[],201580,,,1610612742,4,1,2022-10-27T23:43:27Z,170000,,,0,,J. McGee Free Throw 1 of 2 (1 PTS),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
18,PT10M36.00S,2022-10-27T23:43:49.3Z,1,REGULAR,freethrow,2 of 2,[],201580,,,1610612742,4,2,2022-10-27T23:43:49Z,180000,,,0,,J. McGee Free Throw 2 of 2 (2 PTS),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M16.00S,2022-10-27T23:44:10.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,91.80354796320631,60.78431372549019,1610612751,4,2,2022-10-27T23:44:17Z,190000,54.0,25.0,1,right,MISS B. Simmons driving Hook,[1627732],1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,,,,,
20,PT10M10.00S,2022-10-27T23:44:16.7Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,4,2,2022-10-27T23:44:17Z,200000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M10.00S,2022-10-27T23:44:16.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629651,94.40999984741211,50.0,1610612751,6,2,2022-10-27T23:44:16Z,210000,0.0,0.0,1,right,N. Claxton putback DUNK (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
22,PT09M46.00S,2022-10-27T23:44:40.8Z,1,REGULAR,turnover,bad pass,[],201580,,,1610612742,6,2,2022-10-27T23:44:44Z,220000,,,0,,J. McGee bad pass TURNOVER (1 TO),"[201580, 201142]",1610612742.0,DAL,,,,McGee,J. McGee,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,1.0,Durant,201142.0,,
23,PT09M46.00S,2022-10-27T23:44:40.8Z,1,REGULAR,steal,,[],201142,,,1610612751,6,2,2022-10-27T23:44:42Z,230000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT09M42.00S,2022-10-27T23:44:47.5Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612751,6,2,2022-10-27T23:44:59Z,240000,,,0,,L. Doncic shooting personal FOUL (1 PF) (Claxton 2 FT),"[1629029, 1629651]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202053.0,1.0,0.0,Claxton,1629651.0,,,,,
26,PT09M42.00S,2022-10-27T23:45:11.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629651,,,1610612751,6,2,2022-10-27T23:45:31Z,260000,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M42.00S,2022-10-27T23:45:11.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,6,2,2022-10-27T23:45:31Z,270000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,
