actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-13T00:10:48.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-13T00:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-13T00:10:51.4Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612765,0,0,2022-11-13T00:10:51Z,40000,False,,,0,,Jump Ball I. Stewart vs. B. Griffin: Tip to B. Bogdanovic,"[202711, 1630191, 201933]",1610612765.0,DET,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Stewart,1630191.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-13T00:11:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,10.167542706964511,44.85294117647059,1610612765,2,0,2022-11-13T00:11:13Z,70000,False,26.0,43.0,1,left,K. Hayes driving floating Jump Shot (2 PTS),[1630165],1610612765.0,DET,driving floating,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,5.02,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-11-13T00:11:27.4Z,1,REGULAR,2pt,Jump Shot,[],1628401,93.2161629434954,28.92156862745098,1610612738,2,2,2022-11-13T00:11:33Z,80000,False,-105.0,11.0,1,right,D. White 10' fadeaway Jump Shot (2 PTS),[1628401],1610612738.0,BOS,fadeaway,,,White,D. White,,,,,Mid-Range,8-16 Left,10.6,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M05.00S,2022-11-13T00:11:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,11.875821287779246,40.931372549019606,1610612765,2,2,2022-11-13T00:11:49Z,90000,False,45.0,59.0,1,left,MISS B. Bogdanovic 7' fadeaway Shot,[202711],1610612765.0,DET,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,7.45,Missed,,,,,,,,,,,,,,,,,,
10,PT11M00.00S,2022-11-13T00:11:46.9Z,1,REGULAR,rebound,defensive,[],201933,,,1610612738,2,2,2022-11-13T00:11:46Z,100000,False,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,In The Paint (Non-RA),0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M51.00S,2022-11-13T00:11:56.7Z,1,REGULAR,3pt,Jump Shot,[],201933,66.67214191852825,45.58823529411765,1610612738,2,5,2022-11-13T00:12:02Z,110000,False,-22.0,261.0,1,right,B. Griffin 26' 3PT  (3 PTS) (D. White 1 AST),"[201933, 1628401]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Center,26.17,Made,3.0,,,,,D. White,1628401.0,1.0,,,,,,,,,,
13,PT10M39.00S,2022-11-13T00:12:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630165,7.802233902759525,4.166666666666657,1610612765,2,5,2022-11-13T00:12:13Z,130000,False,229.0,21.0,1,left,MISS K. Hayes 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,23.01,Missed,,,,,,,,,,,,,,,,,,
14,PT10M35.00S,2022-11-13T00:12:12.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,5,2022-11-13T00:12:14Z,140000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M24.00S,2022-11-13T00:12:23.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201933,90.8508541392904,49.26470588235294,1610612738,2,5,2022-11-13T00:12:30Z,150000,False,-4.0,34.0,1,right,MISS B. Griffin Hook,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,,,,,,,
16,PT10M23.00S,2022-11-13T00:12:24.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,5,2022-11-13T00:12:30Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,15.0,,,,,,,,,,,,,,,,
17,PT10M23.00S,2022-11-13T00:12:33.7Z,1,REGULAR,foul,personal,[],1630180,,,1610612738,2,5,2022-11-13T00:12:45Z,170000,False,,,0,,S. Bey loose ball personal FOUL (1 PF),"[1630180, 1629684]",1610612765.0,DET,loose ball,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2882.0,1.0,0.0,Williams,1629684.0,,,,,
19,PT10M12.00S,2022-11-13T00:12:55.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628401,83.49211563731932,24.019607843137265,1610612738,2,5,2022-11-13T00:13:00Z,190000,False,-130.0,103.0,1,right,MISS D. White 16' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,16-24 Left Center,16.56,Missed,,,,,,,,,,,,,,,,,,
20,PT10M08.00S,2022-11-13T00:12:59.3Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,2,5,2022-11-13T00:13:00Z,200000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Left Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT09M59.00S,2022-11-13T00:13:08.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,12.401445466491452,46.568627450980394,1610612765,4,5,2022-11-13T00:13:13Z,210000,False,17.0,64.0,1,left,I. Stewart 6' Hook (2 PTS) (B. Bogdanovic 1 AST),"[1630191, 202711]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,6.64,Made,2.0,,,,,B. Bogdanovic,202711.0,1.0,,,,,,,,,,
23,PT09M47.00S,2022-11-13T00:13:22.1Z,1,REGULAR,foul,personal,['3freethrow'],202711,,,1610612738,4,5,2022-11-13T00:13:35Z,230000,False,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Tatum 3 FT),"[202711, 1628369]",1610612765.0,DET,shooting,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627963.0,1.0,0.0,Tatum,1628369.0,,,,,
