actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-15T03:10:39.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-15T03:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-15T03:10:41.1Z,1,REGULAR,jumpball,recovered,[],1628966,,,1610612759,0,0,2022-11-15T03:10:41Z,40000,False,,,0,,Jump Ball J. Poeltl vs. K. Looney: Tip to K. Bates-Diop,"[1628966, 1627751, 1626172]",1610612759.0,SAS,startperiod,K. Bates-Diop,1628966.0,Bates-Diop,K. Bates-Diop,Poeltl,1627751.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-15T03:10:51.6Z,1,REGULAR,2pt,Jump Shot,[],1630170,11.777266754270697,81.86274509803921,1610612759,0,2,2022-11-15T03:11:13Z,70000,False,-159.0,58.0,1,left,D. Vassell 16' step back Jump Shot (2 PTS),[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left,16.96,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-11-15T03:11:11.8Z,1,REGULAR,3pt,Jump Shot,[],201939,92.85479632063075,96.56862745098039,1610612744,3,2,2022-11-15T03:11:16Z,80000,False,233.0,15.0,1,right,S. Curry 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,23.33,Made,3.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
10,PT11M17.00S,2022-11-15T03:11:24.9Z,1,REGULAR,foul,offensive,[],1631110,,,1610612759,3,2,2022-11-15T03:11:40Z,100000,False,,,0,,J. Sochan offensive FOUL (1 PF),"[1631110, 203952]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,,,,,,,1627962.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
12,PT11M17.00S,2022-11-15T03:11:24.9Z,1,REGULAR,turnover,offensive foul,[],1631110,,,1610612759,3,2,2022-11-15T03:11:24Z,120000,False,,,0,,J. Sochan offensive foul TURNOVER (1 TO),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,,,,,,,1627962.0,,,,,1.0,,,,,,,,
13,PT10M58.00S,2022-11-15T03:11:55.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,67.62483574244416,22.058823529411764,1610612744,3,2,2022-11-15T03:12:05Z,130000,False,-140.0,252.0,1,right,MISS S. Curry 28' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,28.8,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-11-15T03:11:59.0Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,3,2,2022-11-15T03:12:05Z,140000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,
15,PT10M45.00S,2022-11-15T03:12:07.3Z,1,REGULAR,turnover,out-of-bounds,[],1629640,,,1610612759,3,2,2022-11-15T03:12:13Z,150000,False,,,0,,K. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1629640],1610612759.0,SAS,bad pass,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1628487.0,,,,,1.0,,,,,,,,
16,PT10M38.00S,2022-11-15T03:12:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1629673,94.1688567674113,52.94117647058824,1610612744,5,2,2022-11-15T03:12:55Z,160000,False,15.0,2.0,1,right,J. Poole driving finger roll Layup (2 PTS) (K. Looney 1 AST),"[1629673, 1626172]",1610612744.0,GSW,driving finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,
