actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-23T00:10:38.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-23T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-23T00:10:43.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612749,0,0,2023-03-23T00:10:43Z,40000,False,,,0,,Jump Ball B. Lopez vs. Z. Collins: Tip to Team (MIL),"[201572, 1628380]",1610612749.0,MIL,startperiod,Team (MIL),Lopez,201572.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2023-03-23T00:11:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,15.325229960578188,39.705882352941174,1610612749,2,0,2023-03-23T00:12:42Z,80000,False,51.0,92.0,1,left,K. Middleton 10' driving floating Jump Shot (2 PTS),[203114],1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.51,Made,2.0,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-03-23T00:11:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,90.22667542706965,58.82352941176471,1610612759,2,2,2023-03-23T00:11:21Z,90000,False,44.0,39.0,1,right,J. Sochan driving Layup (2 PTS) (M. Branham 1 AST),"[1631110, 1631103]",1610612759.0,SAS,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.91,Made,2.0,Sochan,J. Sochan,M. Branham,1631103.0,1.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-03-23T00:11:28.6Z,1,REGULAR,3pt,Jump Shot,[],1628960,10.463206307490145,3.1862745098039214,1610612749,5,2,2023-03-23T00:11:33Z,110000,False,234.0,46.0,1,left,G. Allen 3PT  (3 PTS) (K. Middleton 1 AST),"[1628960, 203114]",1610612749.0,MIL,,,,,,,Right Corner 3,24+ Right,23.86,Made,3.0,Allen,G. Allen,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,,
13,PT11M02.00S,2023-03-23T00:11:48.1Z,1,REGULAR,3pt,Jump Shot,[],1631110,75.50919842312747,90.68627450980392,1610612759,5,2,2023-03-23T00:11:53Z,130000,False,203.0,178.0,1,right,MISS J. Sochan 27' 3PT,[1631110],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,27.01,Missed,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2023-03-23T00:11:51.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,2,2023-03-23T00:11:53Z,140000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Antetokounmpo,G. Antetokounmpo,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M52.00S,2023-03-23T00:11:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.178055190538765,60.29411764705882,1610612749,5,2,2023-03-23T00:12:03Z,150000,False,-51.0,15.0,1,left,MISS J. Holiday Layup,[201950],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),0-8 Center,5.36,Missed,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2023-03-23T00:12:00.8Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,5,2,2023-03-23T00:12:03Z,160000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Collins,Z. Collins,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M44.00S,2023-03-23T00:12:06.4Z,1,REGULAR,3pt,Jump Shot,[],1630170,75.77201051248358,5.392156862745098,1610612759,5,2,2023-03-23T00:12:21Z,170000,False,-223.0,175.0,1,right,MISS D. Vassell 28' 3PT,[1630170],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,28.36,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
