actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-03T01:10:37.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-03T01:10:41.7Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-01-03T01:10:41Z,40000,False,,,0,,Jump Ball N. Jokic vs. R. Gobert: Tip to A. Gordon,"[203932, 203999, 203497]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-03T01:10:52.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,69.99014454664915,26.96078431372549,1610612743,0,0,2023-01-03T01:10:59Z,70000,False,-115.0,230.0,1,right,MISS J. Murray 25' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-03T01:10:55.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2023-01-03T01:10:59Z,80000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-01-03T01:11:08.8Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,0,0,2023-01-03T01:11:15Z,90000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 203999]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Jokic,203999.0,,,,,,,,,,,
10,PT11M28.00S,2023-01-03T01:11:08.8Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2023-01-03T01:11:10Z,100000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2023-01-03T01:11:14.5Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612743,0,0,2023-01-03T01:11:21Z,110000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630162, 203932]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,203593.0,1.0,0.0,Gordon,203932.0,,,,,,
13,PT11M24.00S,2023-01-03T01:11:42.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203932,,,1610612743,0,1,2023-01-03T01:11:42Z,130000,False,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
14,PT11M24.00S,2023-01-03T01:12:00.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203932,,,1610612743,0,2,2023-01-03T01:12:00Z,140000,False,,,0,,A. Gordon Free Throw 2 of 2 (2 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
15,PT11M02.00S,2023-01-03T01:12:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,9.280551905387648,54.41176470588235,1610612750,2,2,2023-01-03T01:12:31Z,150000,False,-22.0,35.0,1,left,R. Gobert driving Layup (2 PTS) (J. McDaniels 1 AST),"[203497, 1630183]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,4.11,Made,,,,,,,,,,,,,2.0,J. McDaniels,1630183.0,1.0,,
17,PT10M51.00S,2023-01-03T01:12:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,90.22667542706965,49.754901960784316,1610612743,2,4,2023-01-03T01:14:05Z,170000,False,-1.0,39.0,1,right,N. Jokic driving floating Jump Shot (2 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.94,Made,,,,,,,,,,,,,2.0,,,,,
19,PT10M40.00S,2023-01-03T01:12:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629669,7.178055190538765,49.26470588235294,1610612750,4,4,2023-01-03T01:12:50Z,190000,False,4.0,15.0,1,left,J. Nowell driving finger roll Layup (2 PTS) (R. Gobert 1 AST),"[1629669, 203497]",1610612750.0,MIN,driving finger roll,,,Nowell,J. Nowell,,,,,Restricted Area,0-8 Center,1.54,Made,,,,,,,,,,,,,2.0,R. Gobert,203497.0,1.0,,
21,PT10M33.00S,2023-01-03T01:12:53.5Z,1,REGULAR,3pt,Jump Shot,[],203932,80.3712220762155,90.93137254901961,1610612743,4,4,2023-01-03T01:12:57Z,210000,False,205.0,132.0,1,right,MISS A. Gordon 24' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,24.36,Missed,,,,,,,,,,,,,,,,,,
22,PT10M30.00S,2023-01-03T01:12:56.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,4,2023-01-03T01:12:57Z,220000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M20.00S,2023-01-03T01:13:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203937,6.915243101182654,50.73529411764706,1610612750,6,4,2023-01-03T01:15:16Z,230000,False,-4.0,13.0,1,left,K. Anderson driving finger roll Layup (2 PTS) (A. Edwards 1 AST),"[203937, 1630162]",1610612750.0,MIN,driving finger roll,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,,,,,,,,,2.0,A. Edwards,1630162.0,1.0,,
25,PT09M55.00S,2023-01-03T01:13:33.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,6,4,2023-01-03T01:13:48Z,250000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2023-01-03T01:14:07.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629669,18.873193166885677,58.57843137254902,1610612750,6,4,2023-01-03T01:14:11Z,260000,False,-43.0,125.0,1,left,MISS J. Nowell 13' pullup Shot,[1629669],1610612750.0,MIN,pullup,,,Nowell,J. Nowell,,,,,In The Paint (Non-RA),8-16 Center,13.21,Missed,,,,,,,,,,,,,,,,,,
27,PT09M31.00S,2023-01-03T01:14:10.1Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,6,4,2023-01-03T01:14:11Z,270000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M28.00S,2023-01-03T01:14:12.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,74.19513797634691,16.911764705882355,1610612743,6,7,2023-01-03T01:14:19Z,280000,False,-165.0,190.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.2,Made,,,,,,,,,,,,,3.0,J. Murray,1627750.0,1.0,,
30,PT09M11.00S,2023-01-03T01:14:31.3Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612750,6,7,2023-01-03T01:14:40Z,300000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Anderson 2 FT),"[1629008, 203937]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1162.0,1.0,0.0,Anderson,203937.0,,,,,,
32,PT09M11.00S,2023-01-03T01:15:01.0Z,1,REGULAR,freethrow,1 of 2,[],203937,,,1610612750,7,7,2023-01-03T01:15:01Z,320000,False,,,0,,K. Anderson Free Throw 1 of 2 (3 PTS),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
33,PT09M11.00S,2023-01-03T01:15:19.8Z,1,REGULAR,freethrow,2 of 2,[],203937,,,1610612750,8,7,2023-01-03T01:15:19Z,330000,False,,,0,,K. Anderson Free Throw 2 of 2 (4 PTS),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,Made,,,,,,,,,,,,,4.0,,,,,
34,PT08M58.00S,2023-01-03T01:15:34.6Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,8,7,2023-01-03T01:15:39Z,340000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 203937]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Anderson,203937.0,,,,,,,,,,,
35,PT08M58.00S,2023-01-03T01:15:34.6Z,1,REGULAR,steal,,[],203937,,,1610612750,8,7,2023-01-03T01:15:36Z,350000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
36,PT08M53.00S,2023-01-03T01:15:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629669,6.652431011826544,49.50980392156863,1610612750,10,7,2023-01-03T01:15:45Z,360000,False,2.0,10.0,1,left,J. Nowell running finger roll Layup (4 PTS) (K. Anderson 1 AST),"[1629669, 203937]",1610612750.0,MIN,running finger roll,,,Nowell,J. Nowell,,,,,Restricted Area,0-8 Center,1.03,Made,,,,,,,,,,,,,4.0,K. Anderson,203937.0,1.0,,
38,PT08M40.00S,2023-01-03T01:15:54.3Z,1,REGULAR,foul,personal,['2freethrow'],203937,,,1610612743,10,7,2023-01-03T01:16:01Z,380000,False,,,0,,K. Anderson shooting personal FOUL (1 PF) (Gordon 2 FT),"[203937, 203932]",1610612750.0,MIN,shooting,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,1162.0,1.0,0.0,Gordon,203932.0,,,,,,
40,PT08M40.00S,2023-01-03T01:16:20.3Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,10,8,2023-01-03T01:16:20Z,400000,False,,,0,,A. Gordon Free Throw 1 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
41,PT08M40.00S,2023-01-03T01:16:37.2Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,10,9,2023-01-03T01:16:37Z,410000,False,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,,,,,4.0,,,,,
42,PT08M19.00S,2023-01-03T01:16:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,6.389618922470433,50.245098039215684,1610612750,12,9,2023-01-03T01:17:04Z,420000,False,-1.0,8.0,1,left,J. McDaniels cutting Layup (2 PTS),[1630183],1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,,,,,,,2.0,,,,,
43,PT08M10.00S,2023-01-03T01:17:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.9862023653088,51.71568627450981,1610612743,12,9,2023-01-03T01:17:17Z,430000,False,9.0,13.0,1,right,MISS A. Gordon Layup - blocked,"[203932, 203497]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0
44,PT08M10.00S,2023-01-03T01:17:07.8Z,1,REGULAR,block,,[],203497,,,1610612743,12,9,2023-01-03T01:17:09Z,440000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M07.00S,2023-01-03T01:17:10.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,12,9,2023-01-03T01:17:10Z,450000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,
46,PT08M05.00S,2023-01-03T01:17:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,93.51182654402102,50.0,1610612743,12,9,2023-01-03T01:17:20Z,460000,False,0.0,8.0,1,right,MISS A. Gordon putback Layup - blocked,"[203932, 1630183]",1610612743.0,DEN,putback,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,,,,,,McDaniels,1630183.0
47,PT08M05.00S,2023-01-03T01:17:12.1Z,1,REGULAR,block,,[],1630183,,,1610612743,12,9,2023-01-03T01:17:14Z,470000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
