actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-01T00:10:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T00:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-01T00:10:23.0Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2022-12-01T00:10:23Z,40000,False,,,0,,Jump Ball B. Bol vs. C. Capela: Tip to M. Fultz,"[1628365, 1629626, 203991]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Bol,1629626.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-01T00:10:36.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,6.387974742834264,52.20588235294118,1610612753,2,0,2022-12-01T00:10:41Z,70000,False,-11.0,8.0,1,left,F. Wagner cutting DUNK (2 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.33,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-12-01T00:10:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,93.90440049841902,50.73529411764706,1610612737,2,2,2022-12-01T00:11:23Z,90000,False,4.0,5.0,1,right,T. Young driving Layup (2 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-12-01T00:11:04.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,13.746713244805356,47.30392156862745,1610612753,4,2,2022-12-01T00:11:14Z,100000,False,13.0,77.0,1,left,M. Fultz 7' Hook (2 PTS),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,7.79,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M56.00S,2022-12-01T00:11:21.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,91.80190378357014,40.931372549019606,1610612737,4,4,2022-12-01T00:11:53Z,110000,False,-45.0,25.0,1,right,C. Capela driving Hook (2 PTS) (D. Murray 1 AST),"[203991, 1627749]",1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.15,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
15,PT10M35.00S,2022-12-01T00:11:58.9Z,1,REGULAR,foul,offensive,[],1630532,,,1610612753,4,4,2022-12-01T00:13:06Z,150000,False,,,0,,F. Wagner charge offensive FOUL (1 PF),"[1630532, 203991]",1610612753.0,ORL,charge,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1198.0,1.0,0.0,Capela,203991.0,,,,,,,,,
17,PT10M35.00S,2022-12-01T00:11:58.9Z,1,REGULAR,turnover,offensive foul,[],1630532,,,1610612753,4,4,2022-12-01T00:11:58Z,170000,False,,,0,,F. Wagner offensive foul TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1198.0,,,,,1.0,,,,,,,,
18,PT10M21.00S,2022-12-01T00:12:22.4Z,1,REGULAR,foul,personal,['2freethrow'],1629626,,,1610612737,4,4,2022-12-01T00:12:42Z,180000,False,,,0,,B. Bol shooting personal FOUL (1 PF) (Collins 2 FT),"[1629626, 1628381]",1610612753.0,ORL,shooting,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,204059.0,1.0,0.0,Collins,1628381.0,,,,,,,,,
20,PT10M21.00S,2022-12-01T00:12:46.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628381,,,1610612737,4,5,2022-12-01T00:13:10Z,200000,False,,,0,,J. Collins Free Throw 1 of 2 (1 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-12-01T00:12:46.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628381,,,1610612737,4,6,2022-12-01T00:13:10Z,210000,False,,,0,,J. Collins Free Throw 2 of 2 (2 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-12-01T00:13:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628365,9.541719815107589,51.71568627450981,1610612753,4,6,2022-12-01T00:13:24Z,220000,False,-9.0,37.0,1,left,MISS M. Fultz driving Layup,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2022-12-01T00:13:21.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,6,2022-12-01T00:13:24Z,230000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,
