actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-24T00:10:40.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T00:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-24T00:10:42.2Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2022-12-24T00:10:42Z,40000,False,,,0,,Jump Ball J. Embiid vs. I. Zubac: Tip to J. Harden,"[201935, 203954, 1627826]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-12-24T00:10:59.9Z,1,REGULAR,2pt,Jump Shot,[],203954,6.8823915900131425,32.35294117647058,1610612755,2,0,2022-12-24T00:11:04Z,70000,False,88.0,12.0,1,left,J. Embiid 8' fadeaway Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,8.9,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
8,PT11M21.00S,2022-12-24T00:11:19.0Z,1,REGULAR,2pt,Jump Shot,[],202695,83.36070959264126,77.20588235294117,1610612746,2,2,2022-12-24T00:11:23Z,80000,False,136.0,104.0,1,right,K. Leonard 17' pullup Jump Shot (2 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right Center,17.11,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M06.00S,2022-12-24T00:11:34.0Z,1,REGULAR,2pt,Jump Shot,[],203954,20.68002628120894,44.11764705882353,1610612755,2,2,2022-12-24T00:11:38Z,90000,False,29.0,142.0,1,left,MISS J. Embiid 14' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,14.49,Missed,,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2022-12-24T00:11:36.0Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,2,2022-12-24T00:11:38Z,100000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT10M57.00S,2022-12-24T00:11:43.1Z,1,REGULAR,3pt,Jump Shot,[],202694,70.08869908015768,24.264705882352942,1610612746,2,5,2022-12-24T00:11:47Z,110000,False,-129.0,229.0,1,right,M. Morris Sr. 26' 3PT  (3 PTS) (K. Leonard 1 AST),"[202694, 202695]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,26.24,Made,3.0,K. Leonard,202695.0,1.0,,,,,,,,,,,,,,
13,PT10M31.00S,2022-12-24T00:12:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,20.154402102496718,64.95098039215686,1610612755,4,5,2022-12-24T00:12:13Z,130000,False,-75.0,137.0,1,left,J. Harden 15' step back Jump Shot (2 PTS),[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,15.61,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M14.00S,2022-12-24T00:12:25.7Z,1,REGULAR,2pt,Jump Shot,[],202695,84.28055190538765,74.75490196078431,1610612746,4,7,2022-12-24T00:12:30Z,140000,False,124.0,95.0,1,right,K. Leonard 15' turnaround fadeaway Jump Shot (4 PTS),[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,15.62,Made,4.0,,,,,,,,,,,,,,,,,
15,PT09M57.00S,2022-12-24T00:12:42.7Z,1,REGULAR,2pt,Jump Shot,[],203954,13.32128777923785,71.81372549019608,1610612755,4,7,2022-12-24T00:12:47Z,150000,False,-109.0,73.0,1,left,MISS J. Embiid 13' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,13.11,Missed,,,,,,,,,,,,,,,,,,
