actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-22T02:11:15.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-22T02:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-03-22T02:11:17.3Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-03-22T02:11:17Z,40000,False,,,0,,Jump Ball A. Horford vs. D. Sabonis: Tip to M. Smart,"[203935, 201143, 1627734]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-22T02:11:32.5Z,1,REGULAR,foul,personal,['2freethrow'],1630556,,,1610612738,0,0,2023-03-22T02:11:50Z,70000,False,,,0,,K. Edwards shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630556, 1628369]",1610612758.0,SAC,shooting,,,Edwards,K. Edwards,,,,,In The Paint (Non-RA),0-8 Center,202035.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-03-22T02:11:56.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,0,0,2023-03-22T02:12:22Z,90000,False,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M44.00S,2023-03-22T02:11:56.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,0,0,2023-03-22T02:12:22Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M44.00S,2023-03-22T02:11:56.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,0,0,2023-03-22T02:12:22Z,110000,False,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M42.00S,2023-03-22T02:11:58.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2023-03-22T02:12:22Z,120000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M19.00S,2023-03-22T02:12:34.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,32.14520367936925,48.28431372549019,1610612758,3,0,2023-03-22T02:12:56Z,140000,False,9.0,250.0,1,left,D. Fox 24' 3PT pullup (3 PTS) (K. Edwards 1 AST),"[1628368, 1630556]",1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,Made,,,,,24.98,3.0,K. Edwards,1630556.0,1.0,,,,,
16,PT11M07.00S,2023-03-22T02:12:46.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.45137976346912,22.794117647058822,1610612738,3,2,2023-03-22T02:13:44Z,160000,False,-136.0,141.0,1,right,J. Brown 19' pullup Jump Shot (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,Made,,,,,19.57,2.0,M. Smart,203935.0,1.0,,,,,
18,PT10M56.00S,2023-03-22T02:12:56.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,7.703679369250986,97.30392156862744,1610612758,6,2,2023-03-22T02:13:09Z,180000,False,-237.0,20.0,1,left,K. Murray 3PT  (3 PTS) (D. Fox 1 AST),"[1631099, 1628368]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,,,,Made,,,,,23.73,3.0,D. Fox,1628368.0,1.0,,,,,
