actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-10T01:10:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T01:10:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-10T01:10:11.5Z,1,REGULAR,jumpball,recovered,[],1630583,,,1610612763,0,0,2022-11-10T01:10:11Z,40000,False,,,0,,Jump Ball S. Adams vs. J. Poeltl: Tip to S. Aldama,"[1630583, 203500, 1627751]",1610612763.0,MEM,startperiod,S. Aldama,1630583.0,Aldama,S. Aldama,Adams,203500.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2022-11-10T01:10:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,93.9060446780552,49.754901960784316,1610612763,0,2,2022-11-10T01:10:27Z,70000,False,-1.0,5.0,1,right,D. Brooks Layup (2 PTS) (S. Aldama 1 AST),"[1628415, 1630583]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,0.49,Made,2.0,S. Aldama,1630583.0,1.0,,,,,,,,,,,,,,
9,PT11M40.00S,2022-11-10T01:10:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,5.863994743758213,45.09803921568628,1610612759,0,2,2022-11-10T01:12:03Z,90000,False,25.0,3.0,1,left,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.46,Missed,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2022-11-10T01:10:28.4Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,0,2,2022-11-10T01:10:28Z,100000,False,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M36.00S,2022-11-10T01:10:31.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630170,5.863994743758213,48.28431372549019,1610612759,0,2,2022-11-10T01:10:41Z,110000,False,9.0,3.0,1,left,MISS D. Vassell driving finger roll Layup,[1630170],1610612759.0,SAS,driving finger roll,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,,,,,,,,,,,,,,
12,PT11M36.00S,2022-11-10T01:10:31.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,2,2022-11-10T01:10:41Z,120000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M18.00S,2022-11-10T01:10:49.6Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,0,2,2022-11-10T01:10:59Z,130000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1627751]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,,,,
14,PT11M18.00S,2022-11-10T01:10:49.6Z,1,REGULAR,steal,,[],1627751,,,1610612759,0,2,2022-11-10T01:10:51Z,140000,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-11-10T01:10:58.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,13.61695137976347,35.78431372549019,1610612759,0,2,2022-11-10T01:11:07Z,150000,False,71.0,75.0,1,left,MISS J. Poeltl 10' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Right,10.37,Missed,,,,,,,,,,,,,,,,,,
