actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-01T02:10:23.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-01T02:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-01T02:10:27.5Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2023-01-01T02:10:27Z,40000,False,,,0,,Jump Ball B. Adebayo vs. K. Olynyk: Tip to M. Strus,"[1629622, 1628389, 203482]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Adebayo,1628389.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-01-01T02:10:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629312,7.835085413929041,44.6078431372549,1610612748,0,2,2023-01-01T02:10:50Z,70000,False,27.0,21.0,1,left,H. Highsmith Layup (2 PTS) (M. Strus 1 AST),"[1629312, 1629622]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,3.43,Made,2.0,M. Strus,1629622.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2023-01-01T02:11:06.5Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,0,2,2023-01-01T02:11:11Z,90000,False,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1629639]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,Herro,1629639.0,,,,,,,,,,,
10,PT11M16.00S,2023-01-01T02:11:06.5Z,1,REGULAR,steal,,[],1629639,,,1610612748,0,2,2023-01-01T02:11:08Z,100000,False,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2023-01-01T02:11:16.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628389,7.5722733245729295,48.77450980392157,1610612748,0,4,2023-01-01T02:11:20Z,110000,False,6.0,19.0,1,left,B. Adebayo driving DUNK (2 PTS) (M. Strus 2 AST),"[1628389, 1629622]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.97,Made,2.0,M. Strus,1629622.0,2.0,,,,,,,,,,,,,,
13,PT10M50.00S,2023-01-01T02:11:35.0Z,1,REGULAR,foul,personal,[],1629312,,,1610612762,0,4,2023-01-01T02:11:41Z,130000,False,,,0,,H. Highsmith personal FOUL (1 PF),"[1629312, 1628374]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Mid-Range,16-24 Left,,,,,,,,,,2714.0,1.0,0.0,Markkanen,1628374.0,,,,,,
15,PT10M40.00S,2023-01-01T02:12:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,83.26215505913272,43.38235294117647,1610612762,2,4,2023-01-01T02:12:06Z,150000,False,-33.0,105.0,1,right,M. Conley 10' driving floating Jump Shot (2 PTS) (J. Clarkson 1 AST),"[201144, 203903]",1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,10.99,Made,2.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,,,,
17,PT10M28.00S,2023-01-01T02:12:14.2Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,2,4,2023-01-01T02:12:18Z,170000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 203482]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Olynyk,203482.0,,,,,,,,,,,
18,PT10M28.00S,2023-01-01T02:12:14.2Z,1,REGULAR,steal,,[],203482,,,1610612762,2,4,2023-01-01T02:12:15Z,180000,False,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
