actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-22T00:40:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-22T00:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-22T00:40:45.1Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2024-03-22T00:40:45Z,40000,False,,,0,,Jump Ball W. Kessler vs. D. Gafford: Tip to L. Markkanen,"[1628374, 1631117, 1629655]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-22T00:40:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,94.43166885676742,50.245098039215684,1610612762,0,2,2024-03-22T00:41:03Z,70000,False,1.0,0.0,1,right,W. Kessler cutting Layup (2 PTS) (K. George 1 AST),"[1631117, 1641718]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.12,Made,2.0,K. George,1641718.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-03-22T00:41:11.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,10.200394218134035,5.88235294117647,1610612742,0,2,2024-03-22T00:41:18Z,90000,False,221.0,43.0,1,left,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,22.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-03-22T00:41:14.6Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,2,2024-03-22T00:41:18Z,100000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2024-03-22T00:41:25.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,94.43166885676742,51.470588235294116,1610612762,0,4,2024-03-22T00:41:31Z,110000,False,7.0,0.0,1,right,W. Kessler cutting DUNK (4 PTS) (K. Dunn 1 AST),"[1631117, 1627739]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.74,Made,4.0,K. Dunn,1627739.0,1.0,,,,,,,,,,,,,,
13,PT11M04.00S,2024-03-22T00:41:37.5Z,1,REGULAR,2pt,Jump Shot,[],1629029,22.421156373193167,58.08823529411765,1610612742,0,4,2024-03-22T00:41:45Z,130000,False,-40.0,158.0,1,left,MISS L. Doncic 16' pullup Shot,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,16.34,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2024-03-22T00:41:42.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,4,2024-03-22T00:41:45Z,140000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M47.00S,2024-03-22T00:41:53.4Z,1,REGULAR,2pt,Jump Shot,[],1628374,92.72339027595268,23.284313725490197,1610612762,0,6,2024-03-22T00:41:59Z,150000,False,-134.0,16.0,1,right,L. Markkanen 13' pullup Jump Shot (2 PTS) (W. Kessler 1 AST),"[1628374, 1631117]",1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,13.45,Made,2.0,W. Kessler,1631117.0,1.0,,,,,,,,,,,,,,
17,PT10M37.00S,2024-03-22T00:42:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1641707,,,1610612742,0,6,2024-03-22T00:42:17Z,170000,False,,,0,,T. Hendricks shooting personal FOUL (1 PF) (Gafford 2 FT),"[1641707, 1629655]",1610612762.0,UTA,shooting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201246.0,1.0,0.0,Gafford,1629655.0,,,,,
