actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-30T02:11:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-30T02:11:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-30T02:11:38.3Z,1,REGULAR,jumpball,recovered,[],1628988,,,1610612745,0,0,2023-11-30T02:11:38Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Jokic: Tip to A. Holiday,"[1628988, 1630578, 203999]",1610612745.0,HOU,startperiod,A. Holiday,1628988.0,Holiday,A. Holiday,Sengun,1630578.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-30T02:11:53.6Z,1,REGULAR,2pt,Jump Shot,[],1631095,89.17542706964521,82.1078431372549,1610612745,0,0,2023-11-30T02:12:01Z,70000,False,161.0,49.0,1,right,MISS J. Smith Jr. 16' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,16.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-11-30T02:11:55.6Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2023-11-30T02:12:01Z,80000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-11-30T02:12:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,17.16491458607096,4.166666666666666,1610612743,3,0,2023-11-30T02:12:16Z,90000,False,229.0,109.0,1,left,M. Porter Jr. 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.38,Made,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,
11,PT10M59.00S,2023-11-30T02:12:35.5Z,1,REGULAR,2pt,Jump Shot,[],1630224,90.22667542706965,79.65686274509804,1610612745,3,0,2023-11-30T02:12:44Z,110000,False,148.0,39.0,1,right,MISS J. Green 15' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,8-16 Right,15.34,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2023-11-30T02:12:38.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2023-11-30T02:12:44Z,120000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M48.00S,2023-11-30T02:12:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203200,6.389618922470433,43.13725490196079,1610612743,3,0,2023-11-30T02:12:54Z,130000,False,34.0,8.0,1,left,MISS J. Holiday driving finger roll Layup,[203200],1610612743.0,DEN,driving finger roll,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2023-11-30T02:12:47.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,3,0,2023-11-30T02:12:54Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,13.0,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2023-11-30T02:12:51.0Z,1,REGULAR,foul,personal,[],1630578,,,1610612743,3,0,2023-11-30T02:13:14Z,150000,False,,,0,,A. Sengun loose ball personal FOUL (1 PF),"[1630578, 203999]",1610612745.0,HOU,loose ball,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2882.0,1.0,0.0,Jokic,203999.0,,,,,
17,PT10M36.00S,2023-11-30T02:13:20.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,6.1268068331143235,46.07843137254902,1610612743,5,0,2023-11-30T02:13:26Z,170000,False,20.0,5.0,1,left,N. Jokic finger roll Layup (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.03,Made,,,,,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,
19,PT10M18.00S,2023-11-30T02:13:37.6Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612745,5,0,2023-11-30T02:13:45Z,190000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 203200]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,
20,PT10M18.00S,2023-11-30T02:13:37.6Z,1,REGULAR,steal,,[],203200,,,1610612743,5,0,2023-11-30T02:13:39Z,200000,False,,,0,,J. Holiday STEAL (1 STL),[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT09M58.00S,2023-11-30T02:13:58.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627750,7.703679369250986,49.754901960784316,1610612743,5,0,2023-11-30T02:14:05Z,210000,False,1.0,20.0,1,left,MISS J. Murray turnaround bank Shot,[1627750],1610612743.0,DEN,turnaround bank,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2023-11-30T02:14:01.4Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,5,0,2023-11-30T02:14:05Z,220000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M51.00S,2023-11-30T02:14:05.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,69.07030223390277,73.0392156862745,1610612745,5,3,2023-11-30T02:14:14Z,230000,False,115.0,238.0,1,right,J. Green 26' 3PT running pullup (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,running pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,26.46,Made,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,
