actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-07T00:10:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-12-07T00:10:45.4Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2023-12-07T00:10:45Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Duren: Tip to J. Jackson Jr.,"[1628991, 1628991, 1631105]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Jackson Jr.,1628991.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-07T00:10:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,70.38436268068331,22.30392156862745,1610612763,0,0,2023-12-07T00:11:15Z,70000,False,-138.0,226.0,1,right,MISS D. Bane 26' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-12-07T00:10:57.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2023-12-07T00:11:15Z,80000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-12-07T00:11:16.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,28.465834428383708,73.0392156862745,1610612765,0,0,2023-12-07T00:11:22Z,90000,False,-115.0,215.0,1,left,MISS K. Hayes 24' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Left Center,24.4,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-12-07T00:11:18.4Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,0,0,2023-12-07T00:11:18Z,100000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612763.0,MEM,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2023-12-07T00:11:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,92.85479632063075,54.166666666666664,1610612763,0,0,2023-12-07T00:11:33Z,110000,False,21.0,15.0,1,right,MISS D. Rose driving Layup,[201565],1610612763.0,MEM,driving,,,Rose,D. Rose,,,,,Restricted Area,0-8 Center,2.55,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-12-07T00:11:29.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2023-12-07T00:11:29Z,120000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M02.00S,2023-12-07T00:11:35.4Z,1,REGULAR,3pt,Jump Shot,[],1630191,29.38567674113009,70.34313725490196,1610612765,0,0,2023-12-07T00:11:41Z,130000,False,-102.0,224.0,1,left,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,24.57,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2023-12-07T00:11:35.4Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,0,0,2023-12-07T00:11:41Z,140000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
