actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-17T03:40:21.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T03:40:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-17T03:40:24.0Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612746,0,0,2023-12-17T03:40:24Z,40000,False,,,0,,Jump Ball I. Zubac vs. J. Sims: Tip to T. Mann,"[1629611, 1627826, 1630579]",1610612746.0,LAC,startperiod,T. Mann,1629611.0,Mann,T. Mann,Zubac,1627826.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-17T03:40:36.2Z,1,REGULAR,2pt,Jump Shot,[],202695,76.39618922470433,52.205882352941174,1610612746,2,0,2023-12-17T03:40:41Z,70000,False,11.0,169.0,1,right,K. Leonard 16' Jump Shot (2 PTS) (P. George 1 AST),"[202695, 202331]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Center,16.98,Made,2.0,P. George,202331.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-12-17T03:40:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,11.48160315374507,49.26470588235294,1610612752,2,0,2023-12-17T03:41:07Z,90000,False,4.0,55.0,1,left,MISS R. Barrett cutting Layup - blocked,"[1629628, 1627826]",1610612752.0,NYK,cutting,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,5.55,Missed,,,,,Zubac,1627826.0,,,,,,,,,,,,
10,PT11M25.00S,2023-12-17T03:40:55.2Z,1,REGULAR,block,,[],1627826,,,1610612752,2,0,2023-12-17T03:40:57Z,100000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2023-12-17T03:40:55.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,0,2023-12-17T03:41:07Z,110000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M13.00S,2023-12-17T03:41:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,85.85742444152432,52.450980392156865,1610612746,4,0,2023-12-17T03:41:11Z,120000,False,12.0,80.0,1,right,I. Zubac 8' floating Jump Shot (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,8.13,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
14,PT10M52.00S,2023-12-17T03:41:28.5Z,1,REGULAR,3pt,Jump Shot,[],1628978,29.61563731931669,78.18627450980392,1610612752,4,3,2023-12-17T03:41:53Z,140000,False,-141.0,226.0,1,left,D. DiVincenzo 26' 3PT step back (3 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612752.0,NYK,step back,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,26.62,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
15,PT10M37.00S,2023-12-17T03:41:44.1Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612746,4,3,2023-12-17T03:41:49Z,150000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1628978]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,
16,PT10M37.00S,2023-12-17T03:41:44.1Z,1,REGULAR,steal,,[],1628978,,,1610612752,4,3,2023-12-17T03:41:45Z,160000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2023-12-17T03:41:47.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203944,7.670827858081481,44.85294117647059,1610612752,4,5,2023-12-17T03:41:53Z,170000,False,26.0,20.0,1,left,J. Randle running Layup (2 PTS) (D. DiVincenzo 1 AST),"[203944, 1628978]",1610612752.0,NYK,running,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,3.23,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
