actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-11T19:11:06.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-11T18:53:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-11T19:11:07.8Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-02-11T19:11:07Z,40000,False,,,0,,Jump Ball K. Porzingis vs. B. Adebayo: Tip to D. White,"[1628401, 204001, 1628389]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-02-11T19:11:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,88.69908015768725,58.04610906862745,1610612738,0,2,2024-02-11T19:13:10Z,70000,False,40.0,54.0,1,right,J. Tatum 6' driving finger roll Layup (2 PTS) (K. Porzingis 1 AST),"[1628369, 204001]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.71,Made,2.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-02-11T19:11:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.427726675427067,39.705882352941174,1610612748,2,2,2024-02-11T19:13:23Z,90000,False,51.0,111.0,1,left,B. Adebayo 12' Jump Shot (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,12.26,Made,2.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2024-02-11T19:11:59.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,91.14651773981603,16.176470588235293,1610612738,2,2,2024-02-11T19:12:05Z,110000,False,-169.0,31.0,1,right,MISS J. Brown 17' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,17.19,Missed,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2024-02-11T19:12:05.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,2,2024-02-11T19:12:05Z,120000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M49.00S,2024-02-11T19:12:20.4Z,1,REGULAR,turnover,out-of-bounds,[],1631170,,,1610612748,2,2,2024-02-11T19:12:34Z,130000,False,,,0,,J. Jaquez Jr. step out-of-bounds TURNOVER (1 TO),[1631170],1610612748.0,MIA,step,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1626302.0,1.0,,,,,,,,
14,PT10M37.00S,2024-02-11T19:12:40.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,87.46714848883047,3.431372549019608,1610612738,2,2,2024-02-11T19:12:49Z,140000,False,-233.0,65.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,24.18,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2024-02-11T19:12:41.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,2,2024-02-11T19:12:49Z,150000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,
16,PT10M29.00S,2024-02-11T19:12:49.0Z,1,REGULAR,3pt,Jump Shot,[],1629639,29.38567674113009,80.3921568627451,1610612748,2,2,2024-02-11T19:12:53Z,160000,False,-152.0,224.0,1,left,MISS T. Herro 27' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,27.05,Missed,,,,,,,,,,,,,,,,,,
17,PT10M26.00S,2024-02-11T19:12:52.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,2,2,2024-02-11T19:12:53Z,170000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M19.00S,2024-02-11T19:12:58.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,88.12417871222075,96.07843137254902,1610612738,2,2,2024-02-11T19:14:51Z,180000,False,230.0,59.0,1,right,MISS D. White pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Right Corner 3,24+ Right,23.79,Missed,,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2024-02-11T19:13:00.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,2,2,2024-02-11T19:13:02Z,190000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M04.00S,2024-02-11T19:13:13.3Z,1,REGULAR,3pt,Jump Shot,[],1631170,7.835085413929041,93.87254901960785,1610612748,5,2,2024-02-11T19:13:18Z,200000,False,-219.0,21.0,1,left,J. Jaquez Jr. 3PT  (3 PTS) (T. Herro 2 AST),"[1631170, 1629639]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Left Corner 3,24+ Left,22.04,Made,3.0,T. Herro,1629639.0,2.0,,,,,,,,,,,,,,
22,PT09M47.00S,2024-02-11T19:13:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,83.83705650459922,37.74126838235294,1610612738,5,2,2024-02-11T19:14:10Z,220000,False,-61.0,99.0,1,right,MISS J. Holiday 11' turnaround fadeaway Shot,[201950],1610612738.0,BOS,turnaround fadeaway,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Left,11.68,Missed,,,,,,,,,,,,,,,,,,
23,PT09M45.00S,2024-02-11T19:13:32.0Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,5,2,2024-02-11T19:13:35Z,230000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M40.00S,2024-02-11T19:13:37.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626179,7.884362680683312,46.576286764705884,1610612748,5,2,2024-02-11T19:16:31Z,240000,False,17.0,22.0,1,left,MISS T. Rozier running finger roll Layup,[1626179],1610612748.0,MIA,running finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,,,,
