actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-19T01:10:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-19T01:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-19T01:10:53.8Z,1,REGULAR,jumpball,recovered,[],1641748,,,1610612749,0,0,2023-11-19T01:10:53Z,40000,False,,,0,,Jump Ball B. Lopez vs. D. Lively II: Tip to A. Jackson Jr.,"[1641748, 201572, 1641726]",1610612749.0,MIL,startperiod,A. Jackson Jr.,1641748.0,Jackson Jr.,A. Jackson Jr.,Lopez,201572.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-11-19T01:11:05.0Z,1,REGULAR,2pt,Jump Shot,[],203081,24.655059132720105,40.19607843137255,1610612749,0,0,2023-11-19T01:11:14Z,70000,False,49.0,179.0,1,left,MISS D. Lillard 18' fadeaway Shot,[203081],1610612749.0,MIL,fadeaway,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Center,18.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-11-19T01:11:09.0Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,0,0,2023-11-19T01:11:14Z,80000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-11-19T01:11:24.5Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,0,0,2023-11-19T01:11:35Z,90000,False,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Right,,,,,,,1626300.0,1.0,,,,,,,,,,,,
10,PT11M14.00S,2023-11-19T01:11:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,7.703679369250986,54.41176470588235,1610612749,2,0,2023-11-19T01:11:53Z,100000,False,-22.0,20.0,1,left,G. Antetokounmpo cutting Layup (2 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,2.0,D. Lillard,203081.0,1.0,,,,,,,,
12,PT11M02.00S,2023-11-19T01:12:00.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,91.80354796320631,48.03921568627451,1610612742,2,0,2023-11-19T01:12:08Z,120000,False,-10.0,25.0,1,right,MISS D. Lively II cutting DUNK - blocked,"[1641726, 201572]",1610612742.0,DAL,cutting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,Lopez,201572.0,,,,,,
13,PT11M02.00S,2023-11-19T01:12:00.1Z,1,REGULAR,block,,[],201572,,,1610612742,2,0,2023-11-19T01:12:07Z,130000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2023-11-19T01:12:01.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,2,0,2023-11-19T01:12:08Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,12.0,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2023-11-19T01:12:20.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629029,81.94809461235218,36.51960784313725,1610612742,2,2,2023-11-19T01:12:29Z,150000,False,-67.0,117.0,1,right,L. Doncic 13' driving floating bank Jump Shot (2 PTS) (D. Lively II 1 AST),"[1629029, 1641726]",1610612742.0,DAL,driving floating bank,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,13.52,Made,,,,,,,2.0,D. Lively II,1641726.0,1.0,,,,,,,,
