actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-13T01:12:11.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-13T01:12:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-02-13T01:12:15.8Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612743,0,0,2024-02-13T01:12:15Z,40000,False,,,0,,Jump Ball N. Jokic vs. B. Lopez: Tip to K. Caldwell-Pope,"[203484, 203999, 201572]",1610612743.0,DEN,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Jokic,203999.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-02-13T01:12:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,82.34231274638634,49.01960784313725,1610612743,0,0,2024-02-13T01:12:39Z,70000,False,-5.0,113.0,1,right,MISS N. Jokic 11' fadeaway Shot,[203999],1610612743.0,DEN,fadeaway,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,11.36,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-02-13T01:12:32.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2024-02-13T01:12:39Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-02-13T01:12:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203109,9.149145860709593,49.01960784313725,1610612749,0,0,2024-02-13T01:12:44Z,90000,False,5.0,34.0,1,left,MISS J. Crowder cutting Layup - blocked,"[203109, 203932]",1610612749.0,MIL,cutting,,,Crowder,J. Crowder,,,,,Restricted Area,0-8 Center,3.39,Missed,,,,,Gordon,203932.0,,,,,,,,,,,,
10,PT11M31.00S,2024-02-13T01:12:39.7Z,1,REGULAR,block,,[],203932,,,1610612749,0,0,2024-02-13T01:12:43Z,100000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2024-02-13T01:12:43.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,0,2024-02-13T01:12:44Z,110000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M24.00S,2024-02-13T01:12:46.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,95.74572930354796,3.6764705882352944,1610612743,0,0,2024-02-13T01:12:51Z,120000,False,-232.0,-13.0,1,right,MISS K. Caldwell-Pope running 3PT,[203484],1610612743.0,DEN,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,23.19,Missed,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-02-13T01:12:49.0Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2024-02-13T01:12:51Z,130000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M12.00S,2024-02-13T01:12:57.7Z,1,REGULAR,2pt,Jump Shot,[],203081,25.706307490144546,63.48039215686274,1610612749,0,0,2024-02-13T01:13:03Z,140000,False,-67.0,189.0,1,left,MISS D. Lillard 20' step back Shot,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,20.08,Missed,,,,,,,,,,,,,,,,,,
