actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-03T00:10:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-03T00:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-11-03T00:10:45.4Z,1,REGULAR,jumpball,recovered,[],202685,,,1610612740,0,0,2023-11-03T00:10:45Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Duren: Tip to J. Valanciunas,"[202685, 202685, 1631105]",1610612740.0,NOP,startperiod,J. Valanciunas,202685.0,Valanciunas,J. Valanciunas,Valanciunas,202685.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2023-11-03T00:11:06.4Z,1,REGULAR,2pt,Jump Shot,[],202685,12.746386333771353,32.26102941176471,1610612740,0,0,2023-11-03T00:11:16Z,70000,False,89.0,67.0,1,left,MISS J. Valanciunas 11' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,11.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-11-03T00:11:09.4Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,0,0,2023-11-03T00:11:16Z,80000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M16.00S,2023-11-03T00:11:25.0Z,1,REGULAR,turnover,out-of-bounds,[],1641709,,,1610612765,0,0,2023-11-03T00:11:32Z,90000,False,,,0,,A. Thompson bad pass out-of-bounds TURNOVER (1 TO),[1641709],1610612765.0,DET,bad pass,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,1662.0,1.0,,,,,,,,,,,,
10,PT11M00.00S,2023-11-03T00:11:46.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203468,22.683968462549277,62.99019607843137,1610612740,2,0,2023-11-03T00:11:51Z,100000,False,-65.0,161.0,1,left,C. McCollum 17' driving floating Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,17.33,Made,,,,,,,2.0,,,,,,,,,,,
11,PT10M48.00S,2023-11-03T00:11:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,93.11760840998686,48.529411764705884,1610612765,2,2,2023-11-03T00:12:22Z,110000,False,-7.0,12.0,1,right,J. Duren cutting Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,
13,PT10M37.00S,2023-11-03T00:12:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,9.543363994743759,55.63725490196079,1610612740,4,2,2023-11-03T00:13:07Z,130000,False,-28.0,37.0,1,left,H. Jones reverse Layup (2 PTS) (J. Valanciunas 1 AST),"[1630529, 202685]",1610612740.0,NOP,reverse,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,4.67,Made,,,,,,,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,
16,PT10M20.00S,2023-11-03T00:12:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,72.09264126149803,81.37254901960785,1610612765,4,5,2023-11-03T00:12:32Z,160000,False,157.0,210.0,1,right,C. Cunningham 26' 3PT  (3 PTS) (A. Thompson 1 AST),"[1630595, 1641709]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,26.2,Made,,,,,,,3.0,A. Thompson,1641709.0,1.0,,,,,,,,
18,PT10M06.00S,2023-11-03T00:12:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630346,31.882391590013142,71.81372549019608,1610612740,7,5,2023-11-03T00:12:45Z,180000,False,-109.0,247.0,1,left,M. Ryan 27' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630346, 203468]",1610612740.0,NOP,,,,Ryan,M. Ryan,,,,,Above the Break 3,24+ Left Center,27.02,Made,,,,,,,3.0,C. McCollum,203468.0,1.0,,,,,,,,
