actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-29T00:10:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-29T00:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-29T00:10:31.8Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2024-03-29T00:10:31Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. B. Lopez: Tip to Z. Williamson,"[1629627, 202685, 201572]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-29T00:10:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.43166885676742,46.32352941176471,1610612740,2,0,2024-03-29T00:10:48Z,70000,False,-18.0,0.0,1,right,Z. Williamson alley-oop Layup (2 PTS) (H. Jones 1 AST),"[1629627, 1630529]",1610612740.0,NOP,alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-03-29T00:11:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.440867279894875,50.245098039215684,1610612749,2,2,2024-03-29T00:11:13Z,90000,False,-1.0,17.0,1,left,G. Antetokounmpo driving finger roll Layup (2 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.74,Made,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-03-29T00:11:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.9862023653088,50.49019607843137,1610612740,4,2,2024-03-29T00:11:25Z,110000,False,2.0,13.0,1,right,Z. Williamson driving Layup (4 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.36,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2024-03-29T00:11:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,5.075558475689881,46.32352941176471,1610612749,4,4,2024-03-29T00:11:41Z,120000,False,18.0,-5.0,1,left,G. Antetokounmpo driving Layup (4 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.9,Made,4.0,,,,,,,,,,,,,,,,,
13,PT10M40.00S,2024-03-29T00:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],203468,79.84559789750328,91.66666666666666,1610612740,7,4,2024-03-29T00:11:55Z,130000,False,208.0,137.0,1,right,C. McCollum 24' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,24.93,Made,3.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,
15,PT10M14.00S,2024-03-29T00:12:14.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,32.933639947437584,50.49019607843137,1610612749,7,7,2024-03-29T00:12:19Z,150000,False,-2.0,257.0,1,left,M. Beasley 25' 3PT  (3 PTS) (D. Lillard 2 AST),"[1627736, 203081]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,25.71,Made,3.0,D. Lillard,203081.0,2.0,,,,,,,,,,,,,,
17,PT10M00.00S,2024-03-29T00:12:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.03745072273325,52.450980392156865,1610612740,7,7,2024-03-29T00:12:34Z,170000,False,12.0,4.0,1,right,MISS Z. Williamson reverse Layup,[1629627],1610612740.0,NOP,reverse,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
18,PT09M58.00S,2024-03-29T00:12:30.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,7,2024-03-29T00:12:30Z,180000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT09M52.00S,2024-03-29T00:12:35.8Z,1,REGULAR,2pt,Jump Shot,[],203507,24.52365308804205,47.05882352941176,1610612749,7,7,2024-03-29T00:12:43Z,190000,False,15.0,178.0,1,left,MISS G. Antetokounmpo 17' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,17.86,Missed,,,,,,,,,,,,,,,,,,
20,PT09M48.00S,2024-03-29T00:12:39.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,7,7,2024-03-29T00:12:43Z,200000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
