actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-20T00:11:17.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-20T00:11:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-20T00:11:19.5Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-01-20T00:11:19Z,40000,False,,,0,,Jump Ball J. Embiid vs. G. Bitadze: Tip to T. Maxey,"[1630178, 203954, 1629048]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-20T00:11:31.8Z,1,REGULAR,2pt,Jump Shot,[],203954,78.79434954007884,43.627450980392155,1610612755,0,2,2024-01-20T00:11:45Z,70000,False,-32.0,147.0,1,right,J. Embiid 15' step back Jump Shot (2 PTS) (N. Batum 1 AST),"[203954, 201587]",1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.02,Made,2.0,N. Batum,201587.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2024-01-20T00:11:59.7Z,1,REGULAR,3pt,Jump Shot,[],1630591,31.61957950065703,71.32352941176471,1610612753,0,2,2024-01-20T00:12:09Z,90000,False,-107.0,245.0,1,left,MISS J. Suggs 26' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,26.69,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2024-01-20T00:12:03.0Z,1,REGULAR,rebound,offensive,[],1631216,,,1610612753,0,2,2024-01-20T00:12:03Z,100000,False,,,0,,C. Houstan REBOUND (Off:1 Def:0),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M06.00S,2024-01-20T00:12:10.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630591,15.982260183968464,56.61764705882353,1610612753,2,2,2024-01-20T00:12:15Z,110000,False,-33.0,98.0,1,left,J. Suggs 10' driving floating Jump Shot (2 PTS),[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,10.32,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2024-01-20T00:12:43.9Z,1,REGULAR,3pt,Jump Shot,[],201587,91.93495400788436,4.166666666666666,1610612755,2,5,2024-01-20T00:12:48Z,130000,False,-229.0,23.0,1,right,N. Batum 3PT  (3 PTS) (T. Maxey 1 AST),"[201587, 1630178]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,23.04,Made,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
15,PT10M29.00S,2024-01-20T00:12:59.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,19.398817345597898,55.14705882352941,1610612753,2,5,2024-01-20T00:13:03Z,150000,False,-26.0,130.0,1,left,MISS P. Banchero 13' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,13.23,Missed,,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2024-01-20T00:13:01.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,5,2024-01-20T00:13:03Z,160000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M11.00S,2024-01-20T00:13:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,93.11760840998686,51.9607843137255,1610612755,2,5,2024-01-20T00:13:54Z,170000,False,10.0,12.0,1,right,MISS J. Embiid driving Layup - blocked,"[203954, 1629048]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,Bitadze,1629048.0,,,,,,,,
