actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-07T22:10:39.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T22:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-07T22:10:41.2Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2024-04-07T22:10:41Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Nurkic: Tip to C. McCollum,"[203468, 202685, 203994]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-07T22:10:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,85.10183968462549,55.63725490196079,1610612740,0,0,2024-04-07T22:11:02Z,70000,False,28.0,88.0,1,right,MISS Z. Williamson 9' Layup - blocked,"[1629627, 203078]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,9.19,Missed,Beal,203078.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-04-07T22:10:56.6Z,1,REGULAR,block,,[],203078,,,1610612740,0,0,2024-04-07T22:12:00Z,80000,False,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-04-07T22:10:56.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,0,2024-04-07T22:11:02Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2024-04-07T22:11:16.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202685,72.09264126149803,20.588235294117645,1610612740,0,0,2024-04-07T22:11:21Z,110000,False,-147.0,210.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2024-04-07T22:11:20.1Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2024-04-07T22:11:21Z,120000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M21.00S,2024-04-07T22:11:31.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202685,89.83245729303549,63.970588235294116,1610612740,0,2,2024-04-07T22:11:36Z,130000,False,70.0,43.0,1,right,J. Valanciunas 8' fadeaway Jump Shot (2 PTS) (Z. Williamson 1 AST),"[202685, 1629627]",1610612740.0,NOP,fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Right,8.21,Made,,,,,,,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,
15,PT11M03.00S,2024-04-07T22:11:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,16.770696452036795,37.00980392156863,1610612756,2,2,2024-04-07T22:11:53Z,150000,False,65.0,105.0,1,left,D. Booker 12' fadeaway Jump Shot (2 PTS) (B. Beal 1 AST),"[1626164, 203078]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Right,12.36,Made,,,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,
17,PT10M54.00S,2024-04-07T22:11:59.1Z,1,REGULAR,2pt,Jump Shot,[],203468,79.31997371879106,61.51960784313726,1610612740,2,4,2024-04-07T22:12:03Z,170000,False,58.0,142.0,1,right,C. McCollum 15' pullup Jump Shot (2 PTS) (Z. Williamson 2 AST),"[203468, 1629627]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Center,15.31,Made,,,,,,,2.0,Z. Williamson,1629627.0,2.0,,,,,,,,
