actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-25T02:45:24.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-25T02:45:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-25T02:45:26.6Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2024-01-25T02:45:26Z,40000,False,,,0,,Jump Ball C. Holmgren vs. V. Wembanyama: Tip to S. Gilgeous-Alexander,"[1628983, 1631096, 1641705]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Holmgren,1631096.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-25T02:45:36.4Z,1,REGULAR,3pt,Jump Shot,[],1631114,23.866622864651774,86.76470588235294,1610612760,0,3,2024-01-25T02:45:41Z,70000,False,-184.0,172.0,1,left,J. Williams 25' 3PT  (3 PTS) (C. Holmgren 1 AST),"[1631114, 1631096]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,25.16,Made,3.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-01-25T02:46:01.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,89.83245729303549,43.872549019607845,1610612759,0,3,2024-01-25T02:46:35Z,90000,False,-31.0,43.0,1,right,MISS J. Sochan driving Hook,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,5.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-01-25T02:46:02.8Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,3,2024-01-25T02:46:35Z,100000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M16.00S,2024-01-25T02:46:07.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630577,75.64060446780552,12.254901960784313,1610612759,0,3,2024-01-25T02:46:14Z,110000,False,-189.0,176.0,1,right,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.84,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2024-01-25T02:46:10.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,3,2024-01-25T02:46:14Z,120000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M01.00S,2024-01-25T02:46:22.0Z,1,REGULAR,3pt,Jump Shot,[],1631114,19.530223390275953,92.8921568627451,1610612760,0,3,2024-01-25T02:46:26Z,130000,False,-214.0,131.0,1,left,MISS J. Williams 25' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2024-01-25T02:46:25.0Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,3,2024-01-25T02:46:26Z,140000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M47.00S,2024-01-25T02:46:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,93.9060446780552,45.588235294117645,1610612759,2,3,2024-01-25T02:47:30Z,150000,False,-22.0,5.0,1,right,V. Wembanyama driving Layup (2 PTS),[1641705],1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,2.26,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2024-01-25T02:46:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.1268068331143235,46.32352941176471,1610612760,2,5,2024-01-25T02:46:52Z,160000,False,18.0,5.0,1,left,J. Giddey reverse Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630581, 1628983]",1610612760.0,OKC,reverse,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.91,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,
18,PT10M25.00S,2024-01-25T02:47:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612759,2,5,2024-01-25T02:47:18Z,180000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1631096, 1641705]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2004.0,1.0,0.0,Wembanyama,1641705.0,,,,,
20,PT10M25.00S,2024-01-25T02:47:32.5Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,2,5,2024-01-25T02:47:32Z,200000,False,,,0,,MISS V. Wembanyama Free Throw 1 of 2,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2024-01-25T02:47:32.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,2,5,2024-01-25T02:47:32Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
22,PT10M25.00S,2024-01-25T02:47:52.4Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,3,5,2024-01-25T02:47:52Z,220000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (3 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2024-01-25T02:48:08.2Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,3,5,2024-01-25T02:48:47Z,230000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1641705]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Wembanyama,1641705.0,,
24,PT10M11.00S,2024-01-25T02:48:08.2Z,1,REGULAR,steal,,[],1641705,,,1610612759,3,5,2024-01-25T02:50:30Z,240000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2024-01-25T02:48:18.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630170,92.46057818659659,55.63725490196079,1610612759,3,5,2024-01-25T02:48:23Z,250000,False,28.0,18.0,1,right,MISS D. Vassell driving Layup - blocked,"[1630170, 1631096]",1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,,,,,,Holmgren,1631096.0
68,PT10M00.00S,2024-01-25T02:48:18.6Z,1,REGULAR,block,,[],1631096,,,1610612759,3,5,2024-01-25T02:57:13Z,255000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M57.00S,2024-01-25T02:48:21.6Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,3,5,2024-01-25T02:48:23Z,260000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M51.00S,2024-01-25T02:48:27.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631114,5.075558475689881,46.81372549019608,1610612760,3,5,2024-01-25T02:51:38Z,270000,False,16.0,-5.0,1,left,MISS J. Williams running Layup - blocked,"[1631114, 1641705]",1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,,,,Wembanyama,1641705.0
28,PT09M51.00S,2024-01-25T02:48:27.4Z,1,REGULAR,block,,[],1641705,,,1610612760,3,5,2024-01-25T02:48:29Z,280000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M48.00S,2024-01-25T02:48:30.4Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,3,5,2024-01-25T02:48:31Z,290000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,
30,PT09M42.00S,2024-01-25T02:48:37.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631114,5.995400788436268,50.0,1610612760,3,7,2024-01-25T02:49:02Z,300000,False,0.0,4.0,1,left,J. Williams cutting DUNK (5 PTS) (S. Gilgeous-Alexander 2 AST),"[1631114, 1628983]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,0.39,Made,5.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,,
32,PT09M18.00S,2024-01-25T02:49:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631104,94.43166885676742,51.470588235294116,1610612759,5,7,2024-01-25T02:49:10Z,320000,False,7.0,0.0,1,right,B. Wesley cutting finger roll Layup (2 PTS) (J. Sochan 1 AST),"[1631104, 1631110]",1610612759.0,SAS,cutting finger roll,,,Wesley,B. Wesley,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
34,PT08M56.00S,2024-01-25T02:49:22.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,24.917871222076215,85.29411764705883,1610612760,5,7,2024-01-25T02:49:44Z,340000,False,-176.0,182.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
35,PT08M51.00S,2024-01-25T02:49:27.9Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,5,7,2024-01-25T02:49:44Z,350000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M43.00S,2024-01-25T02:49:38.8Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612759,5,7,2024-01-25T02:49:53Z,360000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1629652, 1641705]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203591.0,1.0,0.0,Wembanyama,1641705.0,,,,,
38,PT08M43.00S,2024-01-25T02:50:13.0Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,6,7,2024-01-25T02:50:13Z,380000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (4 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2024-01-25T02:50:34.9Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,7,7,2024-01-25T02:50:34Z,390000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (5 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
40,PT08M35.00S,2024-01-25T02:50:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.075558475689881,53.18627450980392,1610612760,7,7,2024-01-25T02:50:53Z,400000,False,-16.0,-5.0,1,left,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 1641705]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,,,,Wembanyama,1641705.0
41,PT08M35.00S,2024-01-25T02:50:44.4Z,1,REGULAR,block,,[],1641705,,,1610612760,7,7,2024-01-25T02:50:46Z,410000,False,,,0,,V. Wembanyama BLOCK (2 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2024-01-25T02:50:47.4Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,7,7,2024-01-25T02:50:53Z,420000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,
43,PT08M27.00S,2024-01-25T02:50:52.0Z,1,REGULAR,turnover,lost ball,[],1630577,,,1610612759,7,7,2024-01-25T02:50:55Z,430000,False,,,0,,J. Champagnie lost ball TURNOVER (1 TO),"[1630577, 1631114]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Williams,1631114.0,,
44,PT08M27.00S,2024-01-25T02:50:52.0Z,1,REGULAR,steal,,[],1631114,,,1610612760,7,7,2024-01-25T02:50:54Z,440000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2024-01-25T02:51:00.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,16.245072273324574,5.147058823529411,1610612760,7,10,2024-01-25T02:54:00Z,450000,False,224.0,100.0,1,left,S. Gilgeous-Alexander 24' 3PT pullup (3 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,24.57,Made,3.0,,,,,,,,,,,,,,,,,
46,PT07M59.00S,2024-01-25T02:51:20.0Z,1,REGULAR,3pt,Jump Shot,[],1631104,84.44480946123521,94.6078431372549,1610612759,10,10,2024-01-25T02:51:23Z,460000,False,223.0,94.0,1,right,B. Wesley 24' 3PT  (5 PTS) (D. Vassell 1 AST),"[1631104, 1630170]",1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Above the Break 3,24+ Right,24.19,Made,5.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
48,PT07M48.00S,2024-01-25T02:51:30.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,3.4986859395532193,96.32352941176471,1610612760,10,10,2024-01-25T02:51:35Z,480000,False,-232.0,-20.0,1,left,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,23.24,Missed,,,,,,,,,,,,,,,,,,
49,PT07M45.00S,2024-01-25T02:51:33.9Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,10,10,2024-01-25T02:51:35Z,490000,False,,,0,,J. Sochan REBOUND (Off:1 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,,,,,,,48.0,2.0,1.0,1.0,,,,,,,,,,
50,PT07M40.00S,2024-01-25T02:51:39.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630170,94.43166885676742,49.01960784313725,1610612759,12,10,2024-01-25T02:55:07Z,500000,False,-5.0,0.0,1,right,D. Vassell running DUNK (2 PTS) (B. Wesley 1 AST),"[1630170, 1631104]",1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,0.49,Made,2.0,B. Wesley,1631104.0,1.0,,,,,,,,,,,,,,
53,PT07M25.00S,2024-01-25T02:52:07.3Z,1,REGULAR,3pt,Jump Shot,[],1631096,27.54599211563732,79.16666666666666,1610612760,12,13,2024-01-25T02:52:13Z,530000,False,-146.0,206.0,1,left,C. Holmgren 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 3 AST),"[1631096, 1628983]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,25.27,Made,3.0,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,,,,,,
55,PT07M16.00S,2024-01-25T02:52:19.3Z,1,REGULAR,foul,personal,[],1631114,,,1610612759,12,13,2024-01-25T02:52:28Z,550000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631114, 1641705]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,,,,203591.0,1.0,0.0,Wembanyama,1641705.0,,,,,
57,PT07M02.00S,2024-01-25T02:52:51.3Z,1,REGULAR,3pt,Jump Shot,[],1630577,76.69185282522996,7.8431372549019605,1610612759,12,13,2024-01-25T02:52:55Z,570000,False,-211.0,167.0,1,right,MISS J. Champagnie 26' 3PT - blocked,"[1630577, 1628983]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,26.87,Missed,,,,,,,,,,,,,,,,,Gilgeous-Alexander,1628983.0
64,PT07M02.00S,2024-01-25T02:52:51.3Z,1,REGULAR,block,,[],1628983,,,1610612759,12,13,2024-01-25T02:53:23Z,575000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
