actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-27T00:10:47.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-27T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-27T00:10:50.3Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2023-12-27T00:10:50Z,40000,False,,,0,,Jump Ball D. Gafford vs. W. Carter Jr.: Tip to J. Poole,"[1629673, 1629655, 1628976]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Gafford,1629655.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-27T00:11:02.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.11760840998686,47.30392156862745,1610612764,2,0,2023-12-27T00:11:12Z,70000,False,-13.0,12.0,1,right,D. Gafford alley-oop DUNK (2 PTS) (K. Kuzma 1 AST),"[1629655, 1628398]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-12-27T00:11:22.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,32.933639947437584,29.901960784313726,1610612753,2,0,2023-12-27T00:11:28Z,90000,False,100.0,257.0,1,left,MISS J. Suggs 27' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,27.6,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-12-27T00:11:26.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,2,0,2023-12-27T00:11:28Z,100000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M06.00S,2023-12-27T00:11:39.7Z,1,REGULAR,3pt,Jump Shot,[],1626145,66.06438896189225,51.095281862745104,1610612764,2,0,2023-12-27T00:11:47Z,110000,False,5.0,266.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,26.66,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2023-12-27T00:11:42.7Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,2,0,2023-12-27T00:11:47Z,120000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M00.00S,2023-12-27T00:11:47.3Z,1,REGULAR,turnover,out-of-bounds,[],1641710,,,1610612753,2,0,2023-12-27T00:11:58Z,130000,False,,,0,,A. Black bad pass out-of-bounds TURNOVER (1 TO),[1641710],1610612753.0,ORL,bad pass,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,,,,,,,,,204059.0,1.0,,,,,,,,
14,PT10M44.00S,2023-12-27T00:12:09.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,95.0886990801577,5.392156862745098,1610612764,2,0,2023-12-27T00:12:15Z,140000,False,-223.0,-6.0,1,right,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2023-12-27T00:12:13.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,0,2023-12-27T00:12:15Z,150000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Left Corner 3,24+ Left,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M30.00S,2023-12-27T00:12:22.6Z,1,REGULAR,3pt,Jump Shot,[],1630591,6.389618922470433,98.2843137254902,1610612753,2,3,2023-12-27T00:12:28Z,160000,False,-241.0,8.0,1,left,J. Suggs 24' 3PT  (3 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,24.15,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
18,PT10M10.00S,2023-12-27T00:12:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.9862023653088,46.568627450980394,1610612764,2,3,2023-12-27T00:12:50Z,180000,False,-17.0,13.0,1,right,MISS K. Kuzma driving finger roll Layup,[1628398],1610612764.0,WAS,driving finger roll,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.18,Missed,,,,,,,,,,,,,,,,,,
19,PT10M08.00S,2023-12-27T00:12:45.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,3,2023-12-27T00:12:50Z,190000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M02.00S,2023-12-27T00:12:50.9Z,1,REGULAR,3pt,Jump Shot,[],1630591,4.5499342969776615,97.30392156862744,1610612753,2,6,2023-12-27T00:12:57Z,200000,False,-237.0,-10.0,1,left,J. Suggs 3PT  (6 PTS) (F. Wagner 2 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,23.67,Made,6.0,F. Wagner,1630532.0,2.0,,,,,,,,,,,,,,
22,PT09M47.00S,2023-12-27T00:13:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630166,71.30420499342969,15.441176470588236,1610612764,2,6,2023-12-27T00:13:28Z,220000,False,-173.0,217.0,1,right,MISS D. Avdija 27' pullup 3PT,[1630166],1610612764.0,WAS,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,27.76,Missed,,,,,,,,,,,,,,,,,,
23,PT09M44.00S,2023-12-27T00:13:08.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,6,2023-12-27T00:13:11Z,230000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M42.00S,2023-12-27T00:13:10.5Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,2,6,2023-12-27T00:13:15Z,240000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1630166]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Avdija,1630166.0,,,,,,
25,PT09M42.00S,2023-12-27T00:13:10.5Z,1,REGULAR,steal,,[],1630166,,,1610612764,2,6,2023-12-27T00:13:12Z,250000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2023-12-27T00:13:16.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628398,93.38042049934296,47.30392156862745,1610612764,4,6,2023-12-27T00:13:24Z,260000,False,-13.0,10.0,1,right,K. Kuzma cutting DUNK (2 PTS) (J. Poole 1 AST),"[1628398, 1629673]",1610612764.0,WAS,cutting,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,
28,PT09M17.00S,2023-12-27T00:13:35.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,24.655059132720105,11.76470588235294,1610612753,4,6,2023-12-27T00:13:41Z,280000,False,191.0,179.0,1,left,MISS F. Wagner 26' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,26.21,Missed,,,,,,,,,,,,,,,,,,
29,PT09M14.00S,2023-12-27T00:13:38.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,4,6,2023-12-27T00:13:41Z,290000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,
30,PT09M06.00S,2023-12-27T00:13:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,83.39356110381078,65.68627450980392,1610612764,6,6,2023-12-27T00:13:57Z,300000,False,78.0,104.0,1,right,T. Jones 12' floating Jump Shot (2 PTS),[1626145],1610612764.0,WAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Right,12.99,Made,2.0,,,,,,,,,,,,,,,,,
31,PT08M48.00S,2023-12-27T00:14:05.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,5.601182654402102,96.81372549019608,1610612753,6,9,2023-12-27T00:14:11Z,310000,False,-234.0,0.0,1,left,W. Carter Jr. 3PT  (3 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,23.41,Made,3.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
33,PT08M29.00S,2023-12-27T00:14:23.6Z,1,REGULAR,turnover,lost ball,[],1628398,,,1610612764,6,9,2023-12-27T00:14:29Z,330000,False,,,0,,K. Kuzma lost ball TURNOVER (1 TO),"[1628398, 1641710]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Black,1641710.0,,,,,,
34,PT08M29.00S,2023-12-27T00:14:23.6Z,1,REGULAR,steal,,[],1641710,,,1610612753,6,9,2023-12-27T00:14:25Z,340000,False,,,0,,A. Black STEAL (1 STL),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
35,PT08M23.00S,2023-12-27T00:14:29.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641710,8.09789750328515,51.470588235294116,1610612753,6,11,2023-12-27T00:15:14Z,350000,False,-7.0,24.0,1,left,A. Black running Layup (2 PTS) (P. Banchero 2 AST),"[1641710, 1631094]",1610612753.0,ORL,running,,,Black,A. Black,,,,,Restricted Area,0-8 Center,2.47,Made,2.0,P. Banchero,1631094.0,2.0,,,,,,,,,,,,,,
37,PT08M13.00S,2023-12-27T00:14:39.2Z,1,REGULAR,3pt,Jump Shot,[],1626145,72.61826544021025,14.460784313725492,1610612764,9,11,2023-12-27T00:15:37Z,370000,False,-178.0,205.0,1,right,T. Jones 27' 3PT pullup (5 PTS),[1626145],1610612764.0,WAS,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,27.12,Made,5.0,,,,,,,,,,,,,,,,,
38,PT07M56.00S,2023-12-27T00:14:57.7Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,9,11,2023-12-27T00:20:03Z,380000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1629655]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Gafford,1629655.0,,,,,,
39,PT07M56.00S,2023-12-27T00:14:57.7Z,1,REGULAR,steal,,[],1629655,,,1610612764,9,11,2023-12-27T00:15:03Z,390000,False,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT07M51.00S,2023-12-27T00:15:01.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,91.01511169513797,3.6764705882352944,1610612764,9,11,2023-12-27T00:16:43Z,400000,False,-232.0,32.0,1,right,MISS J. Poole running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,23.38,Missed,,,,,,,,,,,,,,,,,,
41,PT07M49.00S,2023-12-27T00:15:03.5Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,9,11,2023-12-27T00:15:10Z,410000,False,,,0,,A. Black REBOUND (Off:0 Def:2),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Left Corner 3,24+ Left,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,
42,PT07M38.00S,2023-12-27T00:15:18.2Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612753,9,11,2023-12-27T00:15:24Z,420000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Banchero 2 FT),"[1628398, 1631094]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,204059.0,,,,1.0,0.0,Banchero,1631094.0,,
44,PT07M38.00S,2023-12-27T00:15:46.8Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,9,12,2023-12-27T00:15:46Z,440000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
45,PT07M38.00S,2023-12-27T00:16:05.5Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,9,13,2023-12-27T00:16:05Z,450000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M24.00S,2023-12-27T00:16:20.0Z,1,REGULAR,3pt,Jump Shot,[],1626145,65.39093298291722,39.21568627450981,1610612764,12,13,2023-12-27T00:16:25Z,460000,False,-54.0,273.0,1,right,T. Jones 27' 3PT  (8 PTS) (K. Kuzma 2 AST),"[1626145, 1628398]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,27.81,Made,8.0,K. Kuzma,1628398.0,2.0,,,,,,,,,,,,,,
48,PT07M08.00S,2023-12-27T00:16:36.1Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,12,13,2023-12-27T00:16:43Z,480000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1630166]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,Avdija,1630166.0,,,,,,
49,PT07M08.00S,2023-12-27T00:16:36.1Z,1,REGULAR,steal,,[],1630166,,,1610612764,12,13,2023-12-27T00:16:43Z,490000,False,,,0,,D. Avdija STEAL (2 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
50,PT07M03.00S,2023-12-27T00:16:40.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628398,70.25295663600527,17.892156862745097,1610612764,12,13,2023-12-27T00:18:12Z,500000,False,-161.0,227.0,1,right,MISS K. Kuzma 27' running 3PT,[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,27.81,Missed,,,,,,,,,,,,,,,,,,
51,PT06M59.00S,2023-12-27T00:16:45.0Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,12,13,2023-12-27T00:16:45Z,510000,False,,,0,,D. Gafford REBOUND (Off:1 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,50.0,3.0,2.0,1.0,,,,,,,,,,
52,PT06M58.00S,2023-12-27T00:16:46.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630166,65.52233902759527,42.64705882352941,1610612764,12,13,2023-12-27T00:16:54Z,520000,False,-37.0,272.0,1,right,MISS D. Avdija 27' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,27.41,Missed,,,,,,,,,,,,,,,,,,
53,PT06M58.00S,2023-12-27T00:16:46.0Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,12,13,2023-12-27T00:17:16Z,530000,False,,,0,,A. Black REBOUND (Off:0 Def:3),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,
54,PT06M51.00S,2023-12-27T00:16:55.1Z,1,REGULAR,foul,personal,['2freethrow'],1629673,,,1610612753,12,13,2023-12-27T00:17:10Z,540000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1629673, 1628976]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,204059.0,,,,1.0,0.0,Carter Jr.,1628976.0,,
56,PT06M51.00S,2023-12-27T00:17:13.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,12,13,2023-12-27T00:17:13Z,560000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M51.00S,2023-12-27T00:20:16.8Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,12,14,2023-12-27T00:20:34Z,570000,False,,,0,,W. Carter Jr. Free Throw 1 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
58,PT06M51.00S,2023-12-27T00:20:16.8Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,12,14,2023-12-27T00:20:34Z,580000,False,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2023-12-27T00:20:18.8Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,12,14,2023-12-27T00:20:34Z,590000,False,,,0,,D. Gafford REBOUND (Off:1 Def:3),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,58.0,4.0,3.0,1.0,,,,,,,,,,
