actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-16T20:10:30.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T20:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-16T20:10:32.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-11-16T20:10:32Z,40000,False,,,0,,Jump Ball B. Lopez vs. G. Williams: Tip to G. Antetokounmpo,"[203507, 201572, 1629684]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Williams,1629684.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-11-16T20:10:48.6Z,1,REGULAR,3pt,Jump Shot,[],1627752,32.14520367936925,62.00980392156863,1610612749,0,3,2024-11-16T20:10:54Z,70000,False,-60.0,250.0,1,left,T. Prince 25' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1627752, 203507]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,25.68,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-11-16T20:11:06.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,72.22404730617609,77.20588235294117,1610612766,3,3,2024-11-16T20:11:11Z,90000,False,136.0,209.0,1,right,B. Miller 24' 3PT  (3 PTS) (J. Green 1 AST),"[1641706, 1630182]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,24.9,Made,3.0,J. Green,1630182.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2024-11-16T20:11:19.0Z,1,REGULAR,turnover,lost ball,[],1627752,,,1610612749,3,3,2024-11-16T20:11:46Z,110000,False,,,0,,T. Prince lost ball TURNOVER (1 TO),"[1627752, 1630182]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Green,1630182.0,,,,,,,,,,,
12,PT11M14.00S,2024-11-16T20:11:19.0Z,1,REGULAR,steal,,[],1630182,,,1610612766,3,3,2024-11-16T20:11:20Z,120000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2024-11-16T20:11:22.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630182,93.11760840998686,48.529411764705884,1610612766,5,3,2024-11-16T20:12:13Z,130000,False,-7.0,12.0,1,right,J. Green running Layup (2 PTS),[1630182],1610612766.0,CHA,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2024-11-16T20:11:38.4Z,1,REGULAR,foul,personal,[],1630163,,,1610612749,5,3,2024-11-16T20:11:43Z,140000,False,,,0,,L. Ball personal FOUL (1 PF),"[1630163, 1627752]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,200833.0,1.0,0.0,Prince,1627752.0,,,,,,
16,PT10M48.00S,2024-11-16T20:11:57.4Z,1,REGULAR,3pt,Jump Shot,[],201572,28.465834428383708,78.18627450980392,1610612749,5,6,2024-11-16T20:12:09Z,160000,False,-141.0,215.0,1,left,B. Lopez 25' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,25.71,Made,3.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,,,
18,PT10M32.00S,2024-11-16T20:12:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,93.24901445466492,50.98039215686274,1610612766,7,6,2024-11-16T20:12:19Z,180000,False,5.0,11.0,1,right,J. Green reverse Layup (4 PTS) (M. Bridges 1 AST),"[1630182, 1628970]",1610612766.0,CHA,reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.2,Made,4.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
