actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-01T00:11:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-01T00:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-01T00:11:12.0Z,1,REGULAR,jumpball,recovered,[],203995,,,1610612766,0,0,2025-02-01T00:11:12Z,40000,False,,,0,,Jump Ball T. Gibson vs. I. Zubac: Tip to V. Micić,"[203995, 201959, 1627826]",1610612766.0,CHA,startperiod,V. Micić,203995.0,Micić,V. Micić,Gibson,201959.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-02-01T00:11:27.4Z,1,REGULAR,2pt,Jump Shot,[],1641733,18.2161629434954,32.59803921568628,1610612766,2,0,2025-02-01T00:11:34Z,70000,False,87.0,119.0,1,left,N. Smith Jr. 14' pullup Jump Shot (2 PTS) (V. Micić 1 AST),"[1641733, 203995]",1610612766.0,CHA,pullup,,,Smith Jr.,N. Smith Jr.,,,,,Mid-Range,8-16 Right,14.72,Made,2.0,V. Micić,203995.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-02-01T00:11:44.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,67.88764783180025,32.35294117647059,1610612746,2,3,2025-02-01T00:11:48Z,90000,False,-88.0,249.0,1,right,N. Powell 26' 3PT  (3 PTS) (I. Zubac 1 AST),"[1626181, 1627826]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,26.45,Made,3.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2025-02-01T00:11:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628970,6.389618922470433,2.450980392156863,1610612766,2,3,2025-02-01T00:12:03Z,110000,False,238.0,8.0,1,left,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.78,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2025-02-01T00:12:01.4Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,3,2025-02-01T00:12:03Z,120000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M52.00S,2025-02-01T00:12:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,87.46714848883047,52.69607843137255,1610612746,2,3,2025-02-01T00:12:37Z,130000,False,13.0,65.0,1,right,MISS K. Leonard 6' fadeaway Shot,[202695],1610612746.0,LAC,fadeaway,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,6.67,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2025-02-01T00:12:17.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,2,3,2025-02-01T00:12:17Z,140000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M41.00S,2025-02-01T00:12:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,12.302890932982917,48.28431372549019,1610612766,2,3,2025-02-01T00:13:07Z,150000,False,9.0,63.0,1,left,MISS M. Bridges 6' driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2025-02-01T00:12:28.3Z,1,REGULAR,rebound,offensive,[],201959,,,1610612766,2,3,2025-02-01T00:12:34Z,160000,False,,,0,,T. Gibson REBOUND (Off:1 Def:0),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M39.00S,2025-02-01T00:12:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201959,6.1268068331143235,48.77450980392157,1610612766,4,3,2025-02-01T00:13:16Z,170000,False,6.0,5.0,1,left,T. Gibson putback Layup (2 PTS),[201959],1610612766.0,CHA,putback,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2025-02-01T00:12:47.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,87.20433639947439,45.09803921568628,1610612746,4,5,2025-02-01T00:12:51Z,180000,False,-25.0,68.0,1,right,I. Zubac 7' Hook (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,7.21,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M10.00S,2025-02-01T00:12:58.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630182,6.258212877792378,47.30392156862745,1610612766,6,5,2025-02-01T00:13:05Z,190000,False,13.0,6.0,1,left,J. Green driving DUNK (2 PTS),[1630182],1610612766.0,CHA,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M56.00S,2025-02-01T00:13:11.7Z,1,REGULAR,3pt,Jump Shot,[],201935,72.35545335085413,78.18627450980392,1610612746,6,5,2025-02-01T00:13:15Z,200000,False,141.0,207.0,1,right,MISS J. Harden 25' 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,,
21,PT09M54.00S,2025-02-01T00:13:13.7Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612766,6,5,2025-02-01T00:13:15Z,210000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M44.00S,2025-02-01T00:13:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,6.1268068331143235,46.81372549019608,1610612766,6,5,2025-02-01T00:13:52Z,220000,False,16.0,5.0,1,left,MISS T. Gibson floating Shot,[201959],1610612766.0,CHA,floating,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,,,,,,
23,PT09M43.00S,2025-02-01T00:13:25.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,5,2025-02-01T00:13:28Z,230000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M32.00S,2025-02-01T00:13:36.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,79.84559789750328,49.50980392156863,1610612746,6,5,2025-02-01T00:13:39Z,240000,False,-2.0,137.0,1,right,MISS K. Leonard 13' Jump Shot,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,13.7,Missed,,,,,,,,,,,,,,,,,,
25,PT09M30.00S,2025-02-01T00:13:38.2Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,6,5,2025-02-01T00:13:39Z,250000,False,,,0,,V. Micić REBOUND (Off:0 Def:1),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
