actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-29T22:10:00.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-29T22:10:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-29T22:10:03.8Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612740,0,0,2024-11-29T22:10:03Z,40000,False,,,0,,Jump Ball Y. Missi vs. J. Jackson Jr.: Tip to D. Murray,"[1627749, 1642274, 1628991]",1610612740.0,NOP,startperiod,D. Murray,1627749.0,Murray,D. Murray,Missi,1642274.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-11-29T22:10:14.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,5.206964520367937,52.69607843137255,1610612740,0,2,2024-11-29T22:10:20Z,70000,False,-13.0,-4.0,1,left,Y. Missi alley-oop DUNK (2 PTS) (D. Murray 1 AST),"[1642274, 1627749]",1610612740.0,NOP,alley-oop,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,1.4,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
10,PT11M25.00S,2024-11-29T22:10:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,87.72996057818659,40.931372549019606,1610612763,0,2,2024-11-29T22:10:58Z,100000,False,-45.0,63.0,1,right,MISS J. Jackson Jr. 7' driving finger roll Layup,[1628991],1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.74,Missed,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-11-29T22:10:57.4Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,2,2024-11-29T22:10:58Z,120000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
14,PT11M13.00S,2024-11-29T22:11:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,90.75229960578186,50.98039215686274,1610612763,2,2,2024-11-29T22:11:14Z,140000,False,5.0,34.0,1,right,J. Jackson Jr. putback Layup (2 PTS),[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,3.47,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2024-11-29T22:11:08.0Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612740,2,2,2024-11-29T22:12:08Z,150000,False,,,0,,D. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627749],1610612740.0,NOP,bad pass,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2534.0,1.0,,,,,,,,
16,PT11M06.00S,2024-11-29T22:11:15.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,92.9862023653088,46.32352941176471,1610612763,4,2,2024-11-29T22:11:26Z,160000,False,-18.0,13.0,1,right,D. Bane driving finger roll Layup (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.28,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
18,PT10M49.00S,2024-11-29T22:11:32.1Z,1,REGULAR,3pt,Jump Shot,[],1627749,31.09395532194481,35.53921568627451,1610612740,4,5,2024-11-29T22:18:55Z,180000,False,72.0,240.0,1,left,D. Murray 25' 3PT pullup (3 PTS) (Y. Missi 1 AST),"[1627749, 1642274]",1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.05,Made,3.0,Y. Missi,1642274.0,1.0,,,,,,,,,,,,,,
19,PT10M32.00S,2024-11-29T22:11:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629630,64.07687253613666,85.29411764705883,1610612763,4,5,2024-11-29T22:11:54Z,190000,False,176.0,285.0,1,right,MISS J. Morant 33' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,33.54,Missed,,,,,,,,,,,,,,,,,,
