actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-10T01:10:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-10T01:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-10T01:10:42.0Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-01-10T01:10:42Z,40000,False,,,0,,Jump Ball Z. Edey vs. A. Sengun: Tip to J. Jackson Jr.,"[1628991, 1641744, 1630578]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-10T01:10:54.5Z,1,REGULAR,foul,personal,['2freethrow'],1641708,,,1610612763,0,0,2025-01-10T01:11:05Z,70000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Wells 2 FT),"[1641708, 1642377]",1610612745.0,HOU,shooting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1151.0,1.0,0.0,Wells,1642377.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2025-01-10T01:11:16.7Z,1,REGULAR,freethrow,1 of 2,[],1642377,,,1610612763,1,0,2025-01-10T01:11:16Z,90000,False,,,0,,J. Wells Free Throw 1 of 2 (1 PTS),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2025-01-10T01:11:29.4Z,1,REGULAR,freethrow,2 of 2,[],1642377,,,1610612763,2,0,2025-01-10T01:11:29Z,100000,False,,,0,,J. Wells Free Throw 2 of 2 (2 PTS),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M32.00S,2025-01-10T01:11:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628415,5.995400788436268,50.0,1610612745,2,2,2025-01-10T01:11:55Z,110000,False,0.0,4.0,1,left,D. Brooks cutting DUNK (2 PTS) (A. Thompson 1 AST),"[1628415, 1641708]",1610612745.0,HOU,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.39,A. Thompson,1641708.0,1.0,,,,,,,,,
13,PT11M31.00S,2025-01-10T01:11:52.8Z,1,REGULAR,foul,technical,['1freethrow'],1628415,,,1610612763,2,2,2025-01-10T01:17:18Z,130000,False,,,0,,D. Brooks rim-hanging technical FOUL (1 Tech),[1628415],1610612745.0,HOU,rim-hanging,,,Brooks,D. Brooks,,,,,,,202058.0,0.0,1.0,,,,,,,,,,,,,,,,,
14,PT11M31.00S,2025-01-10T01:12:18.0Z,1,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,3,2,2025-01-10T01:12:18Z,140000,False,,,0,,D. Bane technical Free Throw 1 of 1 (1 PTS),[1630217],1610612763.0,MEM,technical,,,Bane,D. Bane,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
15,PT11M19.00S,2025-01-10T01:12:50.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,85.23324572930355,40.68627450980392,1610612763,5,2,2025-01-10T01:12:57Z,150000,False,-47.0,86.0,1,right,J. Morant 9' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,9.81,,,,,,,,,,,,
16,PT11M05.00S,2025-01-10T01:13:03.0Z,1,REGULAR,3pt,Jump Shot,[],1628415,23.73521681997372,12.254901960784313,1610612745,5,2,2025-01-10T01:13:07Z,160000,False,189.0,171.0,1,left,MISS D. Brooks 25' 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.44,,,,,,,,,,,,
