actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-05T01:10:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-05T01:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2025-01-05T01:10:55.5Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2025-01-05T01:10:55Z,40000,False,,,0,,Jump Ball D. Ayton vs. B. Lopez: Tip to T. Camara,"[1641739, 1629028, 201572]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Ayton,1629028.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-01-05T01:11:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,19.004599211563733,34.31372549019608,1610612757,0,0,2025-01-05T01:11:12Z,70000,False,78.0,126.0,1,left,MISS S. Sharpe 14' driving floating Shot,[1631101],1610612757.0,POR,driving floating,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Right,14.85,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-01-05T01:11:07.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2025-01-05T01:11:12Z,80000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-01-05T01:11:21.2Z,1,REGULAR,3pt,Jump Shot,[],203081,74.85216819973719,8.333333333333332,1610612749,0,0,2025-01-05T01:11:26Z,90000,False,-208.0,184.0,1,right,MISS D. Lillard 27' step back 3PT,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.79,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-01-05T01:11:24.2Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,0,2025-01-05T01:11:26Z,100000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2025-01-05T01:11:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630166,27.042953350854138,21.346507352941178,1610612757,0,3,2025-01-05T01:11:41Z,110000,False,143.0,202.0,1,left,D. Avdija 24' 3PT  (3 PTS) (S. Sharpe 1 AST),"[1630166, 1631101]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,24.74,Made,,,,,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,
13,PT10M43.00S,2025-01-05T01:12:02.2Z,1,REGULAR,2pt,Jump Shot,[],1641748,94.82588699080158,10.784313725490197,1610612749,0,3,2025-01-05T01:12:44Z,130000,False,-196.0,-4.0,1,right,MISS A. Jackson Jr. 19' step back Shot,[1641748],1610612749.0,MIL,step back,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,16-24 Left,19.61,Missed,,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2025-01-05T01:12:05.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,3,2025-01-05T01:12:07Z,140000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M29.00S,2025-01-05T01:12:15.7Z,1,REGULAR,2pt,Jump Shot,[],1629028,19.66162943495401,74.26470588235294,1610612757,0,5,2025-01-05T01:12:23Z,150000,False,-121.0,132.0,1,left,D. Ayton 17' Jump Shot (2 PTS) (A. Simons 1 AST),"[1629028, 1629014]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left Center,17.95,Made,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,
17,PT10M09.00S,2025-01-05T01:12:36.3Z,1,REGULAR,3pt,Jump Shot,[],203081,66.04796320630749,45.588235294117645,1610612749,3,5,2025-01-05T01:12:47Z,170000,False,-22.0,267.0,1,right,D. Lillard 26' 3PT  (3 PTS) (A. Jackson Jr. 1 AST),"[203081, 1641748]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,26.75,Made,,,,,3.0,A. Jackson Jr.,1641748.0,1.0,,,,,,,,,,
20,PT10M02.00S,2025-01-05T01:12:42.7Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612757,3,5,2025-01-05T01:12:52Z,200000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1641748]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1.0,Jackson Jr.,1641748.0,,,,,,,
21,PT10M02.00S,2025-01-05T01:12:42.7Z,1,REGULAR,steal,,[],1641748,,,1610612749,3,5,2025-01-05T01:12:50Z,210000,False,,,0,,A. Jackson Jr. STEAL (1 STL),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2025-01-05T01:12:51.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,71.04139290407359,22.30392156862745,1610612749,3,5,2025-01-05T01:13:41Z,220000,False,-138.0,220.0,1,right,MISS D. Lillard 25' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,,
23,PT09M49.00S,2025-01-05T01:12:57.1Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,5,2025-01-05T01:12:57Z,230000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
