actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2025-03-05T01:10:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T01:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-05T01:10:51.1Z,1,REGULAR,foul,personal,[],203083,,,0,0,0,2025-03-05T01:11:00Z,40000,False,,,0,,A. Drummond loose ball personal FOUL (1 PF),"[203083, 1629675]",1610612755.0,PHI,loose ball,Above the Break 3,24+ Center,1629178.0,1.0,0.0,Drummond,A. Drummond,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,
6,PT11M38.00S,2025-03-05T01:11:15.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,21.23850197109067,90.93137254901961,1610612750,0,0,2025-03-05T01:11:21Z,60000,False,-205.0,147.0,1,left,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,Above the Break 3,24+ Left Center,,,,Reid,N. Reid,,,25.21,Missed,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-03-05T01:11:18.3Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,0,0,2025-03-05T01:11:21Z,70000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,Above the Break 3,24+ Left Center,,,,Conley,M. Conley,,,,,6.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-03-05T01:11:21.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,31.61957950065703,41.17647058823529,1610612750,0,0,2025-03-05T01:11:27Z,80000,False,44.0,245.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,Above the Break 3,24+ Center,,,,Edwards,A. Edwards,,,24.86,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2025-03-05T01:11:24.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,0,2025-03-05T01:11:27Z,90000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,Above the Break 3,24+ Center,,,,Drummond,A. Drummond,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M15.00S,2025-03-05T01:11:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,93.64323258869908,50.73529411764706,1610612755,0,2,2025-03-05T01:11:45Z,100000,False,4.0,7.0,1,right,K. Oubre Jr. driving Layup (2 PTS) (A. Drummond 1 AST),"[1626162, 203083]",1610612755.0,PHI,driving,Restricted Area,0-8 Center,,,,Oubre Jr.,K. Oubre Jr.,,,0.82,Made,,,,,2.0,A. Drummond,203083.0,1.0,,,,,,,,,,,
11,PT10M57.00S,2025-03-05T01:11:56.5Z,1,REGULAR,3pt,Jump Shot,[],203944,13.87976346911958,2.941176470588235,1610612750,0,2,2025-03-05T01:12:00Z,110000,False,235.0,78.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,Right Corner 3,24+ Right,,,,Randle,J. Randle,,,24.79,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2025-03-05T01:12:00.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,2,2025-03-05T01:12:00Z,120000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,Right Corner 3,24+ Right,,,,Drummond,A. Drummond,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT10M40.00S,2025-03-05T01:12:12.9Z,1,REGULAR,3pt,Jump Shot,[],1627824,95.0886990801577,95.58823529411765,1610612755,0,2,2025-03-05T01:12:16Z,130000,False,228.0,-6.0,1,right,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,Right Corner 3,24+ Right,,,,Yabusele,G. Yabusele,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2025-03-05T01:12:15.9Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,0,2,2025-03-05T01:12:16Z,140000,False,,,0,,M. Conley REBOUND (Off:1 Def:1),[201144],1610612750.0,MIN,,Right Corner 3,24+ Right,,,,Conley,M. Conley,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
15,PT10M32.00S,2025-03-05T01:12:22.7Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612750,0,2,2025-03-05T01:12:32Z,150000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Randle 2 FT),"[1626162, 203944]",1610612755.0,PHI,shooting,Restricted Area,0-8 Center,1629178.0,1.0,0.0,Oubre Jr.,K. Oubre Jr.,Randle,203944.0,,,,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2025-03-05T01:12:54.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203944,,,1610612750,1,2,2025-03-05T01:12:54Z,170000,False,,,0,,J. Randle Free Throw 1 of 2 (1 PTS),[203944],1610612750.0,MIN,,,,,,,Randle,J. Randle,,,,Made,,,,,1.0,,,,,,,,,,,,,,
19,PT10M32.00S,2025-03-05T01:13:16.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203944,,,1610612750,2,2,2025-03-05T01:13:16Z,180000,False,,,0,,J. Randle Free Throw 2 of 2 (2 PTS),[203944],1610612750.0,MIN,,,,,,,Randle,J. Randle,,,,Made,,,,,2.0,,,,,,,,,,,,,,
20,PT10M26.00S,2025-03-05T01:13:27.6Z,1,REGULAR,turnover,out-of-bounds,[],1626162,,,1610612755,2,2,2025-03-05T01:13:36Z,190000,False,,,0,,K. Oubre Jr. step out-of-bounds TURNOVER (1 TO),[1626162],1610612755.0,PHI,step,Above the Break 3,24+ Right Center,1628159.0,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,1.0,,,,,,,,,,
21,PT10M14.00S,2025-03-05T01:13:50.7Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,2,2,2025-03-05T01:13:57Z,200000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1627824]",1610612750.0,MIN,,In The Paint (Non-RA),8-16 Center,,,,Edwards,A. Edwards,,,,,,,,,,,,,1.0,Yabusele,1627824.0,,,,,,,,
22,PT10M14.00S,2025-03-05T01:13:50.7Z,1,REGULAR,steal,,[],1627824,,,1610612755,2,2,2025-03-05T01:13:52Z,210000,False,,,0,,G. Yabusele STEAL (1 STL),[1627824],1610612755.0,PHI,,In The Paint (Non-RA),8-16 Center,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2025-03-05T01:14:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629656,93.24901445466492,49.26470588235294,1610612755,2,4,2025-03-05T01:14:52Z,220000,False,-4.0,11.0,1,right,Q. Grimes driving Layup (2 PTS),[1629656],1610612755.0,PHI,driving,Restricted Area,0-8 Center,,,,Grimes,Q. Grimes,,,1.16,Made,,,,,2.0,,,,,,,,,,,,,,
24,PT09M51.00S,2025-03-05T01:14:13.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,8.886333771353483,61.76470588235294,1610612750,4,4,2025-03-05T01:14:20Z,230000,False,-59.0,31.0,1,left,J. McDaniels 6' fadeaway bank Jump Shot (2 PTS),[1630183],1610612750.0,MIN,fadeaway bank,In The Paint (Non-RA),0-8 Center,,,,McDaniels,J. McDaniels,,,6.65,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT09M34.00S,2025-03-05T01:14:31.3Z,1,REGULAR,2pt,Jump Shot,[],202331,89.70105124835742,23.774509803921568,1610612755,4,6,2025-03-05T01:14:39Z,240000,False,-131.0,44.0,1,right,P. George 13' step back Jump Shot (2 PTS),[202331],1610612755.0,PHI,step back,Mid-Range,8-16 Left,,,,George,P. George,,,13.84,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT09M24.00S,2025-03-05T01:14:40.5Z,1,REGULAR,2pt,Jump Shot,[],1630162,11.251642575558476,72.79411764705883,1610612750,6,6,2025-03-05T01:14:48Z,260000,False,-114.0,53.0,1,left,A. Edwards 12' floating Jump Shot (2 PTS),[1630162],1610612750.0,MIN,floating,Mid-Range,8-16 Left,,,,Edwards,A. Edwards,,,12.58,Made,,,,,2.0,,,,,,,,,,,,,,
28,PT09M07.00S,2025-03-05T01:14:57.5Z,1,REGULAR,3pt,Jump Shot,[],202331,67.23061760840999,45.588235294117645,1610612755,6,6,2025-03-05T01:15:03Z,270000,False,-22.0,256.0,1,right,MISS P. George 25' pullup 3PT,[202331],1610612755.0,PHI,pullup,Above the Break 3,24+ Center,,,,George,P. George,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M04.00S,2025-03-05T01:15:00.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,6,6,2025-03-05T01:15:03Z,280000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,Above the Break 3,24+ Center,,,,Randle,J. Randle,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
30,PT08M59.00S,2025-03-05T01:15:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629675,32.670827858081466,55.88235294117647,1610612750,9,6,2025-03-05T01:15:16Z,290000,False,-29.0,255.0,1,left,N. Reid 25' 3PT  (3 PTS) (J. Randle 1 AST),"[1629675, 203944]",1610612750.0,MIN,,Above the Break 3,24+ Center,,,,Reid,N. Reid,,,25.63,Made,,,,,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,
32,PT08M32.00S,2025-03-05T01:15:32.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,83.919185282523,57.107843137254896,1610612755,9,6,2025-03-05T01:17:46Z,310000,False,36.0,99.0,1,right,MISS K. Oubre Jr. 10' driving floating Shot,[1626162],1610612755.0,PHI,driving floating,In The Paint (Non-RA),8-16 Center,,,,Oubre Jr.,K. Oubre Jr.,,,10.49,Missed,,,,,,,,,,,,,,,,,,,
