actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-20T00:10:47.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-20T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-20T00:10:49.2Z,1,REGULAR,jumpball,recovered,[],1641794,,,1610612760,0,0,2025-03-20T00:10:49Z,40000,False,,,0,,Jump Ball C. Holmgren vs. G. Yabusele: Tip to D. Jones,"[1641794, 1631096, 1627824]",1610612760.0,OKC,startperiod,D. Jones,1641794.0,Jones,D. Jones,Holmgren,1631096.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-20T00:11:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630198,21.632720105124836,91.42156862745098,1610612760,3,0,2025-03-20T00:11:05Z,70000,False,-207.0,151.0,1,left,I. Joe 25' 3PT  (3 PTS) (D. Jones 1 AST),"[1630198, 1641794]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,25.62,Made,3.0,D. Jones,1641794.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-03-20T00:11:22.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630215,88.38699080157687,46.07843137254902,1610612755,3,0,2025-03-20T00:11:31Z,90000,False,-20.0,57.0,1,right,MISS J. Butler 6' driving floating Shot,[1630215],1610612755.0,PHI,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,6.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-03-20T00:11:24.2Z,1,REGULAR,rebound,defensive,[],1641794,,,1610612760,3,0,2025-03-20T00:11:31Z,100000,False,,,0,,D. Jones REBOUND (Off:0 Def:1),[1641794],1610612760.0,OKC,,,,Jones,D. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M11.00S,2025-03-20T00:11:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,4.418528252299605,47.05882352941176,1610612760,5,0,2025-03-20T00:11:55Z,110000,False,15.0,-11.0,1,left,C. Holmgren driving reverse Layup (2 PTS) (D. Jones 2 AST),"[1631096, 1641794]",1610612760.0,OKC,driving reverse,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,D. Jones,1641794.0,2.0,,,,,,,,,,,,,,
13,PT11M02.00S,2025-03-20T00:11:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642348,93.38042049934296,53.18627450980392,1610612755,5,0,2025-03-20T00:12:18Z,130000,False,16.0,10.0,1,right,MISS J. Edwards driving Layup,[1642348],1610612755.0,PHI,driving,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,1.86,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2025-03-20T00:11:46.0Z,1,REGULAR,rebound,defensive,[],1641794,,,1610612760,5,0,2025-03-20T00:11:47Z,140000,False,,,0,,D. Jones REBOUND (Off:0 Def:2),[1641794],1610612760.0,OKC,,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,
15,PT10M53.00S,2025-03-20T00:11:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630198,19.92444152431012,36.51960784313725,1610612760,7,0,2025-03-20T00:11:56Z,150000,False,67.0,135.0,1,left,I. Joe 15' pullup Jump Shot (5 PTS) (J. Williams 1 AST),"[1630198, 1631119]",1610612760.0,OKC,pullup,,,Joe,I. Joe,,,,,In The Paint (Non-RA),8-16 Center,15.07,Made,5.0,J. Williams,1631119.0,1.0,,,,,,,,,,,,,,
17,PT10M36.00S,2025-03-20T00:12:09.8Z,1,REGULAR,3pt,Jump Shot,[],1630215,77.08607095926413,89.2156862745098,1610612755,7,0,2025-03-20T00:12:14Z,170000,False,196.0,163.0,1,right,MISS J. Butler 25' 3PT,[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2025-03-20T00:12:11.8Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,7,0,2025-03-20T00:12:14Z,180000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M28.00S,2025-03-20T00:12:20.3Z,1,REGULAR,turnover,out-of-bounds,[],1641794,,,1610612760,7,0,2025-03-20T00:12:26Z,190000,False,,,0,,D. Jones lost ball out-of-bounds TURNOVER (1 TO),[1641794],1610612760.0,OKC,lost ball,,,Jones,D. Jones,,,,,Mid-Range,16-24 Right,,,,,,,,,,,204058.0,1.0,,,,,,,,
20,PT10M17.00S,2025-03-20T00:12:36.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629656,76.5604467805519,71.32352941176471,1610612755,7,0,2025-03-20T00:12:40Z,200000,False,107.0,168.0,1,right,MISS Q. Grimes 19' pullup Shot,[1629656],1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right Center,19.88,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2025-03-20T00:12:40.3Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,7,0,2025-03-20T00:12:40Z,210000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Right Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M04.00S,2025-03-20T00:12:48.5Z,1,REGULAR,3pt,Jump Shot,[],1631119,6.652431011826544,95.34313725490196,1610612760,10,0,2025-03-20T00:12:52Z,220000,False,-227.0,10.0,1,left,J. Williams 3PT  (3 PTS) (I. Joe 1 AST),"[1631119, 1630198]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,22.69,Made,3.0,I. Joe,1630198.0,1.0,,,,,,,,,,,,,,
24,PT10M03.00S,2025-03-20T00:12:55.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,10,0,2025-03-20T00:12:55Z,240000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M43.00S,2025-03-20T00:16:00.5Z,1,REGULAR,3pt,Jump Shot,[],1627824,70.51576872536137,21.568627450980394,1610612755,10,0,2025-03-20T00:16:06Z,250000,False,-142.0,225.0,1,right,MISS G. Yabusele 26' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,26.59,Missed,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2025-03-20T00:16:03.5Z,1,REGULAR,rebound,offensive,[],1629052,,,1610612755,10,0,2025-03-20T00:16:06Z,260000,False,,,0,,O. Brissett REBOUND (Off:1 Def:0),[1629052],1610612755.0,PHI,,,,Brissett,O. Brissett,,,,,Above the Break 3,24+ Left Center,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,
27,PT09M34.00S,2025-03-20T00:16:08.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642348,93.64323258869908,48.529411764705884,1610612755,10,2,2025-03-20T00:16:14Z,270000,False,-7.0,7.0,1,right,J. Edwards driving DUNK (2 PTS) (G. Yabusele 1 AST),"[1642348, 1627824]",1610612755.0,PHI,driving,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,G. Yabusele,1627824.0,1.0,,,,,,,,,,,,,,
29,PT09M12.00S,2025-03-20T00:16:31.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631119,6.1268068331143235,49.01960784313725,1610612760,12,2,2025-03-20T00:17:11Z,290000,False,5.0,5.0,1,left,J. Williams cutting DUNK (5 PTS) (A. Wiggins 1 AST),"[1631119, 1630598]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,0.71,Made,5.0,A. Wiggins,1630598.0,1.0,,,,,,,,,,,,,,
31,PT08M51.00S,2025-03-20T00:16:51.0Z,1,REGULAR,3pt,Jump Shot,[],1642348,78.66294349540078,9.313725490196079,1610612755,12,2,2025-03-20T00:17:02Z,310000,False,-203.0,148.0,1,right,MISS J. Edwards 25' 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
32,PT08M48.00S,2025-03-20T00:16:54.0Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,12,2,2025-03-20T00:17:02Z,320000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,
33,PT08M39.00S,2025-03-20T00:17:03.9Z,1,REGULAR,3pt,Jump Shot,[],1631096,23.866622864651774,13.480392156862745,1610612760,15,2,2025-03-20T00:17:08Z,330000,False,183.0,172.0,1,left,C. Holmgren 25' 3PT  (5 PTS) (I. Joe 2 AST),"[1631096, 1630198]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,25.07,Made,5.0,I. Joe,1630198.0,2.0,,,,,,,,,,,,,,
35,PT08M18.00S,2025-03-20T00:17:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,96.13994743758212,95.58823529411765,1610612755,15,2,2025-03-20T00:17:28Z,350000,False,228.0,-16.0,1,right,MISS Q. Grimes 3PT,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,22.85,Missed,,,,,,,,,,,,,,,,,,
36,PT08M16.00S,2025-03-20T00:17:25.9Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,15,2,2025-03-20T00:17:28Z,360000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT08M13.00S,2025-03-20T00:17:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612760,15,2,2025-03-20T00:17:43Z,370000,False,,,0,,O. Brissett shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1629052, 1631096]",1610612755.0,PHI,shooting,,,Brissett,O. Brissett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628951.0,,1.0,0.0,Holmgren,1631096.0,,,,
39,PT08M13.00S,2025-03-20T00:17:59.9Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,16,2,2025-03-20T00:18:00Z,390000,False,,,0,,C. Holmgren Free Throw 1 of 2 (6 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
40,PT08M13.00S,2025-03-20T00:18:00.5Z,1,REGULAR,substitution,out,[],1630215,,,1610612760,16,2,2025-03-20T00:18:07Z,400000,False,,,0,,SUB out: J. Butler,[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
