actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-19T00:40:35.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-19T00:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-19T00:40:37.5Z,1,REGULAR,jumpball,recovered,[],1642948,,,1610612742,0,0,2026-03-19T00:40:37Z,40000,False,,,0,,Jump Ball P. Washington vs. O. Okongwu: Tip to R. Nembhard,"[1642948, 1629023, 1630168]",1610612742.0,DAL,startperiod,R. Nembhard,1642948.0,Nembhard,R. Nembhard,Washington,1629023.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-19T00:40:47.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,71.04139290407359,24.754901960784316,1610612742,0,0,2026-03-19T00:40:52Z,70000,False,-126.0,220.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-03-19T00:40:51.6Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2026-03-19T00:40:52Z,80000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2026-03-19T00:41:05.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,11.563731931668856,46.82904411764706,1610612737,0,2,2026-03-19T00:41:12Z,90000,False,16.0,56.0,1,left,O. Okongwu turnaround Hook (2 PTS),[1630168],1610612737.0,ATL,turnaround,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,5.84,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M15.00S,2026-03-19T00:41:18.8Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612742,0,2,2026-03-19T00:41:25Z,100000,False,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 1629638]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Alexander-Walker,1629638.0,,,,,,,,,,
11,PT11M15.00S,2026-03-19T00:41:18.8Z,1,REGULAR,steal,,[],1629638,,,1610612737,0,2,2026-03-19T00:41:20Z,110000,False,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2026-03-19T00:41:25.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630168,34.247700394218136,44.36274509803921,1610612737,0,5,2026-03-19T00:41:58Z,120000,False,28.0,269.0,1,left,O. Okongwu 27' 3PT running (5 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,27.09,Made,,,,,5.0,,,,J. Johnson,1630552.0,1.0,,,,,,,
15,PT10M54.00S,2026-03-19T00:41:55.4Z,1,REGULAR,3pt,Jump Shot,[],1631108,92.06636005256242,96.32352941176471,1610612742,0,5,2026-03-19T00:41:59Z,150000,False,232.0,22.0,1,right,MISS M. Christie 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2026-03-19T00:41:58.4Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,5,2026-03-19T00:41:59Z,160000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
