actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-25T00:12:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-25T00:12:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-10-25T00:12:50.0Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612765,0,0,2025-10-25T00:12:50Z,40000,False,,,0,,Jump Ball J. Duren vs. S. Adams: Tip to D. Robinson,"[1629130, 1631105, 203500]",1610612765.0,DET,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Duren,1631105.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-10-25T00:13:03.9Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,0,0,2025-10-25T00:13:21Z,70000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1630578]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,1.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-10-25T00:13:03.9Z,1,REGULAR,steal,,[],1630578,,,1610612745,0,0,2025-10-25T00:13:05Z,80000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2025-10-25T00:13:23.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,91.14651773981603,64.70588235294117,1610612745,2,0,2025-10-25T00:13:35Z,90000,False,74.0,31.0,1,right,K. Durant 7' pullup bank Jump Shot (2 PTS),[201142],1610612745.0,HOU,pullup bank,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,7.97,Made,2.0,,,,,,,,,,,,,,
10,PT11M24.00S,2025-10-25T00:13:26.5Z,1,REGULAR,foul,personal,['1freethrow'],1641709,,,1610612745,2,0,2025-10-25T00:13:41Z,100000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Durant 1 FT),"[1641709, 201142]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200834.0,1.0,0.0,Durant,201142.0,,,,,,,,,
12,PT11M24.00S,2025-10-25T00:13:46.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201142,,,1610612745,3,0,2025-10-25T00:13:46Z,120000,False,,,0,,K. Durant Free Throw 1 of 1 (3 PTS),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
13,PT11M08.00S,2025-10-25T00:14:04.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,8.492115637319317,44.11764705882353,1610612765,3,0,2025-10-25T00:14:14Z,130000,False,29.0,27.0,1,left,MISS A. Thompson alley-oop DUNK,[1641709],1610612765.0,DET,alley-oop,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,4.01,Missed,,,,,,,,,,,,,,,
14,PT11M06.00S,2025-10-25T00:14:06.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612745,3,0,2025-10-25T00:14:14Z,140000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M51.00S,2025-10-25T00:14:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,94.03745072273325,46.07843137254902,1610612745,3,0,2025-10-25T00:14:26Z,150000,False,-20.0,4.0,1,right,MISS A. Sengun Layup,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,1.99,Missed,,,,,,,,,,,,,,,
