actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-02T00:11:28.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-02T00:11:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M44.00S,2026-04-02T00:12:00.9Z,1,REGULAR,jumpball,recovered,[],1641708,,,0,0,0,2026-04-02T00:12:00Z,40000,False,,,0,,Jump Ball A. Thompson vs. G. Trent Jr.: Tip to A. Thompson,"[1641708, 1641708, 1629018]",1610612745.0,HOU,unclearpass,A. Thompson,1641708.0,Thompson,A. Thompson,Thompson,1641708.0,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-04-02T00:12:13.0Z,1,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612745,0,0,2026-04-02T00:12:26Z,90000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Sengun 2 FT),"[1630579, 1630578]",1610612749.0,MIL,shooting,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Center,202058.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,,,,
11,PT11M43.00S,2026-04-02T00:12:32.7Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,1,0,2026-04-02T00:12:32Z,110000,False,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
12,PT11M43.00S,2026-04-02T00:12:48.0Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,2,0,2026-04-02T00:12:48Z,120000,False,,,0,,A. Sengun Free Throw 2 of 2 (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
14,PT11M28.00S,2026-04-02T00:13:03.9Z,1,REGULAR,2pt,Jump Shot,[],1631260,22.683968462549277,39.21568627450981,1610612749,2,0,2026-04-02T00:13:10Z,130000,False,54.0,161.0,1,left,MISS A. Green 16' pullup Shot,[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Mid-Range,16-24 Center,,,,,,Missed,,16.95,,,,,,,,,,,,
15,PT11M28.00S,2026-04-02T00:13:03.9Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,0,2026-04-02T00:13:10Z,140000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M22.00S,2026-04-02T00:13:11.8Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612745,2,0,2026-04-02T00:13:19Z,150000,False,,,0,,K. Durant bad pass out-of-bounds TURNOVER (1 TO),[201142],1610612745.0,HOU,bad pass,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,203593.0,,,,,,,,,,,,1.0,,,,,,,
17,PT11M09.00S,2026-04-02T00:13:30.8Z,1,REGULAR,foul,offensive,[],1630579,,,1610612749,2,0,2026-04-02T00:13:39Z,160000,False,,,0,,J. Sims offensive FOUL (2 PF),"[1630579, 1641708]",1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Left Center,203593.0,2.0,0.0,Thompson,1641708.0,,,,,,,,,,,,,,,
19,PT11M09.00S,2026-04-02T00:13:30.8Z,1,REGULAR,turnover,offensive foul,[],1630579,,,1610612749,2,0,2026-04-02T00:13:30Z,180000,False,,,0,,J. Sims offensive foul TURNOVER (1 TO),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Left Center,203593.0,,,,,,,,,,,,1.0,,,,,,,
20,PT10M59.00S,2026-04-02T00:13:48.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201142,87.20433639947439,56.61764705882353,1610612745,4,0,2026-04-02T00:13:51Z,190000,False,33.0,68.0,1,right,K. Durant 7' pullup Jump Shot (2 PTS) (J. Smith Jr. 1 AST),"[201142, 1631095]",1610612745.0,HOU,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,7.54,,,,,,J. Smith Jr.,1631095.0,1.0,,,,
22,PT10M43.00S,2026-04-02T00:14:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631172,6.915243101182654,62.99019607843137,1610612749,4,0,2026-04-02T00:14:11Z,210000,False,-65.0,13.0,1,left,MISS O. Dieng 6' driving floating bank Shot,[1631172],1610612749.0,MIL,driving floating bank,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.62,,,,,,,,,,,,
23,PT10M42.00S,2026-04-02T00:14:05.3Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,4,0,2026-04-02T00:14:27Z,220000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT10M37.00S,2026-04-02T00:14:13.2Z,1,REGULAR,violation,kicked ball,[],1629018,,,1610612745,4,0,2026-04-02T00:14:20Z,230000,False,,,0,,G. Trent Jr. kicked ball VIOLATION,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,203593.0,,,,,,,,,,,,,,,,,,,
25,PT10M32.00S,2026-04-02T00:14:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,85.10183968462549,42.8921568627451,1610612745,4,0,2026-04-02T00:14:38Z,240000,False,-36.0,88.0,1,right,MISS A. Thompson 9' floating Shot,[1641708],1610612745.0,HOU,floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,9.44,,,,,,,,,,,,
26,PT10M31.00S,2026-04-02T00:14:32.4Z,1,REGULAR,rebound,defensive,[],1631172,,,1610612749,4,0,2026-04-02T00:31:17Z,250000,False,,,0,,O. Dieng REBOUND (Off:0 Def:1),[1631172],1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT10M12.00S,2026-04-02T00:14:50.9Z,1,REGULAR,3pt,Jump Shot,[],1631260,32.40801576872536,65.93137254901961,1610612749,4,3,2026-04-02T00:14:54Z,260000,False,-80.0,252.0,1,left,A. Green 26' 3PT pullup (3 PTS) (O. Dieng 1 AST),"[1631260, 1631172]",1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,26.44,,,,,,O. Dieng,1631172.0,1.0,,,,
29,PT09M54.00S,2026-04-02T00:15:08.9Z,1,REGULAR,3pt,Jump Shot,[],201142,76.95466491458606,93.38235294117648,1610612745,4,3,2026-04-02T00:15:16Z,280000,False,217.0,164.0,1,right,MISS K. Durant 27' 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.2,,,,,,,,,,,,
30,PT09M54.00S,2026-04-02T00:15:08.9Z,1,REGULAR,rebound,defensive,[],1631250,,,1610612749,4,3,2026-04-02T00:15:16Z,290000,False,,,0,,P. Nance REBOUND (Off:0 Def:1),[1631250],1610612749.0,MIL,,,,Nance,P. Nance,,,,,Above the Break 3,24+ Right Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M43.00S,2026-04-02T00:15:19.8Z,1,REGULAR,2pt,Jump Shot,[],1629018,17.0335085413929,27.941176470588236,1610612749,4,3,2026-04-02T00:15:25Z,300000,False,110.0,108.0,1,left,MISS G. Trent Jr. 15' fadeaway Shot,[1629018],1610612749.0,MIL,fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Right,,,,,,Missed,,15.41,,,,,,,,,,,,
32,PT09M43.00S,2026-04-02T00:15:19.8Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,4,3,2026-04-02T00:15:25Z,310000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,
33,PT09M41.00S,2026-04-02T00:15:24.5Z,1,REGULAR,foul,personal,[],1629018,,,1610612745,4,3,2026-04-02T00:15:33Z,320000,False,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 201142]",1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,203593.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,
35,PT09M32.00S,2026-04-02T00:15:51.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631095,91.5407358738502,53.431372549019606,1610612745,6,3,2026-04-02T00:15:54Z,340000,False,17.0,27.0,1,right,J. Smith Jr. cutting DUNK (2 PTS) (R. Sheppard 1 AST),"[1631095, 1642263]",1610612745.0,HOU,cutting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.2,,,,,,R. Sheppard,1642263.0,1.0,,,,
37,PT09M23.00S,2026-04-02T00:16:00.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,7.5722733245729295,53.92156862745098,1610612749,6,3,2026-04-02T00:16:10Z,360000,False,-20.0,19.0,1,left,MISS J. Sims alley-oop DUNK,[1630579],1610612749.0,MIL,alley-oop,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.71,,,,,,,,,,,,
38,PT09M23.00S,2026-04-02T00:16:00.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,3,2026-04-02T00:16:10Z,370000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT09M14.00S,2026-04-02T00:16:09.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,91.01511169513797,54.65686274509803,1610612745,6,3,2026-04-02T00:16:18Z,380000,False,23.0,32.0,1,right,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.96,,,,,,,,,,,,
