actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-03T00:10:34.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T00:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-03T00:10:37.7Z,1,REGULAR,jumpball,recovered,[],1628436,,,1610612759,0,0,2026-01-03T00:10:37Z,40000,False,,,0,,Jump Ball L. Kornet vs. M. Potter: Tip to L. Kornet,"[1628436, 1628436, 1630695]",1610612759.0,SAS,startperiod,L. Kornet,1628436.0,Kornet,L. Kornet,Kornet,1628436.0,Potter,1630695.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-03T00:10:48.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,28.33442838370565,75.73529411764706,1610612759,0,0,2026-01-03T00:10:53Z,70000,False,-129.0,214.0,1,left,MISS J. Champagnie 24' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,24.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-01-03T00:10:50.9Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,0,0,2026-01-03T00:10:53Z,80000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2026-01-03T00:11:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,92.85479632063075,54.65686274509803,1610612754,2,0,2026-01-03T00:11:05Z,90000,False,23.0,15.0,1,right,A. Nembhard driving reverse Layup (2 PTS),[1629614],1610612754.0,IND,driving reverse,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.75,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2026-01-03T00:11:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,5.732588699080158,47.549019607843135,1610612759,2,0,2026-01-03T00:11:23Z,100000,False,12.0,1.0,1,left,MISS S. Castle driving reverse Layup,[1642264],1610612759.0,SAS,driving reverse,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2026-01-03T00:11:22.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,0,2026-01-03T00:11:22Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,10.0,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2026-01-03T00:11:56.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203084,37.40144546649146,35.294117647058826,1610612759,2,0,2026-01-03T00:12:00Z,140000,False,74.0,299.0,1,left,MISS H. Barnes 30' pullup 3PT,[203084],1610612759.0,SAS,pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,30.8,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2026-01-03T00:11:58.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,2,0,2026-01-03T00:11:58Z,150000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M56.00S,2026-01-03T00:12:03.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627783,87.33574244415243,45.588235294117645,1610612754,2,0,2026-01-03T00:12:42Z,160000,False,-22.0,67.0,1,right,MISS P. Siakam 7' driving floating Shot,[1627783],1610612754.0,IND,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2026-01-03T00:12:05.6Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,2,0,2026-01-03T00:12:07Z,170000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M45.00S,2026-01-03T00:12:15.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642264,5.601182654402102,48.28431372549019,1610612759,2,2,2026-01-03T00:12:18Z,180000,False,9.0,0.0,1,left,S. Castle driving DUNK (2 PTS) (L. Kornet 1 AST),"[1642264, 1628436]",1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,2.0,L. Kornet,1628436.0,1.0,,,,,,,,,,
20,PT10M26.00S,2026-01-03T00:12:33.6Z,1,REGULAR,3pt,Jump Shot,[],1630174,67.23061760840999,58.08823529411765,1610612754,5,2,2026-01-03T00:12:39Z,200000,False,40.0,256.0,1,right,A. Nesmith 25' 3PT  (3 PTS) (P. Siakam 1 AST),"[1630174, 1627783]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,25.87,Made,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
