actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-25T00:10:33.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-25T00:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-25T00:10:35.8Z,1,REGULAR,jumpball,recovered,[],203954,,,1610612755,0,0,2026-02-25T00:10:35Z,40000,False,,,0,,Jump Ball D. Barlow vs. J. Huff: Tip to J. Embiid,"[203954, 1631230, 1630643]",1610612755.0,PHI,startperiod,J. Embiid,203954.0,Embiid,J. Embiid,Barlow,1631230.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2026-02-25T00:10:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,8.09789750328515,51.225490196078425,1610612755,0,2,2026-02-25T01:25:11Z,70000,False,-6.0,24.0,1,left,K. Oubre Jr. driving reverse Layup (2 PTS) (J. Embiid 1 AST),"[1626162, 203954]",1610612755.0,PHI,driving reverse,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.44,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-02-25T00:10:55.6Z,1,REGULAR,3pt,Jump Shot,[],1642880,94.69448094612353,98.0392156862745,1610612754,3,2,2026-02-25T00:10:59Z,90000,False,240.0,-3.0,1,right,K. Jones 24' 3PT  (3 PTS) (A. Nembhard 1 AST),"[1642880, 1629614]",1610612754.0,IND,,,,Jones,K. Jones,,,,,Right Corner 3,24+ Right,24.02,Made,3.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,,
11,PT11M17.00S,2026-02-25T00:11:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.30946123521682,50.98039215686274,1610612755,3,4,2026-02-25T00:11:18Z,110000,False,-5.0,16.0,1,left,T. Maxey driving Layup (2 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.69,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2026-02-25T00:11:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642880,93.9060446780552,51.9607843137255,1610612754,5,4,2026-02-25T00:11:44Z,120000,False,10.0,5.0,1,right,K. Jones driving floating bank Jump Shot (5 PTS),[1642880],1610612754.0,IND,driving floating bank,,,Jones,K. Jones,,,,,Restricted Area,0-8 Center,1.09,Made,5.0,,,,,,,,,,,,,,,,,
13,PT10M43.00S,2026-02-25T00:11:48.5Z,1,REGULAR,2pt,Jump Shot,[],203954,26.231931668856767,47.30392156862745,1610612755,5,4,2026-02-25T00:11:53Z,130000,False,13.0,194.0,1,left,MISS J. Embiid 19' step back Shot,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,19.46,Missed,,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2026-02-25T00:11:50.5Z,1,REGULAR,rebound,defensive,[],1642880,,,1610612754,5,4,2026-02-25T00:11:53Z,140000,False,,,0,,K. Jones REBOUND (Off:0 Def:1),[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,Mid-Range,16-24 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M37.00S,2026-02-25T00:11:57.3Z,1,REGULAR,foul,personal,[],1626162,,,1610612754,5,4,2026-02-25T00:12:02Z,150000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1642880]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1201.0,1.0,0.0,Jones,1642880.0,,,,,
17,PT10M24.00S,2026-02-25T00:12:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641716,90.88370565045992,57.107843137254896,1610612754,5,4,2026-02-25T00:12:33Z,170000,False,36.0,33.0,1,right,MISS J. Walker driving floating Shot,[1641716],1610612754.0,IND,driving floating,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,4.86,Missed,,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2026-02-25T00:12:30.5Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,5,4,2026-02-25T00:12:44Z,180000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M14.00S,2026-02-25T00:12:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,4.944152431011826,51.470588235294116,1610612755,5,4,2026-02-25T00:12:45Z,190000,False,-7.0,-6.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2026-02-25T00:12:40.3Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,5,4,2026-02-25T00:12:45Z,200000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M02.00S,2026-02-25T00:12:48.7Z,1,REGULAR,3pt,Jump Shot,[],1642880,95.74572930354796,97.30392156862744,1610612754,8,4,2026-02-25T00:12:52Z,210000,False,237.0,-13.0,1,right,K. Jones 3PT  (8 PTS) (J. Huff 1 AST),"[1642880, 1630643]",1610612754.0,IND,,,,Jones,K. Jones,,,,,Right Corner 3,24+ Right,23.68,Made,8.0,J. Huff,1630643.0,1.0,,,,,,,,,,,,,,
23,PT09M44.00S,2026-02-25T00:13:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,6.258212877792378,62.00980392156863,1610612755,8,4,2026-02-25T00:15:35Z,230000,False,-60.0,6.0,1,left,MISS T. Maxey 6' floating Shot - blocked,"[1630178, 1641716]",1610612755.0,PHI,floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,6.03,Missed,,,,,,,,,,,,,,Walker,1641716.0,,,
35,PT09M44.00S,2026-02-25T00:13:07.0Z,1,REGULAR,block,,[],1641716,,,1610612755,8,4,2026-02-25T00:14:50Z,235000,False,,,0,,J. Walker BLOCK (1 BLK),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M41.00S,2026-02-25T00:13:10.0Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,8,4,2026-02-25T00:13:11Z,240000,False,,,0,,J. Huff REBOUND (Off:0 Def:2),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
25,PT09M33.00S,2026-02-25T00:13:17.7Z,1,REGULAR,3pt,Jump Shot,[],1641716,73.01248357424441,85.04901960784314,1610612754,8,4,2026-02-25T00:13:21Z,250000,False,175.0,201.0,1,right,MISS J. Walker 26' 3PT,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,26.68,Missed,,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2026-02-25T00:13:19.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,8,4,2026-02-25T00:13:21Z,260000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M24.00S,2026-02-25T00:13:27.1Z,1,REGULAR,3pt,Jump Shot,[],1642845,23.603810775295663,88.23529411764706,1610612755,8,7,2026-02-25T00:13:30Z,270000,False,-191.0,169.0,1,left,V. Edgecombe 25' 3PT  (3 PTS) (J. Embiid 2 AST),"[1642845, 203954]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,25.54,Made,3.0,J. Embiid,203954.0,2.0,,,,,,,,,,,,,,
29,PT09M09.00S,2026-02-25T00:13:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630643,93.9060446780552,51.470588235294116,1610612754,10,7,2026-02-25T00:13:45Z,290000,False,7.0,5.0,1,right,J. Huff Layup (2 PTS),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,,,,,,,,,,,,,,,,,
30,PT08M52.00S,2026-02-25T00:14:01.5Z,1,REGULAR,foul,personal,['2freethrow'],1630643,,,1610612755,10,7,2026-02-25T00:14:08Z,300000,False,,,0,,J. Huff shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630643, 203954]",1610612754.0,IND,shooting,,,Huff,J. Huff,,,,,Mid-Range,8-16 Left,,,,,,,,,,,2534.0,1.0,0.0,Embiid,203954.0,,,,,
32,PT08M52.00S,2026-02-25T00:14:28.6Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,10,8,2026-02-25T00:14:28Z,320000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
33,PT08M52.00S,2026-02-25T00:14:29.3Z,1,REGULAR,substitution,out,[],1630643,,,1610612755,10,8,2026-02-25T00:14:31Z,330000,False,,,0,,SUB out: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2026-02-25T00:14:29.3Z,1,REGULAR,substitution,in,[],1630695,,,1610612755,10,8,2026-02-25T00:14:31Z,340000,False,,,0,,SUB in: M. Potter,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M52.00S,2026-02-25T00:14:57.4Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,10,9,2026-02-25T00:14:57Z,350000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
37,PT08M40.00S,2026-02-25T00:15:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641767,93.9060446780552,53.18627450980392,1610612754,10,9,2026-02-25T00:15:17Z,360000,False,16.0,5.0,1,right,MISS B. Sheppard driving finger roll Layup - blocked,"[1641767, 203954]",1610612754.0,IND,driving finger roll,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,
40,PT08M40.00S,2026-02-25T00:15:09.9Z,1,REGULAR,block,,[],203954,,,1610612754,10,9,2026-02-25T00:15:17Z,365000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M40.00S,2026-02-25T00:15:09.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,10,9,2026-02-25T00:15:17Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,37.0,,,,,,,,,,,,,
41,PT08M30.00S,2026-02-25T00:15:41.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630695,64.73390275952694,27.450980392156865,1610612754,10,9,2026-02-25T00:15:45Z,390000,False,-113.0,279.0,1,right,MISS M. Potter 30' 3PT,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Left Center,30.09,Missed,,,,,,,,,,,,,,,,,,
42,PT08M27.00S,2026-02-25T00:15:44.4Z,1,REGULAR,rebound,offensive,[],1641767,,,1610612754,10,9,2026-02-25T00:15:44Z,400000,False,,,0,,B. Sheppard REBOUND (Off:1 Def:0),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Left Center,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,,,
43,PT08M25.00S,2026-02-25T00:15:46.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641767,82.07950065703022,96.81372549019608,1610612754,13,9,2026-02-25T00:15:50Z,410000,False,234.0,116.0,1,right,B. Sheppard 26' 3PT  (3 PTS) (K. Jones 1 AST),"[1641767, 1642880]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Right Center,26.13,Made,3.0,K. Jones,1642880.0,1.0,,,,,,,,,,,,,,
