actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-15T03:41:05.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-15T03:41:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-15T03:41:08.2Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2026-01-15T03:41:08Z,40000,False,,,0,,Jump Ball B. Lopez vs. A. Sarr: Tip to J. Harden,"[201935, 201572, 1642259]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Lopez,201572.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-15T03:41:25.7Z,1,REGULAR,3pt,Jump Shot,[],201572,74.58935611038108,85.5392156862745,1610612746,0,0,2026-01-15T03:41:33Z,70000,False,178.0,186.0,1,right,MISS B. Lopez 25' 3PT,[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-01-15T03:41:30.7Z,1,REGULAR,rebound,defensive,[],203114,,,1610612764,0,0,2026-01-15T03:41:33Z,80000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2026-01-15T03:42:35.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612764,0,0,2026-01-15T03:42:35Z,90000,False,,,0,,Jump Ball K. George vs. B. Lopez: Tip to Team (WAS),"[1642273, 201572]",1610612764.0,WAS,heldball,Team (WAS),,,,George,1642273.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2026-01-15T03:42:37.7Z,1,REGULAR,foul,personal,[],201572,,,1610612764,0,0,2026-01-15T03:46:28Z,120000,False,,,0,,B. Lopez loose ball personal FOUL (1 PF),"[201572, 1642273]",1610612746.0,LAC,loose ball,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628954.0,1.0,0.0,George,1642273.0,,,,,,,,,
14,PT11M11.00S,2026-01-15T03:42:50.8Z,1,REGULAR,2pt,Jump Shot,[],203114,17.95335085413929,19.11764705882353,1610612764,0,2,2026-01-15T03:43:32Z,140000,False,154.0,116.0,1,left,K. Middleton 19' pullup Jump Shot (2 PTS),[203114],1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,19.33,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M47.00S,2026-01-15T03:43:14.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,91.93495400788436,47.794117647058826,1610612746,2,2,2026-01-15T03:43:18Z,150000,False,-11.0,23.0,1,right,B. Lopez driving DUNK (2 PTS) (J. Harden 1 AST),"[201572, 201935]",1610612746.0,LAC,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,
17,PT10M37.00S,2026-01-15T03:43:24.6Z,1,REGULAR,3pt,Jump Shot,[],203114,31.750985545335087,32.35294117647059,1610612764,2,5,2026-01-15T03:43:28Z,170000,False,88.0,246.0,1,left,K. Middleton 26' 3PT  (5 PTS) (K. George 1 AST),"[203114, 1642273]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,26.13,Made,,,,,,,,,,5.0,K. George,1642273.0,1.0,,,,,
19,PT10M21.00S,2026-01-15T03:43:44.1Z,1,REGULAR,violation,kicked ball,[],1641731,,,1610612746,2,5,2026-01-15T03:43:54Z,190000,False,,,0,,B. Coulibaly kicked ball VIOLATION,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,200834.0,,,,,,,,,,,,,
20,PT10M12.00S,2026-01-15T03:44:08.4Z,1,REGULAR,3pt,Jump Shot,[],201572,73.9323258869908,12.5,1610612746,2,5,2026-01-15T03:44:14Z,200000,False,-188.0,193.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.87,Missed,,,,,,,,,,,,,,,,,,
21,PT10M07.00S,2026-01-15T03:44:13.4Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,2,5,2026-01-15T03:44:14Z,210000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M53.00S,2026-01-15T03:44:26.5Z,1,REGULAR,2pt,Jump Shot,[],203114,3.892904073587385,26.47058823529412,1610612764,2,7,2026-01-15T03:44:30Z,220000,False,118.0,-16.0,1,left,K. Middleton 11' pullup Jump Shot (7 PTS) (T. Johnson 1 AST),"[203114, 1642848]",1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,11.87,Made,,,,,,,,,,7.0,T. Johnson,1642848.0,1.0,,,,,
24,PT09M32.00S,2026-01-15T03:44:49.6Z,1,REGULAR,foul,personal,[],1642259,,,1610612746,2,7,2026-01-15T03:44:55Z,240000,False,,,0,,A. Sarr personal FOUL (1 PF),"[1642259, 201935]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,,200834.0,1.0,0.0,Harden,201935.0,,,,,,,,,
26,PT09M18.00S,2026-01-15T03:45:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,90.62089356110381,49.50980392156863,1610612746,2,7,2026-01-15T03:45:30Z,260000,False,-2.0,36.0,1,right,MISS J. Harden driving Layup - blocked,"[201935, 1642259]",1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,Sarr,1642259.0,,,
27,PT09M18.00S,2026-01-15T03:45:25.5Z,1,REGULAR,block,,[],1642259,,,1610612746,2,7,2026-01-15T03:45:28Z,270000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M15.00S,2026-01-15T03:45:28.5Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,2,7,2026-01-15T03:45:30Z,280000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M10.00S,2026-01-15T03:45:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,8.754927726675426,46.07843137254902,1610612764,2,7,2026-01-15T03:45:38Z,290000,False,20.0,30.0,1,left,MISS A. Sarr fadeaway Shot,[1642259],1610612764.0,WAS,fadeaway,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,3.57,Missed,,,,,,,,,,,,,,,,,,
30,PT09M08.00S,2026-01-15T03:45:35.3Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,2,7,2026-01-15T03:45:38Z,300000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M03.00S,2026-01-15T03:45:40.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202695,66.5735873850197,65.44117647058823,1610612746,2,7,2026-01-15T03:45:48Z,310000,False,77.0,262.0,1,right,MISS K. Leonard 27' running pullup 3PT,[202695],1610612746.0,LAC,running pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,27.28,Missed,,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2026-01-15T03:45:44.0Z,1,REGULAR,rebound,defensive,[],1642848,,,1610612764,2,7,2026-01-15T03:45:48Z,320000,False,,,0,,T. Johnson REBOUND (Off:0 Def:1),[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M43.00S,2026-01-15T03:45:59.9Z,1,REGULAR,turnover,bad pass,[],1642259,,,1610612764,2,7,2026-01-15T03:46:07Z,330000,False,,,0,,A. Sarr bad pass TURNOVER (1 TO),"[1642259, 202695]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Leonard,202695.0
34,PT08M43.00S,2026-01-15T03:45:59.9Z,1,REGULAR,steal,,[],202695,,,1610612746,2,7,2026-01-15T03:46:02Z,340000,False,,,0,,K. Leonard STEAL (1 STL),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M38.00S,2026-01-15T03:46:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1642848,,,1610612746,2,7,2026-01-15T03:46:18Z,350000,False,,,0,,T. Johnson shooting personal FOUL (1 PF) (Leonard 2 FT),"[1642848, 202695]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628954.0,1.0,0.0,Leonard,202695.0,,,,,,,,,
37,PT08M38.00S,2026-01-15T03:46:37.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",202695,,,1610612746,3,7,2026-01-15T03:46:37Z,370000,False,,,0,,K. Leonard Free Throw 1 of 2 (1 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
38,PT08M38.00S,2026-01-15T03:46:55.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",202695,,,1610612746,4,7,2026-01-15T03:46:55Z,380000,False,,,0,,K. Leonard Free Throw 2 of 2 (2 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
39,PT08M23.00S,2026-01-15T03:47:12.1Z,1,REGULAR,3pt,Jump Shot,[],1642848,6.783837056504599,4.411764705882353,1610612764,4,7,2026-01-15T03:50:18Z,390000,False,228.0,11.0,1,left,MISS T. Johnson 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Right Corner 3,24+ Right,22.82,Missed,,,,,,,,,,,,,,,,,,
