actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-02T00:13:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-02T00:13:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-02-02T00:13:34.3Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-02-02T00:13:34Z,40000,False,,,0,,Jump Ball K. Towns vs. D. Ayton: Tip to J. Hart,"[1628404, 1626157, 1629028]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-02-02T00:13:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,70.90998685939553,74.26470588235294,1610612752,0,0,2026-02-02T00:13:59Z,70000,False,121.0,221.0,1,right,MISS M. Bridges 25' 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-02-02T00:13:58.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,0,2026-02-02T00:13:59Z,80000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2026-02-02T00:14:00.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629029,6.521024967148489,50.49019607843137,1610612747,0,2,2026-02-02T00:14:04Z,90000,False,-2.0,9.0,1,left,L. Dončić running Layup (2 PTS) (L. James 1 AST),"[1629029, 2544]",1610612747.0,LAL,running,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,0.91,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,,,,
11,PT11M16.00S,2026-02-02T00:14:14.9Z,1,REGULAR,3pt,Jump Shot,[],1628384,83.52496714848883,3.9215686274509802,1610612752,3,2,2026-02-02T00:14:17Z,110000,False,-230.0,102.0,1,right,O. Anunoby 25' 3PT  (3 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,25.21,Made,,,,,3.0,,,,,,,,,,,,,
13,PT11M03.00S,2026-02-02T00:14:28.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.327858081471746,32.35294117647059,1610612747,3,2,2026-02-02T00:15:23Z,130000,False,88.0,261.0,1,left,MISS L. Dončić 27' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,27.53,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2026-02-02T00:14:31.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,3,2,2026-02-02T00:14:32Z,140000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M51.00S,2026-02-02T00:14:40.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,95.3515111695138,96.81372549019608,1610612752,6,2,2026-02-02T00:14:44Z,150000,False,234.0,-9.0,1,right,J. Brunson 3PT step back (3 PTS) (J. Hart 1 AST),"[1628973, 1628404]",1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,23.43,Made,,,,,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,
16,PT10M41.00S,2026-02-02T00:14:50.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,6.783837056504599,50.245098039215684,1610612747,6,4,2026-02-02T00:14:53Z,160000,False,-1.0,11.0,1,left,D. Ayton alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1629028, 203935]",1610612747.0,LAL,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.14,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,
18,PT10M24.00S,2026-02-02T00:15:06.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,92.85479632063075,3.1862745098039214,1610612752,6,4,2026-02-02T00:15:12Z,180000,False,-234.0,15.0,1,right,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.46,Missed,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2026-02-02T00:15:09.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,6,4,2026-02-02T00:15:12Z,190000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Left Corner 3,24+ Left,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M12.00S,2026-02-02T00:15:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,6.258212877792378,51.9607843137255,1610612747,6,6,2026-02-02T00:15:23Z,200000,False,-10.0,6.0,1,left,D. Ayton Layup (4 PTS) (L. Dončić 1 AST),"[1629028, 1629029]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,4.0,L. Dončić,1629029.0,1.0,,,,,,,,,,
23,PT10M11.00S,2026-02-02T00:15:25.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,6,6,2026-02-02T00:15:25Z,220000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
