actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-01T00:40:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-01T00:40:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-01T00:40:55.4Z,1,REGULAR,jumpball,recovered,[],1642845,,,1610612755,0,0,2026-02-01T00:40:55Z,40000,False,,,0,,Jump Ball J. Embiid vs. D. Queen: Tip to V. Edgecombe,"[1642845, 203954, 1642852]",1610612755.0,PHI,startperiod,V. Edgecombe,1642845.0,Edgecombe,V. Edgecombe,Embiid,203954.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-02-01T00:41:04.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,6.652431011826544,43.627450980392155,1610612755,2,0,2026-02-01T00:41:08Z,70000,False,32.0,10.0,1,left,T. Maxey driving floating bank Jump Shot (2 PTS) (V. Edgecombe 1 AST),"[1630178, 1642845]",1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,3.34,Made,2.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-02-01T00:41:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.82588699080158,49.754901960784316,1610612740,2,2,2026-02-01T00:41:19Z,90000,False,-1.0,-4.0,1,right,H. Jones driving Layup (2 PTS),[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,0.41,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2026-02-01T00:41:42.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,14.536793692509855,51.71568627450981,1610612755,2,2,2026-02-01T00:42:28Z,110000,False,-9.0,84.0,1,left,MISS J. Embiid 8' driving Hook,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,8.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2026-02-01T00:41:43.7Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,2,2,2026-02-01T00:42:28Z,120000,False,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M29.00S,2026-02-01T00:41:47.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,4,2,2026-02-01T00:42:53Z,130000,False,0.0,0.0,1,left,J. Embiid putback Layup (2 PTS),[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2026-02-01T00:41:53.3Z,1,REGULAR,foul,personal,[],1626162,,,1610612740,4,2,2026-02-01T00:41:58Z,140000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 1630529]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,200833.0,1.0,0.0,Jones,1630529.0,,,,,
16,PT11M08.00S,2026-02-01T00:42:16.2Z,1,REGULAR,2pt,Jump Shot,[],1642852,74.98357424441524,49.50980392156863,1610612740,4,4,2026-02-01T00:42:20Z,160000,False,-2.0,183.0,1,right,D. Queen 18' Jump Shot (2 PTS) (H. Jones 1 AST),"[1642852, 1630529]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,16-24 Center,18.27,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
18,PT10M54.00S,2026-02-01T00:42:33.1Z,1,REGULAR,2pt,Jump Shot,[],203954,22.28975032851511,37.5,1610612755,4,4,2026-02-01T01:40:21Z,180000,False,62.0,157.0,1,left,MISS J. Embiid 16' Jump Shot - blocked,"[203954, 1642852]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,16.9,Missed,,,,,,,,,,,,,,Queen,1642852.0,,,
