actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-14T17:10:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-14T17:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-14T17:10:34.9Z,1,REGULAR,jumpball,recovered,[],1642849,,,1610612751,0,0,2026-03-14T17:10:34Z,40000,False,,,0,,Jump Ball N. Clowney vs. A. Bona: Tip to N. Traore,"[1642849, 1641730, 1641737]",1610612751.0,BKN,startperiod,N. Traore,1642849.0,Traore,N. Traore,Clowney,1641730.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-14T17:10:52.3Z,1,REGULAR,turnover,lost ball,[],1642849,,,1610612751,0,0,2026-03-14T17:11:01Z,70000,False,,,0,,N. Traore lost ball TURNOVER (1 TO),"[1642849, 1642845]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Right,1.0,Edgecombe,1642845.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-03-14T17:10:52.3Z,1,REGULAR,steal,,[],1642845,,,1610612755,0,0,2026-03-14T17:15:27Z,80000,False,,,0,,V. Edgecombe STEAL (1 STL),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2026-03-14T17:10:58.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642845,5.338370565045992,48.28431372549019,1610612755,2,0,2026-03-14T17:11:07Z,90000,False,9.0,-2.0,1,left,V. Edgecombe running DUNK (2 PTS) (D. Barlow 1 AST),"[1642845, 1631230]",1610612755.0,PHI,running,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,0.89,Made,2.0,D. Barlow,1631230.0,1.0,,,,,,,,,,,
11,PT11M18.00S,2026-03-14T17:11:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,83.52496714848883,55.392156862745104,1610612751,2,0,2026-03-14T17:11:28Z,110000,False,27.0,102.0,1,right,MISS T. Mann 10' turnaround Shot,[1629611],1610612751.0,BKN,turnaround,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,,,,10.59,Missed,,,,,,,,,,,,,,,
12,PT11M13.00S,2026-03-14T17:11:24.5Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,2,0,2026-03-14T17:11:28Z,120000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M01.00S,2026-03-14T17:11:35.6Z,1,REGULAR,3pt,Jump Shot,[],1642348,5.601182654402102,3.6764705882352944,1610612755,2,0,2026-03-14T17:11:40Z,130000,False,232.0,0.0,1,left,MISS J. Edwards 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Right Corner 3,24+ Right,,,,23.16,Missed,,,,,,,,,,,,,,,
14,PT10M59.00S,2026-03-14T17:11:37.6Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,2,0,2026-03-14T17:11:40Z,140000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M52.00S,2026-03-14T17:11:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642849,94.1688567674113,51.9607843137255,1610612751,2,0,2026-03-14T17:11:50Z,150000,False,10.0,2.0,1,right,MISS N. Traore driving finger roll Layup - blocked,"[1642849, 1631230]",1610612751.0,BKN,driving finger roll,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,1.01,Missed,,,,,,,,,Barlow,1631230.0,,,,,
