actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-25T23:10:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-25T23:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-25T23:10:57.5Z,1,REGULAR,jumpball,recovered,[],1630188,,,1610612741,0,0,2026-03-25T23:10:57Z,40000,False,,,0,,Jump Ball N. Richards vs. D. Barlow: Tip to J. Smith,"[1630188, 1630208, 1631230]",1610612741.0,CHI,startperiod,J. Smith,1630188.0,Smith,J. Smith,Richards,1630208.0,Barlow,1631230.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-03-25T23:11:14.7Z,1,REGULAR,2pt,Jump Shot,[],1630208,86.51445466491458,67.8921568627451,1610612741,0,0,2026-03-25T23:11:21Z,70000,False,89.0,74.0,1,right,MISS N. Richards 11' fadeaway Shot,[1630208],1610612741.0,CHI,fadeaway,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,11.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-03-25T23:11:15.7Z,1,REGULAR,rebound,offensive,[],1641824,,,1610612741,0,0,2026-03-25T23:11:53Z,80000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:0),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-03-25T23:11:21.4Z,1,REGULAR,turnover,bad pass,[],1641824,,,1610612741,0,0,2026-03-25T23:11:59Z,90000,False,,,0,,M. Buzelis bad pass TURNOVER (1 TO),"[1641824, 1629656]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Grimes,1629656.0,,,,,,,,,,,
10,PT11M35.00S,2026-03-25T23:11:21.4Z,1,REGULAR,steal,,[],1629656,,,1610612755,0,0,2026-03-25T23:11:23Z,100000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2026-03-25T23:11:25.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642845,7.933639947437584,51.96078431372549,1610612755,2,0,2026-03-25T23:12:48Z,110000,False,-10.0,22.0,1,left,V. Edgecombe running Layup (2 PTS) (P. George 1 AST),"[1642845, 202331]",1610612755.0,PHI,running,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,2.42,Made,,,,,,,,2.0,P. George,202331.0,1.0,,,,,,,
13,PT11M22.00S,2026-03-25T23:11:34.6Z,1,REGULAR,turnover,traveling,[],1641824,,,1610612741,2,0,2026-03-25T23:11:41Z,130000,False,,,0,,M. Buzelis traveling TURNOVER (2 TO),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Right,,,,,,,2.0,,,,,,,2715.0,,,,,,
14,PT11M11.00S,2026-03-25T23:11:57.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203954,31.061103810775293,27.450980392156865,1610612755,5,0,2026-03-25T23:12:01Z,140000,False,113.0,239.0,1,left,J. Embiid 26' 3PT  (3 PTS) (Q. Grimes 1 AST),"[203954, 1629656]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,26.47,Made,,,,,,,,3.0,Q. Grimes,1629656.0,1.0,,,,,,,
16,PT10M49.00S,2026-03-25T23:12:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,91.37647831800263,50.49019607843137,1610612741,5,0,2026-03-25T23:14:25Z,160000,False,2.0,29.0,1,right,MISS N. Richards Layup - blocked,"[1630208, 1631230]",1610612741.0,CHI,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.87,Missed,,,,,,,,,,,,,Barlow,1631230.0,,,,
17,PT10M49.00S,2026-03-25T23:12:19.2Z,1,REGULAR,block,,[],1631230,,,1610612741,5,0,2026-03-25T23:12:21Z,170000,False,,,0,,D. Barlow BLOCK (1 BLK),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2026-03-25T23:12:22.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,5,0,2026-03-25T23:12:24Z,180000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M43.00S,2026-03-25T23:12:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629656,8.065045992115643,54.90196078431372,1610612755,5,0,2026-03-25T23:12:33Z,190000,False,-25.0,23.0,1,left,MISS Q. Grimes running reverse Layup - blocked,"[1629656, 1641824]",1610612755.0,PHI,running reverse,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,Buzelis,1641824.0,,,,
20,PT10M43.00S,2026-03-25T23:12:24.8Z,1,REGULAR,block,,[],1641824,,,1610612755,5,0,2026-03-25T23:12:27Z,200000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M42.00S,2026-03-25T23:12:25.8Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612741,5,0,2026-03-25T23:13:00Z,210000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
