actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-29T22:44:02.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-29T22:44:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-29T22:44:05.3Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2025-10-29T22:44:05Z,40000,False,,,0,,Jump Ball A. Sengun vs. C. Murray-Boyles: Tip to J. Smith Jr.,"[1631095, 1630578, 1642867]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Murray-Boyles,1642867.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-10-29T22:44:19.3Z,1,REGULAR,3pt,Jump Shot,[],201142,75.77201051248358,12.5,1610612745,0,0,2025-10-29T22:44:26Z,70000,False,-188.0,175.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-10-29T22:44:22.3Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,0,0,2025-10-29T22:44:26Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:0),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-10-29T22:44:26.2Z,1,REGULAR,foul,personal,['3freethrow'],1627742,,,1610612745,0,0,2025-10-29T22:44:36Z,90000,False,,,0,,B. Ingram shooting personal FOUL (1 PF) (Smith Jr. 3 FT),"[1627742, 1631095]",1610612761.0,TOR,shooting,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,,,,1830.0,1.0,0.0,Smith Jr.,1631095.0,,,,,,,,,
11,PT11M36.00S,2025-10-29T22:45:06.1Z,1,REGULAR,freethrow,1 of 3,['2ndchance'],1631095,,,1610612745,0,0,2025-10-29T22:45:06Z,110000,False,,,0,,MISS J. Smith Jr. Free Throw 1 of 3,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M36.00S,2025-10-29T22:45:06.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,0,2025-10-29T22:45:06Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M36.00S,2025-10-29T22:45:23.0Z,1,REGULAR,freethrow,2 of 3,['2ndchance'],1631095,,,1610612745,0,1,2025-10-29T22:45:23Z,130000,False,,,0,,J. Smith Jr. Free Throw 2 of 3 (1 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M36.00S,2025-10-29T22:45:40.0Z,1,REGULAR,freethrow,3 of 3,['2ndchance'],1631095,,,1610612745,0,2,2025-10-29T22:45:40Z,140000,False,,,0,,J. Smith Jr. Free Throw 3 of 3 (2 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M31.00S,2025-10-29T22:45:48.5Z,1,REGULAR,violation,kicked ball,[],1629006,,,1610612761,0,2,2025-10-29T22:45:53Z,150000,False,,,0,,J. Okogie kicked ball VIOLATION,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,,,,,,,,,1630887.0,,,,,,,,,,,,,
16,PT11M20.00S,2025-10-29T22:46:10.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,11.908672798948752,39.950980392156865,1610612761,0,2,2025-10-29T22:48:49Z,160000,False,50.0,59.0,1,left,MISS S. Barnes 7' turnaround bank Shot,[1630567],1610612761.0,TOR,turnaround bank,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,7.78,Missed,,,,,,,,,,,,,,,,,,
17,PT11M17.00S,2025-10-29T22:46:13.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,2,2025-10-29T22:46:20Z,170000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M56.00S,2025-10-29T22:46:34.5Z,1,REGULAR,3pt,Jump Shot,[],1629006,71.04139290407359,17.892156862745097,1610612745,0,2,2025-10-29T22:46:39Z,180000,False,-161.0,220.0,1,right,MISS J. Okogie 27' 3PT,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Left Center,27.21,Missed,,,,,,,,,,,,,,,,,,
19,PT10M54.00S,2025-10-29T22:46:36.5Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,0,2,2025-10-29T22:46:49Z,190000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M37.00S,2025-10-29T22:46:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,14.668199737187912,62.254901960784316,1610612761,2,2,2025-10-29T22:46:59Z,200000,False,-61.0,85.0,1,left,B. Ingram 10' turnaround fadeaway Jump Shot (2 PTS),[1627742],1610612761.0,TOR,turnaround fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Left,10.51,Made,,,,,,,,,,2.0,,,,,,,,
