actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-12T02:12:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-12T02:12:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-12T02:12:20.1Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2026-02-12T02:12:20Z,40000,False,,,0,,Jump Ball J. Nurkić vs. M. Raynaud: Tip to I. Collier,"[1642268, 203994, 1642875]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Nurkić,203994.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-12T02:12:31.2Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612762,0,0,2026-02-12T02:12:36Z,70000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1642363]",1610612762.0,UTA,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,1.0,Clifford,1642363.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-02-12T02:12:31.2Z,1,REGULAR,steal,,[],1642363,,,1610612758,0,0,2026-02-12T02:21:07Z,80000,False,,,0,,N. Clifford STEAL (1 STL),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-02-12T02:12:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642269,10.33180026281209,50.0,1610612758,0,0,2026-02-12T02:12:43Z,90000,False,0.0,45.0,1,left,MISS D. Carter running Layup,[1642269],1610612758.0,SAC,running,,,Carter,D. Carter,,,,,In The Paint (Non-RA),0-8 Center,,,,4.46,Missed,,,,,,,,,,,,,,,
10,PT11M37.00S,2026-02-12T02:12:39.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,0,0,2026-02-12T02:12:43Z,100000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M23.00S,2026-02-12T02:12:52.4Z,1,REGULAR,3pt,Jump Shot,[],1628991,71.69842312746385,76.47058823529412,1610612762,0,0,2026-02-12T02:12:57Z,110000,False,132.0,214.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612762.0,UTA,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,25.12,Missed,,,,,,,,,,,,,,,
12,PT11M20.00S,2026-02-12T02:12:55.4Z,1,REGULAR,rebound,defensive,[],1642269,,,1610612758,0,0,2026-02-12T02:12:57Z,120000,False,,,0,,D. Carter REBOUND (Off:0 Def:1),[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,Above the Break 3,24+ Right Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M05.00S,2026-02-12T02:13:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,9.806176084099869,45.34313725490196,1610612758,0,0,2026-02-12T02:13:14Z,130000,False,23.0,40.0,1,left,MISS P. Achiuwa Layup - blocked,"[1630173, 1628991]",1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,,4.6,Missed,,,,,Jackson Jr.,1628991.0,,,,,,,,,
14,PT11M05.00S,2026-02-12T02:13:10.1Z,1,REGULAR,block,,[],1628991,,,1610612758,0,0,2026-02-12T02:13:12Z,140000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612762.0,UTA,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
